Timestamps,Voltages
0.000000,1056
0.000008,40697
0.000016,43418
0.000025,65535
0.000033,1056
0.000041,65535
0.000049,65535
0.000057,1056
0.000066,65535
0.000074,65535
0.000082,1056
0.000090,65535
0.000098,65535
0.000107,1024
0.000115,65535
0.000123,1056
0.000131,65535
0.000139,65535
0.000147,1088
0.000156,65535
0.000164,65535
0.000172,1056
0.000180,65535
0.000188,65535
0.000197,1136
0.000205,65535
0.000213,65535
0.000221,1120
0.000229,65535
0.000238,65535
0.000246,1088
0.000254,65535
0.000262,65535
0.000270,1088
0.000279,65535
0.000287,59230
0.000295,1088
0.000303,65535
0.000311,44538
0.000320,1024
0.000328,65535
0.000336,30423
0.000344,2048
0.000352,65535
0.000361,14883
0.000369,16275
0.000377,65535
0.000385,1104
0.000393,33864
0.000401,65535
0.000410,1072
0.000418,53469
0.000426,65535
0.000434,1088
0.000442,65535
0.000451,65535
0.000459,1104
0.000467,65535
0.000475,63999
0.000483,1088
0.000492,65535
0.000500,29799
0.000508,5761
0.000516,65535
0.000524,1088
0.000533,50892
0.000541,65535
0.000549,1104
0.000557,65535
0.000565,65279
0.000574,1056
0.000582,65535
0.000590,46635
0.000598,1024
0.000606,65535
0.000614,18708
0.000623,18308
0.000631,65535
0.000639,1088
0.000647,38569
0.000655,65535
0.000664,1072
0.000672,54253
0.000680,65535
0.000688,1056
0.000696,65535
0.000705,65535
0.000713,1040
0.000721,65535
0.000729,65535
0.000737,1040
0.000746,65535
0.000754,59374
0.000762,1056
0.000770,65535
0.000778,37977
0.000787,1056
0.000795,65535
0.000803,15603
0.000811,1008
0.000819,65535
0.000828,1024
0.000836,1040
0.000844,65535
0.000852,1056
0.000860,1072
0.000868,55277
0.000877,1024
0.000885,1216
0.000893,49067
0.000901,1024
0.000909,2048
0.000918,51788
0.000926,1072
0.000934,7457
0.000942,55421
0.000950,1280
0.000959,17204
0.000967,55549
0.000975,4561
0.000983,23925
0.000991,51612
0.001000,20244
0.001008,25862
0.001016,42218
0.001024,28871
0.001032,26182
0.001041,35512
0.001049,34344
0.001057,26374
0.001065,31383
0.001073,37865
0.001082,25974
0.001090,29255
0.001098,39753
0.001106,26454
0.001114,27686
0.001122,40185
0.001131,27382
0.001139,27062
0.001147,39561
0.001155,28470
0.001163,26518
0.001172,38857
0.001180,29991
0.001188,26326
0.001196,37641
0.001204,30535
0.001213,26630
0.001221,36456
0.001229,31895
0.001237,26806
0.001245,35576
0.001254,32439
0.001262,27046
0.001270,34264
0.001278,33560
0.001286,27382
0.001295,33272
0.001303,33912
0.001311,27558
0.001319,32792
0.001327,34216
0.001336,28038
0.001344,32039
0.001352,34344
0.001360,28630
0.001368,31255
0.001376,34344
0.001385,29591
0.001393,30183
0.001401,34936
0.001409,29815
0.001417,30247
0.001426,34520
0.001434,30151
0.001442,29751
0.001450,34264
0.001458,30695
0.001467,29847
0.001475,34040
0.001483,30903
0.001491,29415
0.001499,33816
0.001508,31495
0.001516,29959
0.001524,33000
0.001532,31287
0.001540,30439
0.001549,32936
0.001557,31303
0.001565,30375
0.001573,32519
0.001581,31831
0.001590,30135
0.001598,32535
