Timestamps,Voltages
0.000000,65535
0.000008,15075
0.000016,65535
0.000025,18436
0.000033,9730
0.000041,65535
0.000049,26534
0.000057,1584
0.000066,65535
0.000074,35320
0.000082,976
0.000090,65535
0.000098,43706
0.000106,1024
0.000115,65535
0.000123,65535
0.000131,1056
0.000139,1056
0.000147,65535
0.000156,65535
0.000164,22709
0.000172,1040
0.000180,65535
0.000188,55789
0.000197,1056
0.000205,65535
0.000213,53629
0.000221,1040
0.000229,65535
0.000237,50396
0.000246,1024
0.000254,65535
0.000262,37433
0.000270,1152
0.000278,65535
0.000287,20388
0.000295,14467
0.000303,65535
0.000311,5265
0.000319,27846
0.000328,65535
0.000336,1056
0.000344,40809
0.000352,65535
0.000360,1056
0.000368,55373
0.000377,65535
0.000385,1056
0.000393,65535
0.000401,65535
0.000409,1056
0.000418,65535
0.000426,65535
0.000434,1040
0.000442,65535
0.000450,59102
0.000459,1088
0.000467,65535
0.000475,31447
0.000483,2080
0.000491,65535
0.000499,1296
0.000508,35080
0.000516,65535
0.000524,1056
0.000532,65535
0.000540,65471
0.000549,1024
0.000557,65535
0.000565,33704
0.000573,5153
0.000581,65535
0.000590,12531
0.000598,27462
0.000606,65535
0.000614,1088
0.000622,53036
0.000630,65535
0.000639,1104
0.000647,65535
0.000655,65535
0.000663,1088
0.000671,65535
0.000680,65535
0.000688,1088
0.000696,65535
0.000704,63039
0.000712,1088
0.000721,65535
0.000729,43674
0.000737,1088
0.000745,65535
0.000753,22869
0.000761,1024
0.000770,65535
0.000778,1952
0.000786,1088
0.000794,65535
0.000802,1056
0.000811,1312
0.000819,65535
0.000827,1088
0.000835,1792
0.000843,65535
0.000852,1040
0.000860,2512
0.000868,39353
0.000876,1072
0.000884,5249
0.000892,27350
0.000901,1056
0.000909,12451
0.000917,29783
0.000925,1072
0.000933,22917
0.000942,36792
0.000950,1200
0.000958,32679
0.000966,43386
0.000974,1600
0.000983,37689
0.000991,46315
0.000999,6049
0.001007,35800
0.001015,45002
0.001024,18948
0.001032,30663
0.001040,41034
0.001048,26790
0.001056,26630
0.001064,38617
0.001073,31671
0.001081,23989
0.001089,37273
0.001097,34680
0.001105,23173
0.001114,35464
0.001122,36728
0.001130,22869
0.001138,34184
0.001146,37577
0.001155,23749
0.001163,32503
0.001171,38009
0.001179,24774
0.001187,31591
0.001195,37881
0.001204,25526
0.001212,31063
0.001220,37369
0.001228,27142
0.001236,30263
0.001245,36424
0.001253,28550
0.001261,29735
0.001269,36152
0.001277,29367
0.001286,29447
0.001294,35128
0.001302,30567
0.001310,28662
0.001318,34952
0.001326,31511
0.001335,28406
0.001343,34216
0.001351,32295
0.001359,28294
0.001367,33752
0.001376,32679
0.001384,28438
0.001392,33208
0.001400,33080
0.001408,28550
0.001417,32711
0.001425,33544
0.001433,28807
0.001441,31911
0.001449,34008
0.001457,29063
0.001466,31607
0.001474,33688
0.001482,29783
0.001490,31431
0.001498,33576
0.001507,29735
0.001515,31511
0.001523,32776
0.001531,30311
0.001539,31367
0.001548,32872
0.001556,30503
0.001564,31079
0.001572,33032
0.001580,30759
0.001588,31031
0.001597,32647
0.001605,30935
0.001613,31047
0.001621,32423
0.001629,31351
0.001638,30439
0.001646,32968
0.001654,31479
0.001662,30695
0.001670,32247
0.001679,31655
0.001687,30887
0.001695,32071
0.001703,32007
0.001711,30791
0.001719,31607
0.001728,32343
0.001736,30647
0.001744,32007
0.001752,32167
0.001760,30535
0.001769,31735
0.001777,32391
0.001785,30567
0.001793,31687
0.001801,32551
0.001810,30647
0.001818,31399
0.001826,32551
0.001834,30967
0.001842,31415
0.001850,32023
0.001859,31143
0.001867,31655
0.001875,31991
0.001883,31191
0.001891,31399
0.001900,32215
0.001908,30999
0.001916,31591
0.001924,31959
0.001932,31159
0.001941,31671
0.001949,31767
0.001957,31271
0.001965,31687
0.001973,31943
0.001981,31143
0.001990,31463
0.001998,32311
0.002006,31159
0.002014,31159
0.002022,32455
0.002031,31111
0.002039,31479
0.002047,32199
0.002055,31287
0.002063,31319
0.002072,31991
0.002080,31703
0.002088,31463
0.002096,31399
0.002104,31671
0.002113,31639
0.002121,31543
0.002129,32039
0.002137,31351
0.002145,31575
0.002153,31655
0.002162,31527
0.002170,31623
0.002178,31687
0.002186,31655
0.002194,31575
0.002203,31479
0.002211,31575
0.002219,31831
0.002227,31223
0.002235,31911
0.002244,31735
0.002252,31319
0.002260,32023
0.002268,31719
0.002276,31031
0.002284,32103
0.002293,31559
0.002301,31543
0.002309,31751
0.002317,31575
0.002325,31719
0.002334,31543
0.002342,31575
0.002350,31415
0.002358,31879
0.002366,31799
0.002375,31479
0.002383,31591
0.002391,31495
0.002399,31719
0.002407,31687
0.002415,31607
0.002424,31751
0.002432,31623
0.002440,31223
0.002448,31943
0.002456,31815
0.002465,31079
0.002473,31799
0.002481,31831
0.002489,31447
0.002497,31815
0.002506,31495
0.002514,31591
0.002522,31895
0.002530,31751
0.002538,31495
0.002546,31591
0.002555,31783
0.002563,31239
0.002571,31767
0.002579,31847
0.002587,31207
0.002596,31639
0.002604,31655
0.002612,31607
0.002620,31671
