,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y
0,0.0,65535,-328.363126632302,17782.650766429742,1189.0,1366.0,113.48904466546989,174.4184155,tall,12,16,-3.1798301198642345,-10.0,180.0
1,8e-06,15075,-30706.974083163033,34082.90607879643,,,-118.20881421201356,,,,,,,
2,1.6e-05,65535,31396.847365094334,38857.30147537501,,,-44.8971060045476,,,,,,,
3,2.5e-05,18436,-314.8168258887828,38153.25430672103,,,166.0148499473006,,,,,,,
4,3.3e-05,9730,-31967.64320503313,38388.52926432255,,,-78.70921170431374,,,,,,,
5,4.1e-05,65535,31646.49335038504,36587.05744347266,,,-131.20448407190005,,,,,,,
6,4.9e-05,26534,2375.182493955442,35354.094849051085,,,218.87515698430053,,,,,,,
7,5.7e-05,1584,-34213.180240378846,37084.44223336492,,,-63.8464768504704,,,,,,,
8,6.6e-05,65535,28810.87746950234,38058.28336918897,,,-184.40091249550122,,,,,,,
9,7.4e-05,35320,7613.186889631514,36834.48604994719,,,262.12624157689856,,,,,,,
10,8.2e-05,976,-33646.292072369804,35062.744981503354,,,-74.93623538190313,,,,,,,
11,9e-05,65535,21224.343784525197,32248.79101743169,,,-196.98335417380642,,,,,,,
12,9.8e-05,43706,11972.506261866092,29019.379577661683,,,281.7121598238705,,,,,,,
13,0.000106,1024,-26656.591772478743,26662.88808831731,,,-93.91556200061117,,,,,,,
14,0.000115,65535,10633.370433204698,23534.23044534695,,,-178.63682409065507,,,,,,,
15,0.000123,65535,10851.493791592507,18485.039971301867,,,267.3208025204384,,,,,,,
16,0.000131,1056,-12761.469483798843,12902.16939967746,,,-94.87539440445762,,,,,,,
17,0.000139,1056,1387.2425916750387,7163.752481198501,,,-151.83327199904477,,,,,,,
18,0.000147,65535,1892.6389934350393,1928.153553291199,,,221.29525252609173,,,,,,,
19,0.000156,65535,4579.30376413469,4579.443423315231,,,-59.20781337891968,,,,,,,
20,0.000164,22709,-2573.1161668686786,9963.845711275317,,,-142.50470036900848,,,,,,,
21,0.000172,1040,-12895.96929319888,16326.360483082826,,,160.3251497952819,,,,,,,
22,0.00018,65535,20010.507880118843,22405.22469116021,,,14.274259414810139,,,,,,,
23,0.000188,55789,-610.3460153852419,27595.283224124516,,,-167.22021454878367,,,,,,,
24,0.000197,1056,-28047.93162934867,32145.180404290655,,,107.2148385268977,,,,,,,
25,0.000205,65535,29584.21938870534,35576.636626103864,,,106.89312745148212,,,,,,,
26,0.000213,53629,4145.602582672758,38231.914510872964,,,-221.72312823484617,,,,,,,
27,0.000221,1040,-37815.41705996975,40764.56359089367,,,79.77898361032038,,,,,,,
