,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y
0,0.0,65535,647.0133785772935,21688.734764509616,568.0,746.0,225.34867208498693,86.5047715,tall,15,7,12.528807709151511,20.0,90.0
1,8e-06,65535,35872.20094343673,40857.76155917807,,,141.11884005588382,,,,,,,
2,1.6e-05,1056,-39299.515946701045,45467.99045566572,,,-418.31385460536825,,,,,,,
3,2.5e-05,57902,8129.808005638713,43516.103463472355,,,303.9720322179197,,,,,,,
4,3.3e-05,65535,27470.12842999618,41920.06187591537,,,112.49125905689056,,,,,,,
5,4.1e-05,1056,-36054.00523037748,36395.61199868005,,,-426.36016556195466,,,,,,,
6,4.9e-05,51132,13931.818700903888,31445.277160102287,,,340.57087598527687,,,,,,,
7,5.7e-05,65535,15459.614072635793,29753.93451896402,,,46.40888379293842,,,,,,,
8,6.6e-05,1072,-27457.435484974172,27486.326748729527,,,-372.35360918808686,,,,,,,
9,7.4e-05,41642,17646.11354952417,25300.269526293574,,,364.36727676252093,,,,,,,
10,8.2e-05,65535,1023.9767831516206,23666.242149655616,,,-49.98598101873695,,,,,,,
11,9e-05,1040,-15231.794830369898,20878.642977802294,,,-301.94095666372374,,,,,,,
12,9.8e-05,65535,19925.2148479009,19928.69867385573,,,397.0552590438275,,,,,,,
13,0.000107,2096,-14007.181783601367,20461.913850768444,,,-139.33656840900713,,,,,,,
14,0.000115,49212,-2367.8181544635318,21935.152871492744,,,-263.43656597256887,,,,,,,
15,0.000123,65535,21677.98873354737,25620.529506055045,,,435.18460780747336,,,,,,,
16,0.000131,1056,-27292.12836340607,29417.4490074172,,,-179.11589045118424,,,,,,,
17,0.000139,61422,8171.974517206619,32626.2858490063,,,-274.66812407128486,,,,,,,
18,0.000148,65535,23347.907884811302,35649.5677078847,,,455.20074735124314,,,,,,,
19,0.000156,1056,-36939.03096944734,37385.822415880946,,,-154.4384124030587,,,,,,,
20,0.000164,59166,14827.19123251142,38821.560894663824,,,-311.3245037710947,,,,,,,
21,0.000172,65535,24866.52545879682,41007.19758246174,,,435.6652798557385,,,,,,,
22,0.00018,1072,-42491.171379829786,42839.743727123445,,,-94.30165809709221,,,,,,,
23,0.000189,56381,17892.815277352976,44185.98837633501,,,-324.10267237568405,,,,,,,
