Timestamps,Voltages
0.000000,65535
0.000008,65535
0.000016,1072
0.000025,65535
0.000033,65535
0.000041,1056
0.000049,65535
0.000057,65535
0.000066,1088
0.000074,65535
0.000082,65535
0.000090,1088
0.000098,65535
0.000107,65535
0.000115,1056
0.000123,1088
0.000131,20805
0.000139,65535
0.000148,65535
0.000156,1120
0.000164,65535
0.000172,65535
0.000180,1056
0.000188,65535
0.000197,65535
0.000205,1072
0.000213,65535
0.000221,65535
0.000229,1056
0.000238,65535
0.000246,65535
0.000254,1088
0.000262,65535
0.000270,65535
0.000279,1072
0.000287,65535
0.000295,54333
0.000303,1024
0.000311,65535
0.000320,40121
0.000328,1024
0.000336,65535
0.000344,25142
0.000352,5473
0.000361,65535
0.000369,7953
0.000377,22181
0.000385,65535
0.000393,1072
0.000402,41306
0.000410,65535
0.000418,1072
0.000426,65071
0.000434,65535
0.000443,1056
0.000451,65535
0.000459,65535
0.000467,1072
0.000475,65535
0.000484,47707
0.000492,1088
0.000500,65535
0.000508,8674
0.000516,27302
0.000525,65535
0.000533,1056
0.000541,65535
0.000549,65535
0.000557,1088
0.000565,65535
0.000574,64895
0.000582,1056
0.000590,65535
0.000598,40633
0.000606,1024
0.000615,65535
0.000623,14019
0.000631,17860
0.000639,65535
0.000647,1072
0.000656,34568
0.000664,65535
0.000672,1072
0.000680,48811
0.000688,65535
0.000697,1072
0.000705,60846
0.000713,65535
0.000721,1056
0.000729,65535
0.000738,65535
0.000746,1072
0.000754,65535
0.000762,61887
0.000770,1072
0.000779,65535
0.000787,38185
0.000795,1040
0.000803,65535
0.000811,13811
0.000820,1072
0.000828,65535
0.000836,1088
0.000844,1072
0.000852,65215
0.000861,1088
0.000869,1104
0.000877,56317
0.000885,1008
0.000893,1312
0.000901,55533
0.000910,1072
0.000918,2080
0.000926,58622
0.000934,1168
0.000942,5953
0.000951,60894
0.000959,1392
0.000967,12355
0.000975,59934
0.000983,13171
0.000992,15683
0.001000,55661
0.001008,24069
0.001016,17332
0.001024,48475
0.001033,30295
0.001041,18436
0.001049,42362
0.001057,34744
0.001065,19796
0.001074,37849
0.001082,36937
0.001090,21557
0.001098,34968
0.001106,37625
0.001115,23573
0.001123,32615
0.001131,37849
0.001139,25446
0.001147,30871
0.001156,37897
0.001164,26806
0.001172,29463
0.001180,37673
0.001188,28326
0.001197,28743
0.001205,37001
0.001213,30071
0.001221,27558
0.001229,36296
0.001237,31575
0.001246,27046
0.001254,35528
0.001262,32279
0.001270,27510
0.001278,34664
0.001287,32856
0.001295,27398
0.001303,34408
0.001311,32904
0.001319,27446
0.001328,34024
0.001336,33704
0.001344,27510
0.001352,33176
0.001360,34152
0.001369,27894
0.001377,32327
0.001385,34536
0.001393,28390
0.001401,31623
0.001410,34568
0.001418,28983
0.001426,31367
0.001434,34104
0.001442,29463
0.001451,31479
0.001459,33896
0.001467,29575
0.001475,31447
0.001483,34184
0.001492,29927
0.001500,30199
0.001508,34440
0.001516,30631
0.001524,29815
0.001533,33992
0.001541,31207
0.001549,29831
0.001557,33432
0.001565,31671
0.001574,30167
0.001582,33080
0.001590,31495
0.001598,30487
0.001606,32583
0.001614,31543
0.001623,30727
0.001631,32808
0.001639,31351
0.001647,30727
0.001655,32663
0.001664,31447
0.001672,30519
0.001680,32663
0.001688,31959
0.001696,30471
0.001705,32103
0.001713,32231
0.001721,30679
0.001729,31831
0.001737,32551
0.001746,30823
0.001754,31639
0.001762,32103
0.001770,30839
0.001778,32167
0.001787,31895
0.001795,30855
0.001803,32119
0.001811,32023
0.001819,31063
0.001828,31543
0.001836,32087
0.001844,31431
0.001852,31463
0.001860,32071
0.001869,31351
0.001877,31335
0.001885,31959
0.001893,31655
0.001901,31479
0.001910,31735
0.001918,31479
0.001926,31815
0.001934,31831
0.001942,31239
0.001950,31687
0.001959,32311
0.001967,30711
0.001975,31607
0.001983,32776
0.001991,31063
0.002000,31031
0.002008,32647
0.002016,31431
0.002024,31335
0.002032,31879
0.002041,31687
0.002049,31431
0.002057,31943
0.002065,31415
0.002073,31415
0.002082,32279
0.002090,31447
0.002098,30903
0.002106,32984
0.002114,31223
0.002123,30839
0.002131,32663
0.002139,31783
0.002147,30903
0.002155,32135
0.002164,31831
0.002172,31127
0.002180,32183
0.002188,31415
0.002196,31591
0.002205,32119
0.002213,31671
0.002221,31047
