Timestamps,Voltages
0.000000,40137
0.000008,1024
0.000016,65535
0.000025,18244
0.000033,9378
0.000041,65535
0.000049,27782
0.000057,960
0.000066,65535
0.000074,46395
0.000082,1024
0.000090,65535
0.000098,63167
0.000106,1024
0.000115,65535
0.000123,65535
0.000131,22373
0.000139,65535
0.000147,1008
0.000156,65535
0.000164,49580
0.000172,928
0.000180,65535
0.000188,48443
0.000197,992
0.000205,65535
0.000213,61503
0.000221,1008
0.000229,65535
0.000238,63487
0.000246,1008
0.000254,65535
0.000262,59070
0.000270,1024
0.000279,65535
0.000287,42922
0.000295,1024
0.000303,65535
0.000311,21141
0.000319,5505
0.000328,65535
0.000336,1136
0.000344,25734
0.000352,65535
0.000360,1040
0.000369,45915
0.000377,65535
0.000385,1040
0.000393,65535
0.000401,65535
0.000410,1040
0.000418,65535
0.000426,53341
0.000434,1024
0.000442,65535
0.000451,1072
0.000459,43434
0.000467,65535
0.000475,1072
0.000483,65535
0.000492,60158
0.000500,1024
0.000508,65535
0.000516,39481
0.000524,960
0.000532,65535
0.000541,2800
0.000549,16195
0.000557,65535
0.000565,1088
0.000573,29703
0.000582,65535
0.000590,1072
0.000598,37721
0.000606,65535
0.000614,1072
0.000623,39305
0.000631,65535
0.000639,1040
0.000647,35976
0.000655,64319
0.000664,1056
0.000672,25190
0.000680,1024
0.000688,1024
0.000696,15331
0.000705,1040
0.000713,1024
0.000721,20501
0.000729,1024
0.000737,1008
0.000745,35064
0.000754,1024
0.000762,1056
0.000770,51836
0.000778,1040
0.000786,1344
0.000795,64063
0.000803,1056
0.000811,2224
0.000819,65535
0.000827,1120
0.000836,4673
0.000844,65535
0.000852,1232
0.000860,7233
0.000868,65535
0.000877,5377
0.000885,8001
0.000893,65199
0.000901,16436
0.000909,7105
0.000918,62287
0.000926,25622
0.000934,5745
0.000942,57902
0.000950,32968
0.000958,4849
0.000967,53068
0.000975,38297
0.000983,4961
0.000991,48235
0.000999,42682
0.001008,5825
0.001016,44266
0.001024,44874
0.001032,8065
0.001040,39785
0.001049,46491
0.001057,11394
0.001065,35992
0.001073,46251
0.001081,14947
0.001090,33448
0.001098,45531
0.001106,18052
0.001114,31047
0.001122,44666
0.001130,20292
0.001139,30151
0.001147,43498
0.001155,22885
0.001163,28646
0.001171,42042
0.001180,25846
0.001188,27526
0.001196,40281
0.001204,28438
0.001212,27078
0.001221,38009
0.001229,30743
0.001237,27414
0.001245,35752
0.001253,31847
0.001262,28246
0.001270,34872
0.001278,32519
0.001286,27862
0.001294,34136
0.001303,33544
0.001311,28086
0.001319,32904
0.001327,34424
0.001335,28711
0.001343,31879
0.001352,34328
0.001360,29479
0.001368,31287
0.001376,34776
0.001384,29463
0.001393,30855
0.001401,34984
0.001409,29511
0.001417,30695
0.001425,35112
0.001434,29879
0.001442,30343
0.001450,34616
0.001458,30455
0.001466,30487
0.001475,34312
