,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,1024,275.06429469096685,20937.44695276998,546.0,768.0,36.025904442236474,84.95501175000001,13,7,0.0,90.0,90.0,0.0,tall,13.0,50.0
1,8e-06,1024,-38366.847705208966,40651.111679533744,,,-26.355059476465986,,,,,,,,,,
2,1.6e-05,65535,30956.84350332328,46256.24642742062,,,93.85383976175221,,,,,,,,,,
3,2.5e-05,65535,13180.927386094512,43699.777147735746,,,-79.47315168089462,,,,,,,,,,
4,3.3e-05,1024,-41930.10274799765,42682.497358170636,,,-101.69899088351063,,,,,,,,,,
5,4.1e-05,65535,21680.583834962148,41162.48470976208,,,256.5712611339569,,,,,,,,,,
6,4.9e-05,65535,23356.374854777667,39867.450339716386,,,-134.32370717523156,,,,,,,,,,
7,5.7e-05,1040,-40681.21157277307,41287.13958294816,,,-198.083966990104,,,,,,,,,,
8,6.6e-05,65535,11600.985095923403,41858.93595373466,,,366.5380726168843,,,,,,,,,,
9,7.4e-05,65535,28538.976444605963,39166.20823638152,,,-135.81063106475608,,,,,,,,,,
10,8.2e-05,1072,-34288.67036910655,36348.054089227706,,,-267.85490408118494,,,,,,,,,,
11,9e-05,56253,2875.9370693117767,33964.017090936846,,,397.9048286667706,,,,,,,,,,
12,9.8e-05,65535,27032.10816827162,31058.552195864082,,,-112.45519812952999,,,,,,,,,,
13,0.000106,1088,-24200.39747235192,28634.854048729216,,,-268.5391767193305,,,,,,,,,,
14,0.000115,42282,-1627.1610246288976,25762.78212903834,,,352.62249995225596,,,,,,,,,,
15,0.000123,65535,18789.888001457508,20930.20871766763,,,-105.31079234687644,,,,,,,,,,
16,0.000131,15475,-13790.34587651106,16107.643635259352,,,-182.5541838455729,,,,,,,,,,
17,0.000139,1024,336.64118238137627,12106.969773133267,,,265.084648521156,,,,,,,,,,
18,0.000147,65535,6129.195057443989,8318.736625385296,,,-148.95497406172572,,,,,,,,,,
19,0.000156,65535,-6912.646622179836,7153.138925213158,,,-33.44676936732393,,,,,,,,,,
20,0.000164,65535,8671.398896774255,9011.264632549484,,,190.04695602303516,,,,,,,,,,
21,0.000172,1072,-7037.409955701302,12688.071259970999,,,-248.43160368062019,,,,,,,,,,
22,0.00018,43258,-5498.139444895672,17312.134717554294,,,117.60120296234585,,,,,,,,,,
23,0.000188,65535,20434.553263683865,21044.81249545387,,,175.26334219902472,,,,,,,,,,
24,0.000197,11634,-17366.404028304067,24657.292605276347,,,-371.55621963902445,,,,,,,,,,
25,0.000205,13315,-8083.242214867452,28628.22060522414,,,200.01732372854644,,,,,,,,,,
26,0.000213,65535,31302.879951659135,32060.63759628364,,,238.16112656200195,,,,,,,,,,
27,0.000221,15347,-23995.69097755032,35173.56852722093,,,-467.3401014506362,,,,,,,,,,
28,0.000229,11458,-10673.70981303246,37799.37057694743,,,168.9924976596207,,,,,,,,,,
29,0.000238,65535,37901.2595854123,39100.82017795898,,,363.0897051173363,,,,,,,,,,
30,0.000246,9714,-28520.95312291591,39944.0207999571,,,-495.87672820309876,,,,,,,,,,
31,0.000254,17316,-9330.450060093272,40875.78888157202,,,24.636701252824125,,,,,,,,,,
32,0.000262,65535,39131.085536302795,41332.07203945238,,,512.3009294096688,,,,,,,,,,
33,0.00027,1056,-33096.85488055523,41763.37513659387,,,-444.74563760729006,,,,,,,,,,
34,0.000279,31879,-2507.6365486441287,42134.85828859835,,,-187.44451623552948,,,,,,,,,,
35,0.000287,65535,35759.27394363633,41849.374387580065,,,631.153929270796,,,,,,,,,,
36,0.000295,1056,-38301.64252971865,41730.34762309905,,,-326.96125021471187,,,,,,,,,,
37,0.000303,51852,8324.582954874713,41975.276795494756,,,-379.91171653985924,,,,,,,,,,
38,0.000311,65535,29073.61709322162,42183.17886970876,,,647.4711118766229,,,,,,,,,,
39,0.000319,1040,-42397.11593319796,42820.96339545528,,,-178.5113322056298,,,,,,,,,,
40,0.000328,65535,19777.58471699105,43364.29821494258,,,-432.9709660176785,,,,,,,,,,
41,0.000336,65535,19932.59649139924,43193.45301952381,,,491.3750979515824,,,,,,,,,,
42,0.000344,1056,-42396.58407870256,42798.19465504542,,,-61.57463503200867,,,,,,,,,,
43,0.000352,65535,28301.262672411787,41911.92314110119,,,-237.98006800224752,,,,,,,,,,
44,0.00036,65535,8900.144480354764,40474.22374304081,,,148.45067354207117,,,,,,,,,,
45,0.000369,1072,-36057.01039073128,39035.46194752163,,,-44.259341047386926,,,,,,,,,,
46,0.000377,65535,31464.54935322789,37087.22120355348,,,208.60840841702182,,,,,,,,,,
47,0.000385,51068,-2910.9639715022113,34506.42690493169,,,-291.6823772717562,,,,,,,,,,
48,0.000393,992,-23402.12378230343,31786.393914099892,,,-125.59395141822706,,,,,,,,,,
49,0.000401,65535,28314.001489790237,28667.793563318504,,,705.0344397055566,,,,,,,,,,
50,0.00041,13043,-13290.827839967986,25637.450282243455,,,-656.7233417982674,,,,,,,,,,
51,0.000418,15907,-6870.614104420877,23290.98973842959,,,-127.36597726018627,,,,,,,,,,
52,0.000426,65535,19142.543892310743,21352.960993931254,,,829.122831776161,,,,,,,,,,
53,0.000434,1056,-19407.887273782675,20362.414236641063,,,-809.6385813138493,,,,,,,,,,
54,0.000442,65535,9800.066345811352,20318.216870679782,,,364.3114111034459,,,,,,,,,,
55,0.000451,54509,5243.262433897097,20835.10837059005,,,75.13223006151375,,,,,,,,,,
56,0.000459,1024,-19126.355378920292,22262.12077167667,,,-809.0812096472243,,,,,,,,,,
57,0.000467,65535,23088.016701892895,24063.510283774605,,,1919.8346358698336,,,,,,,,,,
