,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,65535,684.9675310107643,15290.990127209414,972.0,1195.0,80.95676471715966,145.53652925000003,14,13,10.0,150.0,150.33296378372907,3.8140748342903543,tall,13.0,50.0
1,8e-06,65535,23944.635219945754,29079.051304573622,,,-21.849081257855385,,,,,,,,,,
2,1.6e-05,1024,-32658.05377103688,34610.131107194095,,,-73.01622762043597,,,,,,,,,,
3,2.5e-05,65535,15090.076643578761,37819.17744835714,,,71.83121071569813,,,,,,,,,,
4,3.3e-05,65535,19977.271593707723,41296.00832807466,,,36.830858943354244,,,,,,,,,,
5,4.1e-05,1040,-41714.738848498295,41789.72614118933,,,-119.82378513034394,,,,,,,,,,
6,4.9e-05,65535,23863.0561142384,42603.39940993226,,,63.48312263103854,,,,,,,,,,
7,5.7e-05,65535,21170.028317447508,45248.32879272513,,,81.32670761762765,,,,,,,,,,
8,6.6e-05,1040,-47279.54057211561,47279.70758604406,,,-153.24096100539043,,,,,,,,,,
9,7.4e-05,65535,24231.2090450367,48273.90166861171,,,64.71786853217043,,,,,,,,,,
10,8.2e-05,65535,24299.49989821847,47928.81018457428,,,99.40651706658181,,,,,,,,,,
11,9e-05,1040,-45165.80118517461,45212.12084601173,,,-172.17337262109493,,,,,,,,,,
12,9.8e-05,65535,17358.758253306158,41748.242120118775,,,77.09912411271401,,,,,,,,,,
13,0.000107,65535,24577.481901129082,38775.40396454681,,,95.73579857121051,,,,,,,,,,
14,0.000115,1040,-34225.02783121113,35153.596165243725,,,-179.2282004339093,,,,,,,,,,
15,0.000123,65535,7790.4611681153965,30482.617831809748,,,92.4309711998737,,,,,,,,,,
16,0.000131,65535,18212.75715917134,24958.07566808651,,,80.5171052040595,,,,,,,,,,
17,0.000139,1040,-17144.052334896394,18255.10906102841,,,-172.891389219405,,,,,,,,,,
18,0.000147,19140,1191.1464578739958,11366.439370473367,,,100.0373525231402,,,,,,,,,,
19,0.000156,65535,4522.124685379226,5263.219573139522,,,58.95724887147642,,,,,,,,,,
20,0.000164,65535,771.6674453586376,863.1832526888198,,,-147.30037864024726,,,,,,,,,,
21,0.000172,32920,1391.858258955504,7473.991632011007,,,92.72975853037059,,,,,,,,,,
22,0.00018,1024,-13626.964261886998,14130.799029280803,,,29.15490992399725,,,,,,,,,,
23,0.000188,65535,14367.92736531968,20731.508149634643,,,-94.11343023999531,,,,,,,,,,
24,0.000197,65535,8403.309841105161,26837.66220675177,,,67.39990620328042,,,,,,,,,,
25,0.000205,1056,-31428.39189727756,31812.88284041608,,,-16.04762423272453,,,,,,,,,,
26,0.000213,61647,21308.01394038669,36286.15505586861,,,-5.232829445604503,,,,,,,,,,
27,0.000221,65535,18668.94794859436,40746.315633763996,,,26.738860912933475,,,,,,,,,,
28,0.000229,1024,-44683.607205390465,44683.61079798539,,,-85.78856901185603,,,,,,,,,,
29,0.000238,59902,22838.68630280173,47927.67598182217,,,117.81670662371562,,,,,,,,,,
30,0.000246,65535,27219.012452751434,50347.90026768491,,,-15.079026058122498,,,,,,,,,,
31,0.000254,1008,-51449.66686190003,51566.55144703598,,,-181.99668884337854,,,,,,,,,,
32,0.000262,65007,22339.728996276688,52095.63285230417,,,247.75363348077587,,,,,,,,,,
33,0.00027,65535,30101.02720317384,52418.66646871646,,,-31.338693413911823,,,,,,,,,,
34,0.000279,944,-51960.771216211055,52144.78235153133,,,-282.5482050114749,,,,,,,,,,
35,0.000287,65535,22957.816313758452,51231.32812003578,,,322.8392189360802,,,,,,,,,,
36,0.000295,65535,25762.056257234937,49756.91037653846,,,2.4678401902345386,,,,,,,,,,
37,0.000303,1024,-47493.475873762945,47510.636062211626,,,-328.76279337880925,,,,,,,,,,
38,0.000311,65535,25873.62034552271,45025.89040083485,,,265.56410430849746,,,,,,,,,,
39,0.00032,65535,15189.880406454728,42782.1205204566,,,81.51735812898399,,,,,,,,,,
40,0.000328,992,-39335.11834829384,40584.819543396974,,,-239.4436160403073,,,,,,,,,,
41,0.000336,65535,29903.785460705516,38628.817474526935,,,31.937293478834945,,,,,,,,,,
42,0.000344,53469,1296.7575482743669,36900.29196921691,,,156.21605957391685,,,,,,,,,,
43,0.000352,1072,-28451.7302182608,35089.74867590708,,,38.26931615371545,,,,,,,,,,
44,0.000361,65535,32261.49617227565,33554.702514760356,,,-336.5324867953908,,,,,,,,,,
45,0.000369,29111,-12032.469978400944,32312.251513581818,,,154.50347748562692,,,,,,,,,,
46,0.000377,960,-15701.785884195737,31149.03986609412,,,463.225967939618,,,,,,,,,,
47,0.000385,65535,29935.658776116255,30225.526272131014,,,-702.2064138109264,,,,,,,,,,
48,0.000393,1584,-21074.085648977332,29147.683227658457,,,42.23785245012788,,,,,,,,,,
49,0.000401,24005,-2157.457573481699,27652.008078384104,,,867.221879764616,,,,,,,,,,
50,0.00041,65535,21152.06764624367,25993.409544920432,,,-887.9310616011787,,,,,,,,,,
51,0.000418,1040,-23415.318060280268,24107.41066616584,,,-113.37816131666898,,,,,,,,,,
52,0.000426,64559,10728.892199579372,22385.434809777184,,,996.5185559006287,,,,,,,,,,
53,0.000434,65535,6423.9831972438205,21379.54644676143,,,-781.2935511096518,,,,,,,,,,
