Timestamps,Voltages
0.000000,34104
0.000008,30103
0.000016,65535
0.000025,1024
0.000033,47691
0.000041,65535
0.000049,1056
0.000057,36937
0.000066,65535
0.000074,9586
0.000082,23557
0.000090,65535
0.000098,26134
0.000107,9282
0.000115,65535
0.000123,50236
0.000131,1024
0.000139,65535
0.000147,65535
0.000156,65535
0.000164,1024
0.000172,10690
0.000180,65535
0.000188,45739
0.000197,960
0.000205,65535
0.000213,49356
0.000221,960
0.000229,65535
0.000238,43642
0.000246,960
0.000254,65535
0.000262,29799
0.000270,1152
0.000279,65535
0.000287,9298
0.000295,19140
0.000303,65535
0.000311,1024
0.000320,40201
0.000328,65535
0.000336,1056
0.000344,60926
0.000352,65535
0.000360,1040
0.000369,65535
0.000377,65535
0.000385,1040
0.000393,65535
0.000401,46779
0.000410,1024
0.000418,65535
0.000426,1072
0.000434,50300
0.000442,65535
0.000451,1088
0.000459,65535
0.000467,40489
0.000475,1024
0.000483,65535
0.000492,20372
0.000500,20773
0.000508,65535
0.000516,1088
0.000524,44058
0.000533,65535
0.000541,1088
0.000549,57406
0.000557,65535
0.000565,1072
0.000573,65519
0.000582,65535
0.000590,1056
0.000598,65535
0.000606,65375
0.000614,1056
0.000623,65535
0.000631,38041
0.000639,1008
0.000647,58174
0.000655,1024
0.000664,1008
0.000672,33976
0.000680,1024
0.000688,992
0.000696,28326
0.000705,1072
0.000713,1008
0.000721,37881
0.000729,1024
0.000737,1104
0.000746,52028
0.000754,1040
0.000762,1408
0.000770,62783
0.000778,1040
0.000786,2192
0.000795,65535
0.000803,1072
0.000811,3600
0.000819,65535
0.000827,1168
0.000836,4833
0.000844,65535
0.000852,4048
0.000860,4961
0.000868,65535
0.000877,15235
0.000885,4801
0.000893,62799
0.000901,25590
0.000909,4433
0.000918,57293
0.000926,34280
0.000934,4113
0.000942,51228
0.000950,40281
0.000959,5089
0.000967,46315
0.000975,43194
0.000983,7329
0.000991,42378
0.001000,45355
0.001008,8994
0.001016,38665
0.001024,47803
0.001032,11106
0.001040,34248
0.001049,48491
0.001057,14707
0.001065,31607
0.001073,47179
0.001081,17700
0.001090,30215
0.001098,46331
0.001106,19956
0.001114,28759
0.001122,45323
0.001131,22709
0.001139,26694
0.001147,44810
0.001155,25446
0.001163,25174
0.001172,43226
0.001180,28150
0.001188,23797
0.001196,41466
0.001204,31175
0.001213,24149
0.001221,38585
0.001229,31863
0.001237,25414
0.001245,37817
0.001253,32471
0.001262,25174
0.001270,36792
0.001278,33304
0.001286,26262
0.001294,35240
0.001303,34008
0.001311,26134
0.001319,34184
0.001327,35240
0.001335,26934
0.001344,32423
0.001352,35192
0.001360,28518
0.001368,31879
0.001376,34440
0.001385,29383
0.001393,31703
0.001401,34248
0.001409,29799
0.001417,31623
0.001426,33768
0.001434,30135
0.001442,31367
0.001450,33784
0.001458,30375
0.001466,31271
0.001475,34152
0.001483,30327
0.001491,30647
0.001499,34200
0.001507,31239
0.001516,29575
0.001524,34136
0.001532,32391
0.001540,29607
0.001548,32711
0.001557,32840
0.001565,30439
0.001573,31911
0.001581,32583
0.001589,31303
0.001598,32391
0.001606,31671
0.001614,30967
0.001622,32872
0.001630,31607
0.001639,30663
0.001647,33384
0.001655,32487
0.001663,29799
0.001671,32423
0.001679,33224
0.001688,31063
0.001696,31175
0.001704,32423
0.001712,32407
0.001720,31447
0.001729,31607
0.001737,31895
0.001745,32231
0.001753,31751
0.001761,31543
0.001770,32199
0.001778,31863
0.001786,31703
0.001794,31351
0.001802,32711
0.001811,32119
0.001819,30599
0.001827,32615
0.001835,32167
0.001843,31255
0.001852,32231
0.001860,31943
0.001868,31767
0.001876,31591
0.001884,31959
0.001893,32071
0.001901,31991
0.001909,31543
0.001917,31831
0.001925,32135
0.001933,32199
0.001942,31463
0.001950,31783
0.001958,32135
0.001966,32087
0.001974,31415
0.001983,31767
0.001991,32647
0.001999,31367
0.002007,31543
0.002015,32423
0.002024,32071
0.002032,31319
0.002040,31943
0.002048,32311
0.002056,31847
0.002065,31335
0.002073,32359
0.002081,32391
0.002089,31255
0.002097,31847
0.002106,32423
0.002114,31863
0.002122,31335
0.002130,32167
0.002138,32279
0.002146,31623
0.002155,31559
0.002163,32071
0.002171,32375
0.002179,31527
0.002187,31655
0.002196,32295
0.002204,32167
0.002212,31255
0.002220,31799
0.002228,32663
0.002237,31719
0.002245,31271
0.002253,32151
0.002261,32455
0.002269,31943
0.002278,31287
0.002286,32087
0.002294,32711
0.002302,31463
0.002310,31399
0.002319,31975
0.002327,32872
0.002335,31319
0.002343,31527
0.002351,32311
0.002359,32199
0.002368,31687
0.002376,32071
0.002384,31847
0.002392,31927
0.002400,32199
0.002409,31335
0.002417,32359
0.002425,32247
0.002433,31223
0.002441,31991
0.002450,32711
0.002458,31623
0.002466,31511
0.002474,32023
0.002482,32135
0.002491,32231
0.002499,31399
0.002507,31863
0.002515,32391
0.002523,31975
0.002532,31431
0.002540,32151
0.002548,32631
0.002556,31351
0.002564,31799
0.002572,32359
0.002581,32167
0.002589,31511
0.002597,32055
0.002605,32055
0.002613,32087
0.002622,31687
0.002630,31751
0.002638,32535
0.002646,31831
0.002654,31415
0.002663,32407
0.002671,32055
0.002679,31639
0.002687,31831
0.002695,32567
0.002704,32071
0.002712,31415
0.002720,32135
0.002728,32423
0.002736,31671
0.002745,31911
0.002753,32007
0.002761,32295
0.002769,32071
0.002777,31431
0.002786,32327
0.002794,32151
0.002802,31223
0.002810,32487
0.002818,32135
0.002826,31527
0.002835,32487
0.002843,31847
0.002851,31799
0.002859,32375
0.002867,31639
0.002876,31783
0.002884,32359
0.002892,31927
0.002900,31703
0.002908,32087
0.002917,32343
0.002925,31799
0.002933,31943
0.002941,32279
0.002949,32215
0.002958,31575
0.002966,31943
0.002974,32343
0.002982,31895
0.002990,31975
0.002999,32055
0.003007,32039
0.003015,32167
0.003023,31735
0.003031,31943
0.003039,32327
0.003048,31703
0.003056,31991
0.003064,32231
0.003072,31943
0.003080,31671
0.003089,32231
0.003097,31767
0.003105,32151
0.003113,32087
0.003121,31879
0.003130,32151
0.003138,31831
0.003146,31863
0.003154,32407
0.003162,31847
0.003171,31623
0.003179,32343
0.003187,32087
0.003195,31815
0.003203,31975
0.003212,32135
0.003220,32039
0.003228,31911
0.003236,32071
0.003244,31895
0.003252,32087
0.003261,31927
0.003269,32023
0.003277,32487
0.003285,31575
0.003293,31687
0.003302,32824
0.003310,31959
0.003318,31447
0.003326,32279
0.003334,32615
0.003343,31511
0.003351,31847
0.003359,32167
0.003367,32391
0.003375,32023
0.003384,31303
0.003392,32551
0.003400,32856
0.003408,31271
0.003416,31911
0.003425,32776
0.003433,31991
0.003441,31495
0.003449,32071
0.003457,32359
0.003465,32263
0.003474,31703
0.003482,31607
0.003490,32567
0.003498,32535
0.003506,31351
0.003515,31847
0.003523,32567
0.003531,32135
0.003539,31479
0.003547,32407
0.003556,32311
0.003564,31943
0.003572,32087
0.003580,31751
0.003588,32343
0.003597,32455
0.003605,31175
0.003613,32279
0.003621,32792
0.003629,31431
0.003638,31687
0.003646,32840
0.003654,32039
0.003662,31639
0.003670,32039
0.003679,32599
0.003687,31799
0.003695,31767
0.003703,32151
0.003711,32535
0.003719,31815
0.003728,31623
0.003736,32247
0.003744,32599
0.003752,31687
0.003760,31671
0.003769,32904
0.003777,31847
0.003785,31495
0.003793,32551
0.003801,32311
0.003810,31223
0.003818,32631
0.003826,31911
0.003834,31879
0.003842,32375
0.003851,31751
0.003859,32151
0.003867,32311
0.003875,31991
0.003883,31767
0.003892,32663
0.003900,31943
0.003908,31703
0.003916,32231
0.003924,32503
0.003932,31927
0.003941,31543
0.003949,32727
0.003957,31943
0.003965,32055
0.003973,32151
0.003982,31975
0.003990,32679
0.003998,31799
0.004006,31399
0.004014,32503
