Timestamps,Voltages
0.000000,65535
0.000008,65535
0.000016,65535
0.000025,1040
0.000033,65535
0.000041,65535
0.000049,1024
0.000057,65535
0.000066,65535
0.000074,1040
0.000082,65535
0.000090,65535
0.000098,1040
0.000106,65535
0.000115,65535
0.000123,1056
0.000131,65535
0.000139,65535
0.000147,1024
0.000156,1488
0.000164,65535
0.000172,65535
0.000180,55677
0.000188,1008
0.000197,65535
0.000205,65535
0.000213,1008
0.000221,40809
0.000229,65535
0.000238,992
0.000246,39113
0.000254,65535
0.000262,928
0.000270,44746
0.000279,65535
0.000287,1024
0.000295,59294
0.000303,65535
0.000311,1040
0.000319,65535
0.000328,65535
0.000336,1040
0.000344,65535
0.000352,65535
0.000360,1104
0.000369,65535
0.000377,51196
0.000385,1024
0.000393,65535
0.000401,22933
0.000410,2816
0.000418,65535
0.000426,1040
0.000434,43066
0.000442,65535
0.000451,1072
0.000459,65535
0.000467,28294
0.000475,12098
0.000483,65535
0.000491,1040
0.000500,46475
0.000508,65535
0.000516,1008
0.000524,65535
0.000532,65535
0.000541,1072
0.000549,65535
0.000557,64959
0.000565,1008
0.000573,65535
0.000582,46779
0.000590,1008
0.000598,65535
0.000606,30455
0.000614,1008
0.000623,65535
0.000631,10098
0.000639,992
0.000647,65535
0.000655,1024
0.000663,992
0.000672,65535
0.000680,1008
0.000688,1008
0.000696,14099
0.000704,1008
0.000713,1200
0.000721,1088
0.000729,992
0.000737,2048
0.000745,4561
0.000754,992
0.000762,6145
0.000770,20244
0.000778,976
0.000786,14099
0.000795,36536
0.000803,1008
0.000811,22085
0.000819,49452
0.000827,1088
0.000836,27622
0.000844,59374
0.000852,1168
0.000860,28102
0.000868,64943
0.000876,1280
0.000885,24582
0.000893,65135
0.000901,1456
0.000909,21189
0.000917,63327
0.000926,6401
0.000934,18292
0.000942,60782
0.000950,16259
0.000958,16035
0.000967,58398
0.000975,22805
0.000983,14115
0.000991,54797
0.000999,27190
0.001008,14067
0.001016,52396
0.001024,30055
0.001032,12130
0.001040,49980
0.001048,34680
0.001057,11618
0.001065,45947
0.001073,37545
0.001081,13331
0.001089,42330
0.001098,39385
0.001106,14387
0.001114,39529
0.001122,40681
0.001130,16035
0.001139,36696
0.001147,41562
0.001155,18276
0.001163,34248
0.001171,41578
0.001180,20629
0.001188,31927
0.001196,41722
0.001204,22837
0.001212,29639
0.001221,41146
0.001229,25622
0.001237,28374
0.001245,39945
0.001253,27574
0.001261,28246
0.001270,38457
0.001278,28118
0.001286,28662
0.001294,38153
0.001302,29159
0.001311,27830
0.001319,37033
0.001327,30935
0.001335,27078
0.001343,36248
0.001352,32135
0.001360,27446
0.001368,35128
0.001376,32503
0.001384,27782
0.001393,34312
0.001401,33224
0.001409,28070
0.001417,33384
0.001425,33736
0.001433,28486
0.001442,32551
0.001450,33768
0.001458,29431
0.001466,31879
0.001474,33592
0.001483,29975
0.001491,31831
0.001499,33272
0.001507,30103
0.001515,31527
0.001524,33416
0.001532,30263
0.001540,30679
0.001548,34200
0.001556,31495
0.001565,30135
0.001573,32872
0.001581,31703
0.001589,30215
0.001597,33944
0.001606,31751
0.001614,29287
0.001622,33288
0.001630,32391
0.001638,30263
0.001646,32247
0.001655,32039
0.001663,31463
0.001671,32583
0.001679,30919
0.001687,31399
0.001696,32615
0.001704,31431
0.001712,31639
0.001720,31863
0.001728,31703
0.001737,31191
0.001745,32567
0.001753,31639
0.001761,30983
0.001769,32007
0.001778,32647
0.001786,31063
0.001794,31175
0.001802,32583
0.001810,32055
0.001818,30967
0.001827,32023
0.001835,31815
0.001843,31543
0.001851,32183
0.001859,31575
0.001868,31335
0.001876,32487
0.001884,31751
0.001892,30935
0.001900,32135
0.001909,32295
0.001917,31591
0.001925,31335
0.001933,31975
0.001941,31927
0.001950,31847
0.001958,31991
0.001966,31031
0.001974,32215
0.001982,32039
0.001990,31639
0.001999,31671
0.002007,31863
0.002015,32151
0.002023,31287
0.002031,31879
0.002040,31895
0.002048,31911
0.002056,31623
0.002064,31991
0.002072,31735
0.002081,31575
0.002089,32023
0.002097,31927
0.002105,31415
0.002113,32295
0.002122,31655
0.002130,31751
0.002138,31575
0.002146,31991
0.002154,32055
0.002163,31415
0.002171,31783
0.002179,32007
0.002187,31847
0.002195,31623
0.002203,31991
0.002212,31671
0.002220,31815
0.002228,32231
