Timestamps,Voltages
0.000000,65535
0.000008,65535
0.000016,1040
0.000025,33448
0.000033,65535
0.000041,1088
0.000049,24966
0.000057,65535
0.000066,16868
0.000074,11394
0.000082,65535
0.000090,33960
0.000098,960
0.000107,65535
0.000115,50172
0.000123,55805
0.000131,45435
0.000139,960
0.000147,65535
0.000156,17476
0.000164,19204
0.000172,65535
0.000180,18196
0.000188,3520
0.000197,65535
0.000205,29111
0.000213,1024
0.000221,65535
0.000229,30791
0.000238,976
0.000246,65535
0.000254,24565
0.000262,1536
0.000270,65535
0.000279,7985
0.000287,18228
0.000295,65535
0.000303,1008
0.000311,39481
0.000320,65535
0.000328,1024
0.000336,60718
0.000344,65535
0.000352,1008
0.000361,65535
0.000369,65535
0.000377,1024
0.000385,65535
0.000393,57854
0.000402,1024
0.000410,65535
0.000418,13123
0.000426,15059
0.000434,65535
0.000442,1040
0.000451,65535
0.000459,62399
0.000467,1024
0.000475,65535
0.000483,25798
0.000492,2912
0.000500,65535
0.000508,2528
0.000516,28598
0.000524,65535
0.000533,1056
0.000541,50316
0.000549,65535
0.000557,1040
0.000565,62639
0.000574,65535
0.000582,1056
0.000590,65535
0.000598,65535
0.000606,1072
0.000615,65535
0.000623,64191
0.000631,1056
0.000639,63007
0.000647,34808
0.000656,1040
0.000664,47595
0.000672,1024
0.000680,1056
0.000688,28278
0.000696,1040
0.000705,1072
0.000713,27670
0.000721,1312
0.000729,1088
0.000737,39049
0.000746,1024
0.000754,1184
0.000762,53757
0.000770,1024
0.000778,1536
0.000787,64959
0.000795,1056
0.000803,2320
0.000811,65535
0.000819,1136
0.000828,3872
0.000836,65535
0.000844,1232
0.000852,5473
0.000860,65535
0.000869,6145
0.000877,6545
0.000885,65535
0.000893,16035
0.000901,6529
0.000910,62383
0.000918,24982
0.000926,5809
0.000934,57406
0.000942,33592
0.000951,4449
0.000959,51932
0.000967,40153
0.000975,4673
0.000983,45915
0.000991,44890
0.001000,6865
0.001008,40249
0.001016,47691
0.001024,9874
0.001032,35400
0.001041,48299
0.001049,14035
0.001057,31847
0.001065,47483
0.001073,18020
0.001082,29367
0.001090,46027
0.001098,21141
0.001106,28246
0.001114,44778
0.001123,23637
0.001131,26694
0.001139,43562
0.001147,26534
0.001155,25030
0.001164,41866
0.001172,29847
0.001180,24197
0.001188,39433
0.001196,32183
0.001205,24582
0.001213,37689
0.001221,33304
0.001229,24854
0.001237,36392
0.001245,34216
0.001254,25830
0.001262,34392
0.001270,35320
0.001278,26374
0.001286,32984
0.001295,35400
0.001303,27334
0.001311,32487
0.001319,35080
0.001327,28022
0.001336,31799
0.001344,35640
0.001352,28198
0.001360,31159
0.001368,35624
0.001377,29191
0.001385,30455
0.001393,35384
0.001401,29831
0.001409,30055
0.001418,35032
0.001426,30359
0.001434,29975
0.001442,34952
0.001450,30647
0.001459,30247
0.001467,34312
0.001475,30967
0.001483,29911
0.001491,34120
0.001500,31607
0.001508,30199
0.001516,33896
0.001524,31287
0.001532,30311
0.001540,33576
0.001549,31719
0.001557,30775
0.001565,32727
0.001573,31719
0.001581,31431
0.001590,32231
0.001598,31575
0.001606,31495
0.001614,32215
0.001622,31703
0.001631,31799
0.001639,32087
0.001647,31383
0.001655,31639
0.001663,32503
0.001672,31671
0.001680,31623
0.001688,31975
0.001696,31831
0.001704,31959
0.001713,31607
0.001721,31895
0.001729,31799
0.001737,31687
0.001745,31847
0.001754,31895
0.001762,32215
0.001770,31383
0.001778,32007
0.001786,31847
0.001794,31831
0.001803,32247
0.001811,31559
0.001819,31559
0.001827,32503
0.001835,31527
0.001844,31415
0.001852,32343
0.001860,31735
0.001868,31799
0.001876,31975
0.001885,31527
0.001893,32391
0.001901,31735
0.001909,31319
0.001917,32295
0.001926,32311
0.001934,30999
0.001942,32039
0.001950,32663
0.001958,31367
0.001967,31879
0.001975,32023
0.001983,31383
0.001991,32599
0.001999,31687
0.002008,31063
0.002016,32439
0.002024,32535
0.002032,31031
0.002040,31895
0.002048,32519
0.002057,31447
0.002065,31799
0.002073,32135
0.002081,31847
0.002089,31911
0.002098,31879
0.002106,31527
0.002114,32087
0.002122,32263
0.002130,31575
0.002139,31415
0.002147,32375
0.002155,32327
0.002163,31223
0.002171,31415
0.002180,32840
0.002188,31911
0.002196,31127
0.002204,32167
0.002212,32439
0.002221,31831
