Timestamps,Voltages
0.000000,65535
0.000008,65535
0.000016,1072
0.000025,65535
0.000033,65535
0.000041,1040
0.000049,65535
0.000057,65535
0.000066,1008
0.000074,65535
0.000082,65535
0.000090,1008
0.000098,65535
0.000107,65535
0.000115,1024
0.000123,65535
0.000131,1072
0.000139,64047
0.000147,65535
0.000156,1024
0.000164,65535
0.000172,65535
0.000180,1024
0.000188,65535
0.000197,65535
0.000205,1024
0.000213,65535
0.000221,65535
0.000229,992
0.000238,65535
0.000246,65535
0.000254,1024
0.000262,65535
0.000270,65535
0.000279,1040
0.000287,65535
0.000295,65535
0.000303,1040
0.000311,65535
0.000320,61887
0.000328,1056
0.000336,65535
0.000344,38169
0.000352,1024
0.000360,65535
0.000369,13267
0.000377,10242
0.000385,65535
0.000393,1040
0.000401,43578
0.000410,65535
0.000418,1072
0.000426,65535
0.000434,51964
0.000442,1024
0.000451,65535
0.000459,1056
0.000467,57694
0.000475,65535
0.000483,1072
0.000492,65535
0.000500,65535
0.000508,1072
0.000516,65535
0.000524,55805
0.000533,1088
0.000541,65535
0.000549,29719
0.000557,1024
0.000565,65535
0.000573,11010
0.000582,1024
0.000590,65535
0.000598,1024
0.000606,1024
0.000614,65535
0.000623,1008
0.000631,1120
0.000639,65535
0.000647,1008
0.000655,1152
0.000664,43834
0.000672,1024
0.000680,1248
0.000688,1040
0.000696,1088
0.000705,1760
0.000713,1024
0.000721,1008
0.000729,5393
0.000737,1056
0.000746,1024
0.000754,17972
0.000762,2144
0.000770,1040
0.000778,32391
0.000786,23349
0.000795,1120
0.000803,40970
0.000811,38137
0.000819,1184
0.000827,43882
0.000836,47547
0.000844,1280
0.000852,42410
0.000860,53613
0.000868,1408
0.000877,37929
0.000885,56413
0.000893,1536
0.000901,32119
0.000909,59006
0.000918,2016
0.000926,26454
0.000934,59822
0.000942,10962
0.000950,21637
0.000959,58126
0.000967,18324
0.000975,18724
0.000983,55997
0.000991,22821
0.001000,16484
0.001008,53517
0.001016,27110
0.001024,15587
0.001032,50492
0.001040,30135
0.001049,15523
0.001057,47419
0.001065,33640
0.001073,15571
0.001081,44298
0.001090,35592
0.001098,16884
0.001106,41018
0.001114,37369
0.001122,18564
0.001131,37977
0.001139,38041
0.001147,20997
0.001155,35240
0.001163,38153
0.001172,23477
0.001180,32856
0.001188,38489
0.001196,25350
0.001204,30919
0.001213,38425
0.001221,27382
0.001229,29095
0.001237,37913
0.001245,29127
0.001253,28438
0.001262,37033
0.001270,30791
0.001278,27686
0.001286,36120
0.001294,32231
0.001303,27446
0.001311,34840
0.001319,33432
0.001327,27718
0.001335,34040
0.001344,33912
0.001352,27862
0.001360,33480
0.001368,33928
0.001376,28262
0.001385,33224
0.001393,34472
0.001401,27878
0.001409,32535
0.001417,35192
0.001426,28022
0.001434,32295
0.001442,35112
0.001450,28518
0.001458,31495
0.001466,35352
0.001475,29255
0.001483,31271
0.001491,34392
0.001499,29847
0.001507,31303
0.001516,34312
0.001524,30183
0.001532,31047
0.001540,34152
0.001548,30487
0.001557,30967
0.001565,33800
0.001573,31319
0.001581,30647
0.001589,33480
0.001598,31367
0.001606,30743
0.001614,33176
0.001622,31879
0.001630,30647
0.001639,33096
0.001647,31751
0.001655,31015
0.001663,32792
0.001671,32055
0.001679,31015
0.001688,32359
0.001696,32071
0.001704,31511
0.001712,31767
0.001720,32279
0.001729,31623
0.001737,31655
0.001745,32215
0.001753,31927
0.001761,31319
0.001770,32135
0.001778,32263
0.001786,31415
0.001794,31831
0.001802,32199
0.001811,31543
0.001819,32151
0.001827,32007
0.001835,31543
0.001843,32071
0.001852,32023
0.001860,31591
0.001868,32215
0.001876,31895
0.001884,31799
0.001893,31703
0.001901,32007
0.001909,31959
0.001917,31943
0.001925,32055
0.001933,32023
0.001942,31751
0.001950,32055
0.001958,31751
0.001966,31991
0.001974,32231
0.001983,31815
0.001991,31559
0.001999,32311
0.002007,32247
0.002015,31191
0.002024,32087
0.002032,32583
0.002040,31031
0.002048,31959
0.002056,32695
0.002065,31127
0.002073,31975
0.002081,32840
0.002089,31079
0.002097,31719
0.002106,32840
0.002114,31671
0.002122,31287
0.002130,32792
0.002138,31559
0.002146,31399
0.002155,32920
0.002163,31879
0.002171,31143
0.002179,32583
0.002187,32103
0.002196,31271
0.002204,32455
0.002212,32167
0.002220,31351
