,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,16932,199.55417685629726,18698.84066351056,796.0,974.0,-75.19780736895981,119.61327525,10,10,-30.0,120.0,123.69316876852982,-14.036243467926479,tall,13.0,33.0
1,8e-06,12947,-34486.00281000938,36520.04577947702,,,-174.0010474550742,,,,,,,,,,
2,1.6e-05,61519,27980.956429438018,41903.08723088302,,,273.76608591019885,,,,,,,,,,
3,2.5e-05,65535,12197.274021199768,40188.55393732375,,,-99.30649658440316,,,,,,,,,,
4,3.3e-05,1008,-39359.797690196625,40068.74708356232,,,-190.8777500983418,,,,,,,,,,
5,4.1e-05,65535,21296.126957688004,39595.334491670474,,,315.8940573800797,,,,,,,,,,
6,4.9e-05,65535,22005.303256576215,39300.9934742399,,,-148.62046023450085,,,,,,,,,,
7,5.7e-05,1024,-41116.593733946684,41442.796349283315,,,-163.65145679889645,,,,,,,,,,
8,6.6e-05,65535,14357.15971965837,42721.70557324822,,,333.5542842674488,,,,,,,,,,
9,7.4e-05,65535,27509.619399783194,40979.596441015536,,,-197.19568789590437,,,,,,,,,,
10,8.2e-05,1040,-37848.15418157615,38951.202756829625,,,-124.95796520160988,,,,,,,,,,
11,9e-05,65535,7796.552885584692,36860.79539824743,,,326.9776933775008,,,,,,,,,,
12,9.8e-05,65535,26587.19784727081,34007.00539218039,,,-210.27226021082876,,,,,,,,,,
13,0.000107,1040,-29167.631170421162,31539.580916431907,,,-105.40181379264213,,,,,,,,,,
14,0.000115,56285,3515.840517239159,28410.07466197852,,,292.3244260786655,,,,,,,,,,
15,0.000123,65535,18335.337557722138,23325.294598818786,,,-163.2729415295437,,,,,,,,,,
16,0.000131,1296,-17257.175040499562,18131.999964877847,,,-118.26149649300238,,,,,,,,,,
17,0.000139,1024,3836.463499946643,13340.123085986519,,,225.6684574578068,,,,,,,,,,
18,0.000148,65535,4288.151792391393,8863.745295850258,,,-54.849465344833476,,,,,,,,,,
19,0.000156,65535,-6095.123103851516,7557.260171829748,,,-155.29273727561758,,,,,,,,,,
20,0.000164,65215,9649.945228852144,9729.405750981821,,,128.44118157777996,,,,,,,,,,
21,0.000172,1024,-11742.89772460658,14206.890163623984,,,91.8479664791917,,,,,,,,,,
22,0.00018,58094,944.0384292476886,19424.55755698949,,,-194.21308770822273,,,,,,,,,,
23,0.000188,65535,19229.35041239265,23694.940633830072,,,10.459977853972235,,,,,,,,,,
24,0.000197,1024,-25580.728088575972,27785.744314577954,,,240.60885957318388,,,,,,,,,,
25,0.000205,28743,3296.0234276625324,31814.947219663303,,,-212.53748118661838,,,,,,,,,,
26,0.000213,65535,28953.762643678998,35271.57068812357,,,-113.14823125151997,,,,,,,,,,
27,0.000221,1072,-34955.407513052494,38646.5428858747,,,359.96221759867615,,,,,,,,,,
28,0.000229,27014,3352.5098287607516,41489.78547240397,,,-198.05074700884342,,,,,,,,,,
29,0.000238,65535,35350.81122444995,43066.49459468299,,,-229.7199458470723,,,,,,,,,,
