Timestamps,Voltages
0.000000,1024
0.000008,1024
0.000016,65535
0.000025,23029
0.000033,4289
0.000041,65535
0.000049,31447
0.000057,1024
0.000066,65535
0.000074,49852
0.000082,1040
0.000090,65535
0.000098,64511
0.000107,1104
0.000115,65535
0.000123,65535
0.000131,1056
0.000139,65535
0.000148,65535
0.000156,65535
0.000164,1040
0.000172,1024
0.000180,65535
0.000188,65535
0.000197,1024
0.000205,65535
0.000213,65535
0.000221,1024
0.000229,65535
0.000238,65535
0.000246,1024
0.000254,65535
0.000262,65263
0.000270,1024
0.000279,65535
0.000287,48539
0.000295,896
0.000303,65535
0.000311,25174
0.000320,1296
0.000328,65535
0.000336,2192
0.000344,21013
0.000352,65535
0.000361,1040
0.000369,43642
0.000377,65535
0.000385,1040
0.000393,65535
0.000402,65535
0.000410,1024
0.000418,65535
0.000426,37785
0.000434,1024
0.000443,65535
0.000451,1072
0.000459,65535
0.000467,65535
0.000475,1056
0.000483,65535
0.000492,64735
0.000500,1040
0.000508,65535
0.000516,25574
0.000524,1024
0.000533,65535
0.000541,1392
0.000549,10562
0.000557,65535
0.000565,1040
0.000574,20228
0.000582,65535
0.000590,1040
0.000598,24277
0.000606,65535
0.000615,1024
0.000623,24021
0.000631,65535
0.000639,1024
0.000647,18948
0.000656,39753
0.000664,1024
0.000672,10930
0.000680,992
0.000688,1040
0.000697,10818
0.000705,1040
0.000713,1024
0.000721,18948
0.000729,1008
0.000738,1040
0.000746,34632
0.000754,1024
0.000762,1088
0.000770,52380
0.000778,1072
0.000787,1296
0.000795,63855
0.000803,1120
0.000811,1600
0.000819,65535
0.000828,9010
0.000836,1920
0.000844,65535
0.000852,18020
0.000860,2128
0.000869,63439
0.000877,26726
0.000885,2272
0.000893,57662
0.000901,35416
0.000910,2336
0.000918,51244
0.000926,43354
0.000934,2320
0.000942,44570
0.000951,48635
0.000959,3232
0.000967,38281
0.000975,51836
0.000983,7905
0.000992,32535
0.001000,52988
0.001008,12355
0.001016,28422
0.001024,52108
0.001033,16852
0.001041,26182
0.001049,50092
0.001057,20196
0.001065,24886
0.001074,48571
0.001082,23125
0.001090,23685
0.001098,46907
0.001106,25478
0.001114,23173
0.001123,45050
0.001131,27862
0.001139,22805
0.001147,42730
0.001155,30423
0.001164,23237
0.001172,39641
0.001180,32615
0.001188,23701
0.001196,37449
0.001205,34280
0.001213,24389
0.001221,35240
0.001229,35176
0.001237,25702
0.001246,33368
0.001254,35960
0.001262,26790
0.001270,31799
0.001278,35864
0.001287,28486
0.001295,30503
0.001303,35704
0.001311,29479
0.001319,29751
0.001328,35576
0.001336,30215
0.001344,29479
0.001352,35272
0.001360,30695
0.001369,29031
0.001377,35096
0.001385,31463
0.001393,28759
0.001401,34680
0.001409,31815
0.001418,28855
0.001426,34792
0.001434,31927
0.001442,28614
0.001450,34536
0.001459,32551
0.001467,28550
0.001475,33768
0.001483,32936
0.001491,29287
0.001500,33384
0.001508,33128
0.001516,28887
0.001524,33032
0.001532,33448
0.001541,29143
0.001549,32567
0.001557,33640
0.001565,29399
0.001573,31991
0.001582,33528
0.001590,30295
0.001598,31447
0.001606,33368
0.001614,30679
0.001623,31351
0.001631,33192
0.001639,31047
0.001647,31367
0.001655,33016
0.001664,31527
0.001672,31127
0.001680,32263
0.001688,32007
0.001696,31319
0.001704,31959
0.001713,31991
0.001721,31511
0.001729,31927
0.001737,32135
0.001745,30935
0.001754,31991
0.001762,32423
0.001770,31287
0.001778,31463
0.001786,32423
0.001795,31959
0.001803,31159
0.001811,32119
0.001819,32055
0.001827,31271
0.001836,32279
0.001844,31751
0.001852,31207
0.001860,32535
0.001868,31767
0.001877,31767
0.001885,31671
0.001893,31927
0.001901,31959
0.001909,31927
0.001918,31623
0.001926,31751
