Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
0,0.0,65535,481.2943066326911,19686.30928720217,287.0,465.0,-58.47767284878162,44.94303275,tall,14.0,3.0,11.309932474020217,10.0,50.0,50.99019513592785,13.0,50.0
1,8e-06,65535,31733.84781205073,37113.86193797997,,,210.22475183728025,,,,,,,,,,
2,1.6e-05,1056,-38697.753121581874,42613.980350730446,,,-157.28790472791766,,,,,,,,,,
3,2.5e-05,65535,13280.01557777747,43674.66617172649,,,-79.34887232171755,,,,,,,,,,
4,3.3e-05,65535,25118.743082333094,45110.958207642725,,,238.7995728128176,,,,,,,,,,
5,4.1e-05,1088,-42860.81746009221,42861.86028633393,,,-112.73378546817013,,,,,,,,,,
6,4.9e-05,65535,21999.32847459819,41095.52503958139,,,-159.08170979853003,,,,,,,,,,
7,5.7e-05,65535,19251.606358541558,41833.50156844728,,,223.1946572128831,,,,,,,,,,
8,6.6e-05,1088,-41746.01456654647,41814.44389509735,,,25.71244934290369,,,,,,,,,,
9,7.4e-05,65023,24961.83681669397,41009.39124208896,,,-265.66235375144754,,,,,,,,,,
10,8.2e-05,65535,12231.464094158846,39207.93299919126,,,153.00913305809394,,,,,,,,,,
11,9e-05,1056,-33526.16377286192,34838.16241701774,,,195.45053160853087,,,,,,,,,,
12,9.8e-05,56189,23408.603331415798,30190.425695899597,,,-326.8759265797326,,,,,,,,,,
13,0.000107,65535,2185.215809983088,26514.85454027496,,,56.898441145253855,,,,,,,,,,
14,0.000115,1040,-19427.36681782505,23000.584315880013,,,275.0348458774135,,,,,,,,,,
15,0.000123,65535,20338.082261246906,20962.39442963865,,,-271.0736767639904,,,,,,,,,,
16,0.000131,16500,-10894.352129096167,20352.53569510865,,,3.8489710526405263,,,,,,,,,,
17,0.00014,50732,-3275.321947914006,20699.829052635952,,,147.54505038141062,,,,,,,,,,
18,0.000148,65535,18518.18270783261,22980.32328245746,,,-81.12763685481492,,,,,,,,,,
19,0.000156,1056,-24868.01149009571,25692.95368727749,,,65.18698015828603,,,,,,,,,,
20,0.000164,65535,10561.010183373111,28848.69454109275,,,-203.40474064667023,,,,,,,,,,
