,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,65535,-346.69258722553803,1219.753586996599,700.0,924.0,-136.20968453841073,105.38366300000001,12,8,-10.0,100.0,100.4987562112089,-5.710593137499643,short,13.0,50.0
1,8e-06,65535,6481.617978747888,8420.212744909659,,,113.4465198680859,,,,,,,,,,
2,1.6e-05,64063,7232.836279259826,17757.617651993107,,,-0.09901168256569645,,,,,,,,,,
3,2.5e-05,992,-25684.16156114239,25693.542354601002,,,-70.47789199777831,,,,,,,,,,
4,3.3e-05,65535,17243.093907355807,32741.476388733547,,,65.77719496603797,,,,,,,,,,
5,4.1e-05,65535,18591.152437856468,38755.08650321023,,,-51.94223213365977,,,,,,,,,,
6,4.9e-05,1008,-42495.80044599573,42496.81213327754,,,39.03314902858814,,,,,,,,,,
7,5.7e-05,65535,22481.672348290194,44878.672647979765,,,39.26916776058042,,,,,,,,,,
8,6.6e-05,65535,23462.435536240042,46391.075325852835,,,-155.56165608011878,,,,,,,,,,
9,7.4e-05,1024,-46204.15382218492,46205.36798917953,,,143.04951838573982,,,,,,,,,,
10,8.2e-05,65535,22847.08703953459,44560.764032819054,,,65.48575939322866,,,,,,,,,,
11,9e-05,65535,19093.151150782967,41724.50104832082,,,-258.6881734638973,,,,,,,,,,
12,9.8e-05,992,-37249.87783866539,37424.656663493304,,,177.21297846014315,,,,,,,,,,
13,0.000107,65535,21014.921349606946,32486.85623532296,,,114.18365496236798,,,,,,,,,,
14,0.000115,65535,6013.768985176367,27664.90519228537,,,-273.896180466883,,,,,,,,,,
15,0.000123,960,-20335.52142559691,23214.139055713465,,,130.83810842098742,,,,,,,,,,
16,0.000131,65535,19903.221977556736,20475.58806020691,,,103.22244576048833,,,,,,,,,,
17,0.000139,1040,-12174.25219274363,20335.07835435039,,,-159.0084921416976,,,,,,,,,,
18,0.000147,65535,-1922.921212817525,22618.737666578774,,,67.94098952790974,,,,,,,,,,
19,0.000156,65535,21092.562386684873,26753.708290743703,,,-25.04887711018702,,,,,,,,,,
20,0.000164,1040,-30443.9182236271,31416.536569709373,,,31.22124558156285,,,,,,,,,,
21,0.000172,65535,12697.76074342802,36100.64002517166,,,70.6587152274862,,,,,,,,,,
22,0.00018,65535,24222.151628144165,40684.9922434401,,,-234.00053726050984,,,,,,,,,,
23,0.000188,1040,-44500.55807131296,44661.69605244545,,,179.6181166800318,,,,,,,,,,
24,0.000197,65535,21289.6477625375,47950.23847296644,,,158.00379094471964,,,,,,,,,,
25,0.000205,65535,27484.14025912871,50564.72977408889,,,-404.61527984613497,,,,,,,,,,
26,0.000213,1056,-52219.19465160827,52273.384713747204,,,199.1646379648799,,,,,,,,,,
27,0.000221,65535,24731.51329876338,53288.07732200283,,,263.1405900198377,,,,,,,,,,
28,0.000229,65535,28650.64761569447,53825.042542005984,,,-425.4399811901,,,,,,,,,,
29,0.000238,1040,-53685.45321756087,53713.50744930649,,,96.94836240957075,,,,,,,,,,
30,0.000246,65535,25636.780363726397,53041.036733979236,,,293.8402478736083,,,,,,,,,,
31,0.000254,65535,25969.83152698229,51911.942357805085,,,-279.73002319717693,,,,,,,,,,
32,0.000262,1072,-50199.23691234614,50214.51830019831,,,-45.151115133823964,,,,,,,,,,
33,0.00027,65535,26562.107980244506,48190.35809980434,,,216.70434364160207,,,,,,,,,,
34,0.000279,65535,18704.526756673233,46064.087722579075,,,-56.17403170954804,,,,,,,,,,
35,0.000287,1088,-43173.80657957939,43759.88869689453,,,-142.6933109270679,,,,,,,,,,
36,0.000295,65535,28693.319118361545,41455.671011998136,,,88.231632728394,,,,,,,,,,
37,0.000303,62047,7426.737794335567,39277.79621784971,,,110.64951229924021,,,,,,,,,,
38,0.000311,1056,-33613.65180181431,37176.72811107998,,,-160.5057131542243,,,,,,,,,,
39,0.00032,65535,31385.685342114855,35420.533153556,,,19.534901919767794,,,,,,,,,,
40,0.000328,37497,-5891.936233152356,34113.31857344859,,,102.71868846303775,,,,,,,,,,
41,0.000336,1024,-22215.738258647914,33150.92920302439,,,-111.89174217429797,,,,,,,,,,
42,0.000344,65535,32540.83446641052,32613.326969290156,,,129.26622701818545,,,,,,,,,,
43,0.000352,14195,-18182.685030469627,32290.705367738712,,,-162.26820036556035,,,,,,,,,,
44,0.00036,10050,-9719.140917729612,31935.861849074434,,,-41.306387572036435,,,,,,,,,,
45,0.000369,65535,29621.323545846255,31546.766838137402,,,533.8374200480656,,,,,,,,,,
46,0.000377,1088,-26135.19001555869,30924.750706419305,,,-733.0325626909741,,,,,,,,,,
47,0.000385,35672,2848.2839776150086,30019.249794393836,,,-36.86570435922391,,,,,,,,,,
48,0.000393,65535,20968.01394815979,28951.86074149272,,,1358.2606795818278,,,,,,,,,,
49,0.000401,1104,-27401.863402629966,27643.155662655834,,,-1599.3357701139971,,,,,,,,,,
50,0.00041,65535,14122.288174279474,26247.75229892587,,,-260.6265828855424,,,,,,,,,,
51,0.000418,65535,6915.563244280167,25028.851236501687,,,2710.039009472548,,,,,,,,,,
52,0.000426,1104,-21556.861260628917,24116.670020377685,,,-2638.1570647318385,,,,,,,,,,
53,0.000434,65535,22476.841512318035,23872.277000127237,,,-933.3590885023872,,,,,,,,,,
54,0.000442,14723,-9879.947856851159,24436.418754878923,,,4596.23008054136,,,,,,,,,,
55,0.000451,28582,-10192.020533049703,25695.039626674607,,,-3592.5282172390143,,,,,,,,,,
56,0.000459,65535,26210.27575079485,27584.38892410363,,,-2235.58802023962,,,,,,,,,,
57,0.000467,1024,-25284.306904448884,29754.357084500472,,,6838.901481676844,,,,,,,,,,
58,0.000475,65535,3959.49112625783,31930.84113318023,,,-4141.846739051695,,,,,,,,,,
59,0.000483,65535,24004.519240684713,34012.81702195966,,,-4168.000933200882,,,,,,,,,,
60,0.000492,1040,-35474.99148283296,35792.554996264626,,,9073.039645101633,,,,,,,,,,
61,0.0005,65535,18242.616670915137,37287.01620939214,,,-4050.8186973865213,,,,,,,,,,
62,0.000508,63183,15714.293428766152,38590.58599079428,,,-6470.360912182973,,,,,,,,,,
63,0.000516,1008,-38711.010140888015,39660.274396844405,,,10860.308693786586,,,,,,,,,,
64,0.000524,65535,30762.112009352015,40622.846677021844,,,-3309.817111215216,,,,,,,,,,
65,0.000533,33848,3071.2988813617026,41559.13499598894,,,-8673.1172504221,,,,,,,,,,
66,0.000541,1024,-35944.23246920285,42428.60233208873,,,11864.988771419276,,,,,,,,,,
67,0.000549,65535,40221.4292979398,43342.369195938605,,,-2170.690233700899,,,,,,,,,,
68,0.000557,8562,-10406.091987721478,44280.37333386247,,,-10267.524260054472,,,,,,,,,,
69,0.000565,1088,-29888.57079936091,45108.071509969224,,,11989.391997177496,,,,,,,,,,
70,0.000573,65535,45435.94783248933,45792.18418432328,,,-1049.7702416769168,,,,,,,,,,
