Timestamps,Voltages
0.000000,65535
0.000008,65535
0.000016,29927
0.000025,1104
0.000033,65535
0.000041,39737
0.000049,960
0.000057,65535
0.000066,58878
0.000074,1024
0.000082,65535
0.000090,65535
0.000098,1008
0.000107,65535
0.000115,65535
0.000123,1024
0.000131,63519
0.000139,65535
0.000147,65535
0.000156,1040
0.000164,960
0.000172,65535
0.000180,65535
0.000188,1008
0.000197,65535
0.000205,65535
0.000213,976
0.000221,65535
0.000229,65535
0.000238,1024
0.000246,65535
0.000254,65535
0.000262,1040
0.000270,65535
0.000279,57598
0.000287,1024
0.000295,65535
0.000303,33912
0.000311,1056
0.000320,65535
0.000328,10530
0.000336,14979
0.000344,65535
0.000352,1088
0.000360,37929
0.000369,65535
0.000377,1104
0.000385,65535
0.000393,65535
0.000401,1104
0.000410,65535
0.000418,41402
0.000426,1168
0.000434,65535
0.000442,1072
0.000451,65535
0.000459,65535
0.000467,1056
0.000475,65535
0.000483,65407
0.000492,1072
0.000500,65535
0.000508,29303
0.000516,1056
0.000524,65535
0.000533,3904
0.000541,7873
0.000549,65535
0.000557,1040
0.000565,17412
0.000573,65535
0.000582,976
0.000590,20837
0.000598,65535
0.000606,1024
0.000614,20052
0.000623,65535
0.000631,1040
0.000639,15171
0.000647,22165
0.000655,1152
0.000664,10754
0.000672,1008
0.000680,1136
0.000688,14963
0.000696,1024
0.000705,1136
0.000713,25990
0.000721,1056
0.000729,1168
0.000737,39657
0.000746,1056
0.000754,1200
0.000762,51852
0.000770,1088
0.000778,1312
0.000786,58750
0.000795,5777
0.000803,1504
0.000811,60590
0.000819,20324
0.000827,1696
0.000836,59006
0.000844,30839
0.000852,1936
0.000860,54701
0.000868,38441
0.000877,1984
0.000885,49804
0.000893,45243
0.000901,2016
0.000909,43786
0.000918,50236
0.000926,2224
0.000934,38025
0.000942,52604
0.000950,7089
0.000959,33160
0.000967,52796
0.000975,12387
0.000983,29031
0.000991,52284
0.001000,15747
0.001008,27030
0.001016,51356
0.001024,18484
0.001032,25558
0.001040,50220
0.001049,21109
0.001057,23557
0.001065,49628
0.001073,24117
0.001081,21605
0.001090,47803
0.001098,27542
0.001106,21317
0.001114,44826
0.001122,29671
0.001131,21685
0.001139,43082
0.001147,31639
0.001155,21445
0.001163,41098
0.001172,33944
0.001180,21301
0.001188,38713
0.001196,35944
0.001204,22229
0.001213,36184
0.001221,36296
0.001229,24774
0.001237,34280
0.001245,35544
0.001253,27062
0.001262,33240
0.001270,34760
0.001278,27830
0.001286,33240
0.001294,34952
0.001303,27638
0.001311,32663
0.001319,35672
0.001327,28166
0.001335,31175
0.001344,35944
0.001352,29735
0.001360,30007
0.001368,35080
0.001376,31303
0.001385,29895
0.001393,34152
0.001401,31831
0.001409,30503
0.001417,33432
0.001426,31511
0.001434,30967
0.001442,33272
0.001450,31799
0.001458,30375
0.001466,33800
0.001475,31735
0.001483,29879
0.001491,33768
0.001499,32663
0.001507,29511
0.001516,32856
0.001524,33800
0.001532,29959
0.001540,31543
0.001548,33624
0.001557,31415
0.001565,31399
0.001573,32535
0.001581,31335
0.001589,32215
0.001598,32631
0.001606,30647
0.001614,32455
0.001622,33032
0.001630,30407
0.001639,32199
0.001647,33096
0.001655,31191
0.001663,31207
0.001671,33208
0.001679,31911
0.001688,31223
0.001696,32279
0.001704,31975
0.001712,32039
0.001720,32055
0.001729,31255
0.001737,32487
0.001745,32503
0.001753,31079
0.001761,31735
0.001770,32615
0.001778,31911
0.001786,31639
0.001794,32343
0.001802,32167
0.001811,31255
0.001819,32471
0.001827,32039
0.001835,31543
0.001843,32103
0.001852,32327
0.001860,32007
0.001868,31831
0.001876,31431
0.001884,32295
0.001893,32856
0.001901,31047
0.001909,31591
0.001917,33176
0.001925,31943
0.001933,30727
0.001942,32567
0.001950,33080
0.001958,30791
0.001966,31511
0.001974,33544
0.001983,31447
0.001991,31383
0.001999,32695
0.002007,31927
0.002015,31847
0.002024,32087
0.002032,31831
0.002040,32503
0.002048,32071
0.002056,30983
0.002065,32663
0.002073,32663
0.002081,30823
0.002089,32247
0.002097,32776
0.002106,31255
0.002114,32023
0.002122,32343
0.002130,32279
0.002138,31463
0.002146,31879
0.002155,32583
0.002163,32103
0.002171,31495
0.002179,31895
0.002187,32215
0.002196,32247
0.002204,31367
0.002212,32119
0.002220,32647
