,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,1024,-451.9472429782073,19000.363149472538,593.0,815.0,227.05528759576194,92.1402615,13,7,0.0,90.0,90.0,0.0,short,13.0,50.0
1,8e-06,1024,-34427.93244806944,37016.44701507979,,,-151.18001314944712,,,,,,,,,,
2,1.6e-05,65535,30063.716073971293,42314.70422148953,,,-92.49340392682215,,,,,,,,,,
3,2.5e-05,51452,9046.789474229137,40749.579950400825,,,138.84273205315435,,,,,,,,,,
4,3.3e-05,1024,-39075.412539438265,40798.74759773013,,,4.800326648618868,,,,,,,,,,
5,4.1e-05,65535,25415.818274925503,40069.82864401963,,,-63.54196960451881,,,,,,,,,,
6,4.9e-05,62591,17762.60626876969,39721.4226177088,,,-17.31470196318868,,,,,,,,,,
7,5.7e-05,1040,-42208.763458954876,42209.3383734909,,,27.497699999490663,,,,,,,,,,
8,6.6e-05,65535,19985.063065442257,43855.79969955721,,,88.13768137764977,,,,,,,,,,
9,7.4e-05,65535,24087.73618237522,42572.58575771249,,,-101.6884730497016,,,,,,,,,,
10,8.2e-05,1024,-40745.14020334025,40969.10784022634,,,-91.50038814393969,,,,,,,,,,
11,9e-05,65535,13105.462134145577,38996.498239842556,,,223.0675889897914,,,,,,,,,,
12,9.8e-05,65535,25382.66443914631,36231.22656887114,,,-38.22389273577251,,,,,,,,,,
13,0.000106,1040,-32507.93112506801,33906.138711761756,,,-253.61572015922047,,,,,,,,,,
14,0.000115,65535,6082.161353131911,30687.08270213424,,,222.85911296893468,,,,,,,,,,
15,0.000123,65535,19222.387483447572,25216.25122324025,,,136.59544675860295,,,,,,,,,,
16,0.000131,1040,-18129.47898808402,19240.28598054399,,,-337.69540379266937,,,,,,,,,,
17,0.000139,41418,1870.7907846989792,13215.743182609574,,,74.35431843121393,,,,,,,,,,
18,0.000147,65535,5262.934321736072,6701.9707074185535,,,315.0342460214473,,,,,,,,,,
