Timestamps,Voltages
0.000000,40025
0.000008,9106
0.000016,56301
0.000025,65535
0.000033,1040
0.000041,65535
0.000049,65535
0.000057,1056
0.000066,65535
0.000074,65535
0.000082,1088
0.000090,65231
0.000098,65535
0.000107,1104
0.000115,51820
0.000123,65535
0.000131,5633
0.000139,1024
0.000147,65535
0.000156,65535
0.000164,65535
0.000172,1024
0.000180,53261
0.000188,65535
0.000197,1904
0.000205,23077
0.000213,65535
0.000221,5425
0.000229,21157
0.000238,65535
0.000246,1248
0.000254,26950
0.000262,65535
0.000270,1024
0.000279,41546
0.000287,65535
0.000295,1008
0.000303,61406
0.000311,65535
0.000320,1024
0.000328,65535
0.000336,65535
0.000344,1008
0.000352,65535
0.000361,65391
0.000369,1056
0.000377,65535
0.000385,41786
0.000393,1024
0.000402,65535
0.000410,3904
0.000418,24774
0.000426,65535
0.000434,1056
0.000442,65535
0.000451,46523
0.000459,928
0.000467,65535
0.000475,1120
0.000483,28935
0.000492,65535
0.000500,1056
0.000508,62063
0.000516,65535
0.000524,1056
0.000533,65535
0.000541,65535
0.000549,1056
0.000557,65535
0.000565,64319
0.000574,1056
0.000582,65535
0.000590,49276
0.000598,1072
0.000606,65535
0.000615,28406
0.000623,1088
0.000631,65535
0.000639,1040
0.000647,1072
0.000656,65535
0.000664,1024
0.000672,1056
0.000680,23077
0.000688,1040
0.000696,1104
0.000705,8482
0.000713,1024
0.000721,1360
0.000729,16163
0.000737,1024
0.000746,3200
0.000754,32599
0.000762,1024
0.000770,9490
0.000778,49372
0.000787,1040
0.000795,14755
0.000803,59982
0.000811,1088
0.000819,18244
0.000828,65279
0.000836,1168
0.000844,20036
0.000852,65535
0.000860,1296
0.000869,19460
0.000877,65327
0.000885,1472
0.000893,18436
0.000901,64255
0.000910,9266
0.000918,15043
0.000926,63391
0.000934,18740
0.000942,11266
0.000951,58926
0.000959,27158
0.000967,10322
0.000975,53357
0.000983,31623
0.000991,11954
0.001000,49820
0.001008,33912
0.001016,12130
0.001024,47931
0.001032,35736
0.001041,12258
0.001049,45595
0.001057,38073
0.001065,12339
0.001073,43130
0.001082,40425
0.001090,12995
0.001098,39593
0.001106,42442
0.001114,16227
0.001123,34712
0.001131,42698
0.001139,19572
0.001147,32776
0.001155,41658
0.001164,22421
0.001172,30983
0.001180,40521
0.001188,24886
0.001196,29671
0.001205,40153
0.001213,26422
0.001221,27702
0.001229,40729
0.001237,28326
0.001245,26630
0.001254,38937
0.001262,29719
0.001270,28038
0.001278,36568
0.001286,30263
0.001295,28582
0.001303,36056
0.001311,31191
0.001319,28198
0.001327,35112
0.001336,32087
0.001344,28342
0.001352,34536
0.001360,32888
0.001368,27990
0.001377,33624
0.001385,34072
0.001393,28422
0.001401,32279
0.001409,34360
0.001418,29495
0.001426,31079
0.001434,34296
0.001442,30631
0.001450,31367
0.001459,32808
0.001467,30759
0.001475,32279
0.001483,33016
0.001491,29847
0.001500,32071
0.001508,34200
0.001516,29975
0.001524,29959
0.001532,34696
0.001540,32599
0.001549,29127
0.001557,32519
0.001565,33128
0.001573,30887
0.001581,31751
0.001590,31943
0.001598,32167
0.001606,31847
0.001614,30951
0.001622,32071
0.001631,33176
0.001639,30695
0.001647,31095
0.001655,33336
0.001663,31415
0.001672,30695
0.001680,32679
0.001688,32727
0.001696,30311
0.001704,32039
0.001713,33160
0.001721,30791
0.001729,31191
0.001737,32920
0.001745,31959
