Timestamps,Voltages
0.000000,1056
0.000008,912
0.000016,65535
0.000025,14931
0.000033,9490
0.000041,65535
0.000049,26822
0.000057,1024
0.000066,65535
0.000074,45403
0.000082,960
0.000090,65535
0.000098,62655
0.000107,1024
0.000115,65535
0.000123,65535
0.000131,1024
0.000139,65535
0.000147,65535
0.000156,65535
0.000164,1024
0.000172,1024
0.000180,65535
0.000188,65535
0.000197,1008
0.000205,65535
0.000213,65535
0.000221,1024
0.000229,65535
0.000238,65535
0.000246,1056
0.000254,65535
0.000262,64415
0.000270,1056
0.000279,65535
0.000287,44922
0.000295,1024
0.000303,65535
0.000311,21573
0.000320,3872
0.000328,65535
0.000336,1152
0.000344,24453
0.000352,65535
0.000361,1040
0.000369,46731
0.000377,65535
0.000385,1040
0.000393,65535
0.000401,65535
0.000410,1056
0.000418,65535
0.000426,36953
0.000434,1024
0.000442,65535
0.000451,1056
0.000459,65535
0.000467,65535
0.000475,1040
0.000483,65535
0.000492,64831
0.000500,976
0.000508,65535
0.000516,25814
0.000524,976
0.000533,65535
0.000541,1808
0.000549,9666
0.000557,65535
0.000565,1072
0.000574,18260
0.000582,65535
0.000590,1056
0.000598,21125
0.000606,65535
0.000614,1056
0.000623,19652
0.000631,65535
0.000639,1024
0.000647,14019
0.000655,46299
0.000664,1040
0.000672,7457
0.000680,1024
0.000688,1024
0.000696,9010
0.000705,1040
0.000713,1040
0.000721,18964
0.000729,1040
0.000737,1008
0.000746,36200
0.000754,1056
0.000762,1088
0.000770,53357
0.000778,1072
0.000787,1312
0.000795,63567
0.000803,1168
0.000811,1744
0.000819,65535
0.000828,7521
0.000836,2304
0.000844,65535
0.000852,16580
0.000860,2688
0.000868,63455
0.000877,25926
0.000885,2816
0.000893,58334
0.000901,34296
0.000909,2720
0.000918,52908
0.000926,41530
0.000934,2560
0.000942,46811
0.000950,46795
0.000959,3024
0.000967,40889
0.000975,49548
0.000983,6977
0.000991,36072
0.001000,50812
0.001008,10690
0.001016,31847
0.001024,50860
0.001032,14899
0.001041,28775
0.001049,49356
0.001057,18564
0.001065,27558
0.001073,47259
0.001082,21381
0.001090,26646
0.001098,46123
0.001106,23141
0.001114,25510
0.001122,45131
0.001131,25782
0.001139,24357
0.001147,43034
0.001155,28791
0.001163,24261
0.001172,40169
0.001180,31063
0.001188,24966
0.001196,37769
0.001204,32727
0.001213,25478
0.001221,35864
0.001229,33896
0.001237,26518
0.001245,33752
0.001254,35080
0.001262,27526
0.001270,32007
0.001278,35240
0.001286,28390
0.001295,31415
0.001303,35080
0.001311,29047
0.001319,30791
0.001327,35272
0.001336,29879
0.001344,30087
0.001352,35128
0.001360,30567
0.001368,29479
0.001376,35320
0.001385,30647
0.001393,28951
0.001401,35512
0.001409,31095
0.001417,28839
0.001426,35000
0.001434,31447
0.001442,29079
0.001450,34392
0.001458,32135
0.001467,28759
0.001475,34072
0.001483,32359
0.001491,28887
0.001499,33848
0.001508,32631
0.001516,29239
0.001524,32984
0.001532,33320
0.001540,29335
0.001549,32615
0.001557,33384
0.001565,29271
0.001573,32471
0.001581,33448
0.001590,29783
0.001598,31895
0.001606,33400
0.001614,30631
0.001622,31447
0.001630,32471
0.001639,31207
0.001647,31975
0.001655,32231
0.001663,31255
0.001671,31735
0.001680,32151
0.001688,31527
0.001696,32007
0.001704,31719
0.001712,31879
0.001721,31575
0.001729,32039
0.001737,31831
0.001745,31383
0.001753,32135
0.001762,32247
0.001770,31095
0.001778,31927
0.001786,32215
0.001794,31623
0.001803,31543
0.001811,32311
0.001819,31735
0.001827,31687
0.001835,31687
0.001844,31927
0.001852,31959
0.001860,31799
0.001868,31735
0.001876,31831
0.001884,31799
0.001893,31735
0.001901,31847
0.001909,31911
0.001917,31751
0.001925,32039
0.001934,31591
0.001942,31767
0.001950,32167
0.001958,31559
0.001966,31751
0.001975,32039
0.001983,31831
0.001991,31543
0.001999,32183
0.002007,31911
0.002016,31623
0.002024,31991
0.002032,31783
0.002040,31927
0.002048,32007
0.002057,31559
0.002065,32007
0.002073,32087
0.002081,31639
0.002089,31735
0.002097,32103
0.002106,31575
0.002114,31943
0.002122,32071
0.002130,31655
0.002138,31831
0.002147,32183
0.002155,31687
0.002163,31623
0.002171,32311
0.002179,31751
0.002188,31335
0.002196,32119
0.002204,31783
0.002212,31511
0.002220,32471
0.002229,31895
0.002237,31271
0.002245,32439
0.002253,31767
0.002261,31383
0.002270,32311
0.002278,31623
0.002286,31767
0.002294,32231
0.002302,31799
0.002311,31639
0.002319,32055
0.002327,32039
0.002335,31719
0.002343,32087
0.002351,31655
0.002360,31623
0.002368,32567
0.002376,31735
0.002384,31671
0.002392,31719
0.002401,32087
0.002409,31991
0.002417,31863
0.002425,31943
0.002433,31767
0.002442,31831
0.002450,32375
0.002458,31591
0.002466,31591
0.002474,32615
0.002483,31959
0.002491,31111
0.002499,32343
0.002507,32455
0.002515,30951
0.002524,32231
0.002532,32583
0.002540,31159
0.002548,31879
0.002556,32567
0.002565,31175
0.002573,31959
0.002581,32695
0.002589,31111
0.002597,32023
0.002605,32663
0.002614,30919
0.002622,32087
0.002630,32743
0.002638,31111
0.002646,31639
0.002655,32695
0.002663,31703
0.002671,31399
0.002679,32776
0.002687,31527
0.002696,31495
0.002704,32439
0.002712,31527
0.002720,32023
0.002728,32647
0.002737,31287
0.002745,31415
0.002753,32968
0.002761,31863
0.002769,31271
0.002778,32343
0.002786,32231
0.002794,31543
0.002802,31703
0.002810,32695
0.002819,31447
0.002827,32039
0.002835,32135
0.002843,31815
0.002851,31623
0.002859,31975
0.002868,32167
0.002876,31879
0.002884,31799
0.002892,32215
0.002900,31847
0.002909,31767
0.002917,31959
0.002925,31879
0.002933,32183
0.002941,31799
0.002950,31863
0.002958,32311
0.002966,31719
0.002974,31911
0.002982,32167
0.002991,31959
0.002999,31847
0.003007,32103
0.003015,32023
0.003023,31991
0.003032,32007
0.003040,31799
0.003048,32295
0.003056,31639
0.003064,32119
0.003072,32327
0.003081,31591
0.003089,31703
0.003097,32375
0.003105,31783
0.003113,31511
0.003122,32583
0.003130,31895
0.003138,31463
0.003146,32215
0.003154,32151
0.003163,31847
0.003171,31863
0.003179,31959
0.003187,31927
0.003195,32551
0.003204,31383
0.003212,31783
0.003220,32375
0.003228,31863
0.003236,32007
0.003245,32119
0.003253,31383
0.003261,32023
0.003269,32968
0.003277,31207
