Timestamps,Voltages
0.000000,65535
0.000008,65535
0.000016,1024
0.000025,65535
0.000033,65535
0.000041,1008
0.000049,65535
0.000057,65535
0.000066,1008
0.000074,65535
0.000082,65535
0.000090,1024
0.000098,65535
0.000106,65535
0.000115,1024
0.000123,65535
0.000131,65535
0.000139,1024
0.000147,5825
0.000156,65535
0.000164,65535
0.000172,48379
0.000180,1056
0.000188,65535
0.000197,65535
0.000205,1056
0.000213,49612
0.000221,65535
0.000229,1056
0.000238,47659
0.000246,65535
0.000254,1056
0.000262,53677
0.000270,65535
0.000278,1056
0.000287,65535
0.000295,65535
0.000303,1040
0.000311,65535
0.000319,65535
0.000328,1056
0.000336,65535
0.000344,64927
0.000352,1056
0.000360,65535
0.000369,43898
0.000377,1024
0.000385,65535
0.000393,16259
0.000401,7265
0.000410,65535
0.000418,1008
0.000426,46315
0.000434,65535
0.000442,1024
0.000450,65535
0.000459,30871
0.000467,8065
0.000475,65535
0.000483,1056
0.000491,45835
0.000500,65535
0.000508,1056
0.000516,65535
0.000524,65535
0.000532,1024
0.000541,65535
0.000549,65343
0.000557,1024
0.000565,65535
0.000573,48635
0.000582,1024
0.000590,65535
0.000598,33656
0.000606,992
0.000614,65535
0.000622,15459
0.000631,992
0.000639,65535
0.000647,1024
0.000655,1040
0.000663,65535
0.000672,1056
0.000680,1008
0.000688,22053
0.000696,1024
0.000704,1072
0.000713,1120
0.000721,1040
0.000729,1456
0.000737,1424
0.000745,1040
0.000754,4897
0.000762,15843
0.000770,1040
0.000778,17556
0.000786,31927
0.000794,1072
0.000803,30471
0.000811,42810
0.000819,1184
0.000827,38169
0.000835,51292
0.000844,1280
0.000852,40265
0.000860,54973
0.000868,1392
0.000876,38041
0.000885,57309
0.000893,1488
0.000901,33960
0.000909,58734
0.000917,1600
0.000926,29319
0.000934,60270
0.000942,4225
0.000950,24582
0.000958,60158
0.000966,12162
0.000975,20517
0.000983,58638
0.000991,18580
0.000999,17556
0.001007,56221
0.001016,23349
0.001024,15907
0.001032,53052
0.001040,27734
0.001048,15571
0.001057,49452
0.001065,30391
0.001073,16420
0.001081,46619
0.001089,32487
0.001098,17076
0.001106,43850
0.001114,34344
0.001122,18340
0.001130,41146
0.001139,35576
0.001147,19396
0.001155,38729
0.001163,37017
0.001171,21061
0.001179,35688
0.001188,37913
0.001196,23237
0.001204,32952
0.001212,37801
0.001220,25718
0.001229,31463
0.001237,37209
0.001245,27430
0.001253,30263
0.001261,36664
0.001270,29335
0.001278,29207
0.001286,35784
0.001294,30743
0.001302,28871
0.001311,35016
0.001319,31687
0.001327,28951
0.001335,34184
0.001343,32247
0.001351,28775
0.001360,34200
0.001368,32279
0.001376,28759
0.001384,33672
0.001392,33208
0.001401,28566
0.001409,33480
0.001417,33256
0.001425,28807
0.001433,32695
0.001442,34296
0.001450,28374
0.001458,32311
0.001466,34568
0.001474,28582
0.001483,32087
0.001491,34536
0.001499,28951
0.001507,31655
0.001515,34184
0.001523,29863
0.001532,31015
0.001540,34344
0.001548,30407
0.001556,30567
0.001564,34056
0.001573,30791
0.001581,30503
0.001589,33608
0.001597,31271
0.001605,30983
0.001614,32856
0.001622,31511
0.001630,31063
0.001638,32615
0.001646,31527
0.001655,31399
0.001663,32423
0.001671,31543
0.001679,31287
0.001687,32375
0.001695,31847
0.001704,31335
0.001712,32087
0.001720,31751
0.001728,31623
0.001736,31895
0.001745,32151
0.001753,31591
0.001761,31543
0.001769,32359
0.001777,31639
0.001786,31431
0.001794,32263
0.001802,31911
0.001810,31623
0.001818,31703
0.001827,31703
0.001835,32327
0.001843,31591
0.001851,31559
0.001859,32167
0.001867,31895
0.001876,31495
0.001884,31991
0.001892,32135
0.001900,31383
0.001908,31911
0.001917,32167
0.001925,31255
0.001933,31927
0.001941,32407
0.001949,31447
0.001958,31735
0.001966,32119
0.001974,31639
0.001982,31959
0.001990,32135
0.001999,31367
0.002007,31815
0.002015,32295
0.002023,31543
0.002031,31671
0.002039,31655
0.002048,31943
0.002056,31575
0.002064,32151
0.002072,31783
0.002080,31799
0.002089,31927
0.002097,31671
0.002105,31991
0.002113,31719
0.002121,31751
0.002130,32215
0.002138,31447
0.002146,32055
0.002154,31943
0.002162,31655
0.002171,31879
0.002179,32087
0.002187,31623
0.002195,31639
0.002203,32295
0.002211,31783
0.002220,31415
