,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,928,-759.9192190478732,1605.1541166101013,1158.0,1381.0,-89.18881552729775,170.755347,11,15,-20.0,170.0,171.1724276862369,-6.7098368077569335,short,13.0,50.0
1,8e-06,24325,6501.855649789146,8416.30062823474,,,277.3440961532482,,,,,,,,,,
2,1.6e-05,65535,7208.9137035183185,16982.04447701067,,,-33.38734046102927,,,,,,,,,,
3,2.5e-05,1024,-24254.889889028807,24262.477142309777,,,-174.57696435864838,,,,,,,,,,
4,3.3e-05,65535,13839.46983581823,30706.30642732098,,,30.429033336137962,,,,,,,,,,
5,4.1e-05,65535,21134.533569774216,36294.18488057604,,,197.02512520756886,,,,,,,,,,
6,4.9e-05,1040,-39470.45602765575,39927.80458375639,,,-120.27415409405357,,,,,,,,,,
7,5.7e-05,65535,13598.78953325801,42318.86093001759,,,-170.71555390224853,,,,,,,,,,
8,6.6e-05,65535,30541.756331539524,43976.57090444384,,,253.0781291106092,,,,,,,,,,
9,7.4e-05,1056,-42247.207528490595,44102.936644153786,,,3.3323307782379064,,,,,,,,,,
10,8.2e-05,63743,8454.98141540883,42741.50554652086,,,-251.37954365049507,,,,,,,,,,
11,9e-05,65535,31017.343196633643,40263.41693512618,,,163.1979808644978,,,,,,,,,,
12,9.8e-05,1040,-33692.70189240423,36435.78294284687,,,119.22148798673155,,,,,,,,,,
13,0.000107,49804,3464.1510253973765,31706.62325613251,,,-202.94001215316538,,,,,,,,,,
14,0.000115,65535,21650.00836033797,26668.82475455663,,,-1.898778163250323,,,,,,,,,,
15,0.000123,6625,-19409.527373079167,21134.141165988716,,,175.13675507396835,,,,,,,,,,
16,0.000131,1024,3278.8273744980347,15402.98260966395,,,-59.35205926097828,,,,,,,,,,
17,0.000139,65535,5574.703316065972,10409.551245179375,,,-167.1461283015525,,,,,,,,,,
18,0.000148,65535,-6473.779762341721,7691.858655467879,,,147.57575442187863,,,,,,,,,,
19,0.000156,65535,9533.806749268248,9686.839061882027,,,126.52033663973499,,,,,,,,,,
20,0.000164,1056,-11631.70678602712,14108.390407929921,,,-271.89233496498406,,,,,,,,,,
21,0.000172,51964,355.74794482057024,18931.133205141374,,,42.55018323975868,,,,,,,,,,
22,0.00018,65535,20058.536164306715,23810.24713995871,,,294.34133862597406,,,,,,,,,,
23,0.000188,2416,-25016.867787339197,28252.644202169566,,,-283.79459396652,,,,,,,,,,
24,0.000197,21509,905.3157587469017,32095.408773928735,,,-100.96143900718513,,,,,,,,,,
25,0.000205,65535,30503.800094195456,35437.41926837043,,,389.5114369185506,,,,,,,,,,
26,0.000213,6113,-32780.14512006969,38110.78723201599,,,-211.7958525510209,,,,,,,,,,
27,0.000221,19604,-1136.8110950554178,40196.61097685409,,,-220.52674785003407,,,,,,,,,,
28,0.000229,65535,37063.583511756304,41912.00568142054,,,384.30300520517983,,,,,,,,,,
29,0.000238,1520,-36442.40458533096,43090.16316354626,,,-103.7632747887588,,,,,,,,,,
30,0.000246,25350,-1176.265206804891,43727.35067688628,,,-259.52629660964345,,,,,,,,,,
31,0.000254,65535,38202.59155655916,44038.14640614842,,,292.22198852678866,,,,,,,,,,
32,0.000262,1072,-38750.42104394162,43995.10299961045,,,-20.421254290609323,,,,,,,,,,
33,0.00027,39945,3361.4377888903123,43757.36108092762,,,-199.07315300350254,,,,,,,,,,
34,0.000279,65535,34472.92683319197,43581.78104726867,,,159.5313611386766,,,,,,,,,,
35,0.000287,1056,-41142.266593789165,43368.054049216924,,,0.979606857464494,,,,,,,,,,
36,0.000295,60014,11911.418908522812,43147.57510609711,,,-68.26909643634683,,,,,,,,,,
37,0.000303,65535,27195.97699291576,43010.05309772853,,,35.3144897161317,,,,,,,,,,
38,0.000311,1040,-42650.758340202905,42776.217967778255,,,-30.577948306029036,,,,,,,,,,
39,0.00032,65535,21619.315542822613,42474.81288256128,,,77.32965469662552,,,,,,,,,,
40,0.000328,65535,17436.035852049754,42124.04037799222,,,-63.268969627828085,,,,,,,,,,
41,0.000336,1024,-40793.767522564536,41492.57198124361,,,-66.96873068123628,,,,,,,,,,
42,0.000344,65535,29068.74762430895,40568.50829965092,,,199.64390012625304,,,,,,,,,,
43,0.000352,65535,6044.454708085907,39312.590046587684,,,-168.5552169006307,,,,,,,,,,
44,0.000361,1056,-33533.5372845788,37578.353764148276,,,-58.93350511577467,,,,,,,,,,
45,0.000369,65535,31653.349009326757,35518.67129279132,,,318.10214858725493,,,,,,,,,,
46,0.000377,43610,-5604.731215550004,33220.960362833335,,,-343.94358962077166,,,,,,,,,,
47,0.000385,1024,-20821.663271821857,30691.04000701272,,,-5.486512621228508,,,,,,,,,,
48,0.000393,65535,28099.248985157916,28164.570607052465,,,510.9033178386952,,,,,,,,,,
49,0.000402,5793,-15207.06181629373,25722.982534664574,,,-630.9122212286932,,,,,,,,,,
50,0.00041,21701,-4805.7495527443625,23471.96890936687,,,24.186711898497833,,,,,,,,,,
51,0.000418,65535,18441.964148732663,21736.314014955733,,,861.2215917159801,,,,,,,,,,
52,0.000426,1040,-20107.26042659674,20626.76279029683,,,-996.701454618354,,,,,,,,,,
53,0.000434,65535,11156.80215271179,20332.951502743064,,,-73.27291003047198,,,,,,,,,,
54,0.000443,51292,3949.3552010859726,20979.956080474323,,,1378.1591782866676,,,,,,,,,,
55,0.000451,1024,-18572.61132971294,22373.472221320644,,,-1330.1027217227154,,,,,,,,,,
56,0.000459,65535,23831.055548249707,24441.46714740351,,,-356.567489432921,,,,,,,,,,
57,0.000467,1968,-12917.884377111193,26956.981373107876,,,1955.0838557356167,,,,,,,,,,
58,0.000475,24389,-10809.183468437455,29659.953540804512,,,-1499.762634564838,,,,,,,,,,
59,0.000483,65535,31018.07699361875,32493.32468511555,,,-778.053866261256,,,,,,,,,,
60,0.000492,1024,-28830.269408315322,35260.852997610185,,,2409.542475242087,,,,,,,,,,
61,0.0005,57630,1040.0923294860029,37846.50847783119,,,-1436.52886826257,,,,,,,,,,
62,0.000508,65535,31862.58080671608,40240.05729142586,,,-1197.593094221295,,,,,,,,,,
63,0.000516,1056,-40455.50948982143,42262.90240017339,,,2590.272781091168,,,,,,,,,,
64,0.000524,65535,13871.477502665613,43849.941564450986,,,-1177.7280295577827,,,,,,,,,,
65,0.000533,65535,26826.84309648418,45011.35135521641,,,-1479.2137015315498,,,,,,,,,,
66,0.000541,1024,-45630.08757666766,45653.78911951012,,,2487.986813251619,,,,,,,,,,
67,0.000549,65535,24845.751354851564,45849.1726752439,,,-836.2414599371866,,,,,,,,,,
68,0.000557,65375,17582.42487492175,45690.94129459472,,,-1621.7625510001872,,,,,,,,,,
69,0.000565,1040,-44178.33543795699,45146.46844720177,,,2282.2138907073186,,,,,,,,,,
70,0.000574,65535,32129.589222790968,44309.418813678785,,,-501.4875078769595,,,,,,,,,,
71,0.000582,53164,6743.145786819075,43238.79866442511,,,-1852.742586110895,,,,,,,,,,
72,0.00059,976,-37817.426429349136,41904.3576393273,,,2283.7782530415734,,,,,,,,,,
73,0.000598,65535,34984.779339566216,40421.37019360506,,,-111.39984038893522,,,,,,,,,,
74,0.000606,32375,-2805.711745683195,38837.678744014534,,,-2621.439739703169,,,,,,,,,,
75,0.000615,1040,-29185.3690996803,37113.14236909627,,,2769.669705906334,,,,,,,,,,
76,0.000623,65535,33585.511989083985,35314.84822525669,,,640.7605855461643,,,,,,,,,,
77,0.000631,1616,-8951.433015191504,33415.70883811272,,,-4449.328882353106,,,,,,,,,,
78,0.000639,1056,-20648.02068412241,31362.573535729294,,,3762.4586174831916,,,,,,,,,,
79,0.000647,65535,28957.76346509108,29252.779014055453,,,2279.1794648152336,,,,,,,,,,
80,0.000656,1024,-11247.994603953735,27116.96061035541,,,-7653.994265288555,,,,,,,,,,
81,0.000664,1024,-13629.499050688652,24981.34181783285,,,4878.534750587364,,,,,,,,,,
82,0.000672,27366,22973.07394988106,22975.04908313954,,,5340.408793655193,,,,,,,,,,
83,0.00068,1040,-10997.729745460494,21120.151406694076,,,-12067.272871758109,,,,,,,,,,
84,0.000688,1072,-8673.838002713906,19442.30926595387,,,5386.57796074381,,,,,,,,,,
85,0.000697,9538,17990.813121112165,18077.030654961094,,,10049.64753110873,,,,,,,,,,
86,0.000705,1024,-10378.70814870996,17065.431408514793,,,-16936.47830209319,,,,,,,,,,
87,0.000713,1296,-5826.086504506962,16447.7471313521,,,4506.529387261556,,,,,,,,,,
88,0.000721,17444,16019.200864008422,16317.223289998612,,,16063.793420744894,,,,,,,,,,
89,0.000729,1008,-11214.119210659253,16628.352034110885,,,-21121.732309947674,,,,,,,,,,
90,0.000738,2432,-4864.766434288191,17333.63023764645,,,1802.707202472307,,,,,,,,,,
91,0.000746,33656,17851.231503074403,18456.582561435276,,,22461.880843605017,,,,,,,,,,
92,0.000754,1040,-14163.441480373891,19922.14354424746,,,-23512.62819701087,,,,,,,,,,
93,0.000762,7233,-5341.811374926136,21672.77691443787,,,-2553.8140768860962,,,,,,,,,,
94,0.00077,48187,22776.050302473912,23696.321710956647,,,28009.196567825456,,,,,,,,,,
95,0.000778,1040,-18651.15454571662,25860.391787725126,,,-23448.445426730737,,,,,,,,,,
96,0.000787,14083,-6656.036067134956,28052.83550050803,,,-7788.45718858531,,,,,,,,,,
97,0.000795,57758,29022.83344214423,30240.657802347792,,,31558.359126426854,,,,,,,,,,
98,0.000803,1088,-23327.56826766385,32320.33491167652,,,-20947.54820713357,,,,,,,,,,
99,0.000811,19972,-8256.486083265429,34226.9298128541,,,-12769.270577068633,,,,,,,,,,
100,0.000819,65343,34590.321902309704,35954.560705304146,,,32407.11932926623,,,,,,,,,,
101,0.000828,1152,-26691.25836928432,37402.14757698136,,,-16675.695978413212,,,,,,,,,,
102,0.000836,22277,-9842.750881056869,38501.954621156925,,,-16376.52927966109,,,,,,,,,,
103,0.000844,65535,37980.875414106784,39273.52922252497,,,30490.91265037011,,,,,,,,,,
104,0.000852,1264,-27615.845008088156,39681.261477890635,,,-11695.283051514907,,,,,,,,,,
105,0.00086,20597,-11397.365384344053,39729.59512147771,,,-17858.086215591207,,,,,,,,,,
106,0.000869,65535,38561.419638693675,39483.18357468639,,,26364.67588008109,,,,,,,,,,
107,0.000877,1376,-25671.637514556533,38920.00688400666,,,-7101.27684707697,,,,,,,,,,
108,0.000885,17284,-13039.506645809104,38043.67758003931,,,-17049.61103757568,,,,,,,,,,
109,0.000893,65247,36545.11408293515,36941.23250129892,,,20993.032558986095,,,,,,,,,,
110,0.000901,8017,-21201.39572496641,35646.563726044275,,,-3680.2124434922403,,,,,,,,,,
111,0.00091,14483,-14837.239786103903,34213.13234825516,,,-14381.651284146576,,,,,,,,,,
112,0.000918,62223,32728.25354876183,32744.608771529878,,,15430.825875771572,,,,,,,,,,
113,0.000926,18372,-15141.077563800756,31257.647375718003,,,-1720.61771083193,,,,,,,,,,
114,0.000934,13059,-16714.33041869921,29768.332148730027,,,-10678.069231615438,,,,,,,,,,
115,0.000942,57902,28119.258990870876,28367.762508249634,,,10521.80797928339,,,,,,,,,,
116,0.000951,25318,-8651.914173312769,27091.49801929848,,,-1034.8977029456441,,,,,,,,,,
117,0.000959,12643,-18467.931425766863,25951.778577213026,,,-6846.32364661239,,,,,,,,,,
118,0.000967,54669,23574.97644871761,24996.998289595038,,,6728.128954939789,,,,,,,,,,
119,0.000975,29207,-2731.958058228998,24198.765102450845,,,-1147.2948946650179,,,,,,,,,,
120,0.000983,11362,-19829.80338854844,23500.81999556012,,,-3599.9477999183828,,,,,,,,,,
121,0.000992,52924,19566.31265520211,22925.09554559596,,,4125.277964346888,,,,,,,,,,
122,0.001,31847,2015.6259042499669,22459.397288201955,,,-1533.9406823933787,,,,,,,,,,
123,0.001008,10946,-20531.04267377155,22044.177226513653,,,-1310.3750373143373,,,,,,,,,,
124,0.001016,49852,16157.925422952334,21671.42692533781,,,2517.484461256835,,,,,,,,,,
125,0.001024,36184,5404.052269967391,21305.524631468274,,,-1808.4400274286718,,,,,,,,,,
126,0.001033,10514,-20379.038242644794,20882.825080685117,,,-6.656888901154769,,,,,,,,,,
127,0.001041,45339,13167.41697004799,20426.816879558843,,,1595.4063665369026,,,,,,,,,,
128,0.001049,39833,7554.477062952693,19954.209998066897,,,-1799.9732249003853,,,,,,,,,,
129,0.001057,12515,-19334.989476393755,19423.600076727467,,,519.2887845088037,,,,,,,,,,
130,0.001065,40841,10367.297884487627,18846.01312457107,,,1067.530278067736,,,,,,,,,,
131,0.001074,40729,8757.903128215994,18228.39396458411,,,-1528.4581533443886,,,,,,,,,,
132,0.001082,15459,-17536.920884194125,17538.995222336907,,,570.5968057024171,,,,,,,,,,
133,0.00109,38505,7612.9388750402,16819.052392433754,,,729.7863637710694,,,,,,,,,,
134,0.001098,39993,9345.39338922842,16111.07257896618,,,-1121.079932681875,,,,,,,,,,
135,0.001106,17156,-15238.73286402843,15387.8711606455,,,426.374421687671,,,,,,,,,,
136,0.001114,37225,4881.975322651247,14662.348462049533,,,476.6291234939025,,,,,,,,,,
137,0.001123,40729,9574.791054099629,13957.372230198522,,,-722.6745101961427,,,,,,,,,,
138,0.001131,18500,-12713.103773507422,13250.685109652699,,,273.1051868126897,,,,,,,,,,
139,0.001139,34344,2267.403962460524,12574.458093126645,,,277.8013624340064,,,,,,,,,,
140,0.001147,41978,9568.454785828602,11971.010051957182,,,-432.0674311105518,,,,,,,,,,
141,0.001155,21141,-10189.921716174842,11406.582716328114,,,186.78453483000456,,,,,,,,,,
142,0.001164,31079,-59.24446941540095,10872.004808506681,,,140.95687333219846,,,,,,,,,,
143,0.001172,42090,9336.136215341123,10388.61919821382,,,-274.7794049946017,,,,,,,,,,
144,0.00118,23797,-7843.218999283138,9932.665144109318,,,158.0286679416166,,,,,,,,,,
145,0.001188,29223,-1921.8026412741515,9510.688284168396,,,73.87365300809529,,,,,,,,,,
146,0.001196,40681,8855.812531304533,9153.117918125057,,,-215.1235991140533,,,,,,,,,,
147,0.001205,26358,-5787.58382458433,8819.62386473253,,,144.48066406111673,,,,,,,,,,
148,0.001213,28679,-3224.990951925093,8481.393597737277,,,64.50115600648047,,,,,,,,,,
149,0.001221,39657,8138.837465705661,8163.487699756937,,,-198.65739835544275,,,,,,,,,,
150,0.001229,27782,-4064.5110494295636,7852.822044440044,,,117.57703913324575,,,,,,,,,,
151,0.001237,27958,-3993.6078246510137,7542.766101485641,,,89.22913892186348,,,,,,,,,,
152,0.001246,38745,7236.454095435812,7262.768666023235,,,-191.9885722500585,,,,,,,,,,
153,0.001254,28967,-2643.6721394379815,6984.752550825595,,,74.6823666570731,,,,,,,,,,
154,0.001262,28118,-4336.726452853817,6678.795187485013,,,130.48033350292397,,,,,,,,,,
155,0.00127,37593,6211.169015056476,6378.5723524159675,,,-187.46431222085167,,,,,,,,,,
156,0.001278,29895,-1463.0768561757543,6086.482987528421,,,24.931291561265176,,,,,,,,,,
157,0.001287,27862,-4372.909683600673,5790.188708996576,,,175.07075870251055,,,,,,,,,,
158,0.001295,37321,5121.725182193844,5516.6033595083945,,,-180.5567656900117,,,,,,,,,,
