Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
0,0.0,65535,291.03091741449794,19834.35836896288,539.0,718.0,-101.26740620439077,83.968801,short,12.0,7.0,-6.340191745909909,-10.0,90.0,90.55385138137417,13.0,50.0
1,8e-06,65535,32405.73941090805,37331.63278495238,,,393.6889580409376,,,,,,,,,,
2,1.6e-05,1040,-37714.88911724045,42511.53936545196,,,-260.475769173662,,,,,,,,,,
3,2.5e-05,65535,10225.090965937705,42657.47653762392,,,-148.34139513651743,,,,,,,,,,
4,3.3e-05,65535,26866.68838299529,43134.10776937929,,,388.84820028307854,,,,,,,,,,
5,4.1e-05,1040,-39722.54827191383,39971.37656204996,,,-214.4837343922453,,,,,,,,,,
6,4.9e-05,65535,15844.096184414566,37155.0608205185,,,-171.34312966998425,,,,,,,,,,
7,5.7e-05,65535,21378.33367373494,36934.04113541676,,,357.4353958632018,,,,,,,,,,
8,6.6e-05,1056,-35618.77223367407,35789.124909404985,,,-168.12581760335422,,,,,,,,,,
9,7.4e-05,65535,15903.004186627668,33429.61784699001,,,-174.5247858077255,,,,,,,,,,
10,8.2e-05,65535,13775.653830029793,30147.43538294963,,,313.2165083212956,,,,,,,,,,
11,9e-05,1040,-24327.31872078253,24490.17095918893,,,-130.41441571220514,,,,,,,,,,
12,9.8e-05,59294,12782.46749486498,18719.47719213291,,,-159.8304113635388,,,,,,,,,,
13,0.000106,65535,2264.915132137292,14376.094842914024,,,263.95967972990815,,,,,,,,,,
14,0.000115,28983,-8537.505762353698,10790.96818578893,,,-107.4290032181358,,,,,,,,,,
15,0.000123,1088,10460.527818973162,10618.788627255324,,,-125.49847984772096,,,,,,,,,,
16,0.000131,1024,-12364.458284795995,13667.338336561394,,,210.29805258091287,,,,,,,,,,
17,0.000139,65535,6632.256316621015,18034.180675713906,,,-99.67949924767672,,,,,,,,,,
18,0.000147,65535,11548.35800112984,22993.4987162227,,,-71.10442161095615,,,,,,,,,,
19,0.000156,1072,-26797.25580441408,26827.09551533944,,,149.1477958182933,,,,,,,,,,
20,0.000164,58494,16752.479069562072,30291.39020938626,,,-99.90710109635074,,,,,,,,,,
21,0.000172,65535,15788.188766024115,34131.91196193204,,,-3.691163239084547,,,,,,,,,,
22,0.00018,1120,-37429.94512681436,37435.9096092843,,,78.997783226648,,,,,,,,,,
23,0.000188,53277,20507.955897009502,40117.99783962781,,,-95.17590664447631,,,,,,,,,,
24,0.000197,65535,20939.949720988385,42101.257787679046,,,60.99050959720246,,,,,,,,,,
25,0.000205,1088,-42764.09616038394,42773.16942057714,,,4.935277923618687,,,,,,,,,,
26,0.000213,52284,19765.66006771757,43051.35132799909,,,-74.44623189435123,,,,,,,,,,
27,0.000221,65535,24820.7873125935,43758.52250914191,,,103.36159792217396,,,,,,,,,,
28,0.000229,1040,-44021.56865711595,44276.99819469442,,,-58.85177347042511,,,,,,,,,,
29,0.000238,59390,17744.148975964563,44533.20274047617,,,-36.66147252218735,,,,,,,,,,
30,0.000246,65535,26614.383394654506,44624.01196374303,,,107.74353530939936,,,,,,,,,,
