,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,928,-699.1169788537952,17658.503147875053,676.0,854.0,-270.6396170332894,102.42503075,14,8,10.0,100.0,100.4987562112089,5.710593137499643,short,13.0,50.0
1,8e-06,1024,-31151.737195972255,34193.70466333845,,,420.4817184715087,,,,,,,,,,
2,1.6e-05,65535,30020.447986655738,39018.021415594594,,,-97.31832443741907,,,,,,,,,,
3,2.5e-05,27286,3499.3675085947725,38008.87219041628,,,-504.4913803046266,,,,,,,,,,
4,3.3e-05,1408,-34396.46847113555,38308.292432422306,,,689.5386408033694,,,,,,,,,,
5,4.1e-05,65535,28725.55994221503,37203.10982122132,,,-52.06598694585526,,,,,,,,,,
6,4.9e-05,36472,9047.20812269436,36670.07531546299,,,-844.2580700569931,,,,,,,,,,
7,5.7e-05,976,-38197.096707606564,39109.781331656115,,,918.7612159734599,,,,,,,,,,
8,6.6e-05,65535,25727.09256378295,40812.67789533065,,,133.87789108563808,,,,,,,,,,
9,7.4e-05,55261,15153.349604039584,40080.965182854,,,-1249.657621443217,,,,,,,,,,
10,8.2e-05,1024,-38739.47841799728,38970.165223846634,,,1056.5716048180561,,,,,,,,,,
11,9e-05,65535,19560.445177629153,37117.0927460722,,,449.37588641906075,,,,,,,,,,
12,9.8e-05,65535,18558.710626846703,34637.32165596952,,,-1655.9956841571502,,,,,,,,,,
13,0.000106,1056,-32654.140975307884,32774.40615520167,,,1069.2011480743388,,,,,,,,,,
14,0.000115,65535,11652.716076227203,29997.24603150859,,,846.8383349514595,,,,,,,,,,
15,0.000123,65535,15330.29606347005,25131.6732501361,,,-1988.0647499841443,,,,,,,,,,
16,0.000131,1040,-19594.39146927572,19713.888558937506,,,948.6402641083229,,,,,,,,,,
17,0.000139,63759,5732.19599751265,13961.058738951002,,,1251.5818817808956,,,,,,,,,,
18,0.000147,65535,3673.23334316085,7928.73231002089,,,-2176.76578466692,,,,,,,,,,
19,0.000156,65535,-2852.3844819721708,4485.451374991286,,,716.2425270741167,,,,,,,,,,
20,0.000164,1040,5221.612385252215,7553.726228952568,,,1577.2288060610938,,,,,,,,,,
21,0.000172,1040,-14286.133858208745,14296.44591629762,,,-2176.694084563495,,,,,,,,,,
22,0.00018,65535,12546.543487348967,21404.991601254875,,,421.49344347296,,,,,,,,,,
23,0.000188,65535,10510.088041574341,27624.67212475079,,,1746.0518916770588,,,,,,,,,,
24,0.000197,1056,-33173.87505197585,33491.206890093716,,,-1982.6972209784244,,,,,,,,,,
25,0.000205,65535,22900.2725231176,38645.66478698071,,,133.82400577910923,,,,,,,,,,
26,0.000213,65535,18232.649002536455,43017.53610606257,,,1713.8423644333989,,,,,,,,,,
27,0.000221,1056,-47056.88704589364,47176.97588719531,,,-1639.7998093907433,,,,,,,,,,
