Timestamps,Voltages
0.000000,1008
0.000008,992
0.000016,65535
0.000025,65535
0.000033,1024
0.000041,65535
0.000049,65535
0.000057,1024
0.000066,65535
0.000074,65535
0.000082,1024
0.000090,65535
0.000098,65535
0.000107,1072
0.000115,65535
0.000123,65535
0.000131,1024
0.000139,10578
0.000147,65535
0.000156,65535
0.000164,44250
0.000172,1056
0.000180,65535
0.000188,65535
0.000197,1040
0.000205,53949
0.000213,65535
0.000221,1040
0.000229,52188
0.000238,65535
0.000246,1056
0.000254,58126
0.000262,65535
0.000270,1040
0.000279,65535
0.000287,65535
0.000295,1056
0.000303,65535
0.000311,65535
0.000320,1040
0.000328,65535
0.000336,63231
0.000344,1024
0.000352,65535
0.000360,39289
0.000369,1024
0.000377,65535
0.000385,11826
0.000393,11810
0.000401,65535
0.000410,1024
0.000418,50796
0.000426,65535
0.000434,1024
0.000442,65535
0.000451,25542
0.000459,13251
0.000467,65535
0.000475,1024
0.000483,50604
0.000492,65535
0.000500,1008
0.000508,65535
0.000516,65535
0.000524,1008
0.000533,65535
0.000541,63999
0.000549,1008
0.000557,65535
0.000565,43642
0.000573,992
0.000582,65535
0.000590,28839
0.000598,1024
0.000606,65535
0.000614,10770
0.000623,1008
0.000631,65535
0.000639,1024
0.000647,1008
0.000655,65535
0.000664,1040
0.000672,1040
0.000680,14115
0.000688,1040
0.000696,1136
0.000705,1072
0.000713,1040
0.000721,1728
0.000729,1120
0.000737,1056
0.000746,7489
0.000754,13587
0.000762,1104
0.000770,21173
0.000778,29399
0.000786,1104
0.000795,33768
0.000803,40249
0.000811,1168
0.000819,40970
0.000827,48379
0.000836,1232
0.000844,42506
0.000852,52668
0.000860,1344
0.000868,40201
0.000877,55421
0.000885,1440
0.000893,35736
0.000901,57277
0.000909,1584
0.000918,30983
0.000926,59486
0.000934,3152
0.000942,25862
0.000950,59694
0.000959,11442
0.000967,21045
0.000975,58478
0.000983,18276
0.000991,18196
0.001000,55837
0.001008,23125
0.001016,16580
0.001024,52844
0.001032,27222
0.001040,16067
0.001049,49628
0.001057,30007
0.001065,16740
0.001073,46475
0.001081,32023
0.001090,17732
0.001098,44074
0.001106,33576
0.001114,18692
0.001122,41258
0.001131,35144
0.001139,20244
0.001147,38681
0.001155,35928
0.001163,21605
0.001172,36264
0.001180,37353
0.001188,22869
0.001196,34024
0.001204,37625
0.001213,25350
0.001221,31031
0.001229,38073
0.001237,27574
0.001245,29527
0.001253,36905
0.001262,29799
0.001270,28887
0.001278,35720
0.001286,30919
0.001294,29431
0.001303,34408
0.001311,31543
0.001319,29015
0.001327,34440
0.001335,32407
0.001344,28454
0.001352,33976
0.001360,33096
0.001368,28518
0.001376,33400
0.001385,33336
0.001393,28646
0.001401,32856
0.001409,34168
0.001417,28711
0.001426,32263
0.001434,34104
0.001442,28919
0.001450,32423
0.001458,34280
0.001466,28438
0.001475,32087
0.001483,34552
0.001491,29079
0.001499,31527
0.001507,34472
0.001516,29591
0.001524,30855
0.001532,34760
0.001540,30231
0.001548,30727
0.001557,33992
0.001565,30727
0.001573,30807
0.001581,33448
0.001589,31063
0.001598,31207
0.001606,33192
0.001614,31319
0.001622,30855
0.001630,32904
0.001639,31847
0.001647,30903
0.001655,32343
0.001663,31927
0.001671,31575
0.001679,31719
0.001688,32007
0.001696,31767
0.001704,31623
0.001712,31767
0.001720,31895
0.001729,31799
0.001737,32007
0.001745,31671
0.001753,31399
0.001761,32439
0.001770,31703
0.001778,31431
0.001786,32151
0.001794,31927
0.001802,31703
0.001811,31719
0.001819,32135
0.001827,31495
0.001835,31847
0.001843,31831
0.001852,31799
0.001860,31895
0.001868,31991
0.001876,31799
0.001884,31415
0.001893,31703
0.001901,32263
0.001909,31847
0.001917,31399
0.001925,31879
0.001933,32519
0.001942,31191
0.001950,31767
0.001958,32263
0.001966,31511
0.001974,31559
0.001983,32423
0.001991,31543
0.001999,31687
0.002007,32263
0.002015,31719
0.002024,31815
0.002032,32039
0.002040,31575
0.002048,32055
0.002056,31943
0.002065,31543
0.002073,31943
0.002081,32183
0.002089,31639
0.002097,31927
0.002106,31735
0.002114,31831
0.002122,32183
0.002130,31831
0.002138,31367
