Timestamps,Voltages
0.000000,1072
0.000008,1024
0.000016,65535
0.000025,65535
0.000033,1008
0.000041,65535
0.000049,65535
0.000057,1008
0.000066,65535
0.000074,65535
0.000082,1008
0.000090,65535
0.000098,65535
0.000107,1024
0.000115,65535
0.000123,65535
0.000131,992
0.000139,18692
0.000147,65535
0.000156,65535
0.000164,35704
0.000172,1024
0.000180,65535
0.000188,65535
0.000197,1024
0.000205,60718
0.000213,65535
0.000221,1040
0.000229,58894
0.000238,65535
0.000246,1040
0.000254,64319
0.000262,65535
0.000270,1056
0.000279,65535
0.000287,65535
0.000295,1040
0.000303,65535
0.000311,65535
0.000320,1056
0.000328,65535
0.000336,55805
0.000344,1040
0.000352,65535
0.000360,31367
0.000369,960
0.000377,65535
0.000385,3584
0.000393,21189
0.000401,65535
0.000410,1088
0.000418,61406
0.000426,65535
0.000434,1024
0.000442,65535
0.000451,10066
0.000459,30087
0.000467,65535
0.000475,1088
0.000483,64639
0.000492,65535
0.000500,1104
0.000508,65535
0.000516,65535
0.000524,1072
0.000533,65535
0.000541,50092
0.000549,1056
0.000557,65535
0.000565,29383
0.000573,1024
0.000582,65535
0.000590,13459
0.000598,1024
0.000606,65535
0.000614,1024
0.000623,1024
0.000631,65535
0.000639,1024
0.000647,1024
0.000655,60990
0.000664,1024
0.000672,1136
0.000680,1040
0.000688,1024
0.000696,1840
0.000705,1056
0.000713,1040
0.000721,7393
0.000729,1056
0.000737,1024
0.000746,17668
0.000754,6641
0.000762,1040
0.000770,27078
0.000778,25798
0.000786,1056
0.000795,33096
0.000803,40153
0.000811,1136
0.000819,36776
0.000827,50428
0.000836,1232
0.000844,37705
0.000852,56893
0.000860,1344
0.000868,34504
0.000877,59230
0.000885,1472
0.000893,29959
0.000901,60670
0.000909,1728
0.000918,25190
0.000926,60526
0.000934,9074
0.000942,22373
0.000950,59070
0.000959,15555
0.000967,19844
0.000975,57165
0.000983,19988
0.000991,17876
0.001000,55213
0.001008,23989
0.001016,15875
0.001024,52908
0.001032,27782
0.001040,15315
0.001049,49900
0.001057,30519
0.001065,15715
0.001073,47435
0.001081,32407
0.001090,16067
0.001098,44714
0.001106,35240
0.001114,16420
0.001122,41402
0.001131,37353
0.001139,18116
0.001147,37865
0.001155,38537
0.001163,20148
0.001172,35640
0.001180,38489
0.001188,21813
0.001196,34136
0.001204,38633
0.001213,23141
0.001221,32583
0.001229,39465
0.001237,24533
0.001245,30247
0.001253,39401
0.001262,26966
0.001270,29095
0.001278,37945
0.001286,28839
0.001294,29671
0.001303,35832
0.001311,29527
0.001319,30743
0.001327,35048
0.001335,29287
0.001344,30503
0.001352,35880
0.001360,30007
0.001368,28775
0.001376,35432
0.001385,31991
0.001393,28470
0.001401,33928
0.001409,33256
0.001417,28855
0.001426,32375
0.001434,33688
0.001442,29591
0.001450,32615
0.001458,32968
0.001466,29703
0.001475,32423
0.001483,33512
0.001491,29559
0.001499,31671
0.001507,34392
0.001516,30135
0.001524,30663
0.001532,33352
0.001540,31751
0.001548,31063
0.001557,32279
0.001565,31447
0.001573,32119
0.001581,32519
0.001589,30263
0.001598,31687
0.001606,33944
0.001614,30631
0.001622,30455
0.001630,33704
0.001639,31879
0.001647,30199
0.001655,32551
0.001663,32567
0.001671,31335
0.001679,31655
0.001688,31655
0.001696,31783
0.001704,32535
0.001712,31143
0.001720,31287
0.001729,32888
0.001737,31719
0.001745,30215
0.001753,33208
0.001761,32279
0.001770,30855
0.001778,32231
0.001786,31719
0.001794,31623
0.001802,32423
0.001811,31415
0.001819,31383
0.001827,32920
0.001835,31287
0.001843,31143
0.001852,32824
0.001860,32167
0.001868,31143
0.001876,31671
0.001884,32295
0.001893,32055
0.001901,31527
0.001909,31319
0.001917,32695
0.001925,32407
0.001933,30535
0.001942,31703
0.001950,33272
0.001958,31223
0.001966,30679
0.001974,32872
0.001983,32679
0.001991,30727
0.001999,31639
0.002007,32551
0.002015,31879
0.002024,31175
0.002032,31991
0.002040,32359
0.002048,31767
0.002056,31527
0.002065,31831
0.002073,31927
0.002081,31895
0.002089,32055
0.002097,31383
0.002106,31799
0.002114,32583
0.002122,31367
0.002130,31367
0.002138,32663
0.002146,32311
0.002155,31431
0.002163,31287
0.002171,32663
0.002179,32215
0.002187,31095
0.002196,31319
0.002204,33432
0.002212,31447
0.002220,30647
0.002228,32920
0.002237,32535
0.002245,30935
0.002253,31655
0.002261,33144
0.002269,31847
0.002278,30471
0.002286,32695
0.002294,32663
0.002302,31303
0.002310,31479
0.002319,32071
0.002327,32503
0.002335,31783
0.002343,31111
0.002351,32503
0.002359,32279
0.002368,31607
0.002376,31607
0.002384,32231
0.002392,32375
0.002400,31591
0.002409,31191
0.002417,32856
0.002425,32567
0.002433,30759
0.002441,31591
0.002450,33336
0.002458,31527
0.002466,30663
0.002474,32567
0.002482,33304
0.002491,30567
0.002499,31287
0.002507,33320
0.002515,31815
0.002523,30935
0.002532,32263
0.002540,33064
0.002548,31159
0.002556,31063
0.002564,32984
0.002572,32087
0.002581,30967
0.002589,32327
0.002597,32631
0.002605,31655
0.002613,31591
0.002622,31703
0.002630,32487
0.002638,32279
0.002646,30951
0.002654,32343
0.002663,32695
0.002671,31287
0.002679,31783
0.002687,32167
0.002695,32119
0.002704,31495
0.002712,32087
0.002720,32023
0.002728,32279
0.002736,31735
0.002745,31367
0.002753,32583
0.002761,32231
0.002769,31175
0.002777,31751
0.002786,33400
0.002794,31095
0.002802,31255
0.002810,32856
0.002818,32199
0.002826,31127
0.002835,32055
0.002843,32455
0.002851,31991
0.002859,31415
0.002867,32039
0.002876,32984
0.002884,31191
0.002892,31287
0.002900,33080
0.002908,32231
0.002917,31255
0.002925,31815
0.002933,32776
0.002941,31943
0.002949,31079
0.002958,32519
0.002966,32311
0.002974,31735
0.002982,31863
0.002990,31991
0.002999,32055
0.003007,32231
0.003015,31559
0.003023,31879
0.003031,32471
0.003039,32215
0.003048,31399
0.003056,31687
0.003064,32872
0.003072,32023
0.003080,31111
0.003089,32295
0.003097,32936
0.003105,31207
0.003113,31367
0.003121,32776
0.003130,32231
0.003138,31415
0.003146,31815
0.003154,32872
0.003162,31799
0.003171,30967
0.003179,32776
0.003187,32663
0.003195,30679
0.003203,31895
0.003212,33592
0.003220,31191
0.003228,31015
0.003236,33032
0.003244,32519
0.003252,30903
0.003261,31783
0.003269,33016
0.003277,32023
0.003285,31431
0.003293,31895
0.003302,32824
0.003310,31895
0.003318,31415
0.003326,32343
0.003334,32535
0.003343,31511
0.003351,31767
0.003359,32792
0.003367,31991
0.003375,31175
0.003384,32583
0.003392,32279
0.003400,31687
0.003408,32343
0.003416,31591
0.003425,32295
0.003433,32343
0.003441,31607
0.003449,31831
0.003457,32215
0.003465,32279
0.003474,31815
0.003482,31815
0.003490,32343
0.003498,32343
0.003506,31703
0.003515,31543
0.003523,32503
0.003531,32647
0.003539,30983
0.003547,32119
0.003556,32968
0.003564,31751
0.003572,31367
0.003580,32135
0.003588,32551
0.003597,32039
0.003605,31591
0.003613,31911
0.003621,32423
0.003629,32359
0.003638,31303
0.003646,31911
0.003654,32535
0.003662,32295
0.003670,31127
0.003679,32007
0.003687,32487
0.003695,32311
0.003703,31703
0.003711,31639
0.003719,32263
0.003728,32711
0.003736,31287
0.003744,31639
0.003752,33128
0.003760,31943
0.003769,31287
0.003777,32311
0.003785,32695
0.003793,32183
0.003801,30967
0.003810,32167
0.003818,33048
0.003826,31671
0.003834,31287
0.003842,32455
0.003851,32888
0.003859,31063
0.003867,31895
0.003875,32936
0.003883,31735
0.003892,31655
0.003900,32743
0.003908,31767
0.003916,31879
0.003924,32824
0.003932,31463
0.003941,32071
0.003949,32936
0.003957,31559
0.003965,31335
0.003973,32920
0.003982,32471
0.003990,31191
0.003998,32087
0.004006,33096
0.004014,31703
0.004023,30967
0.004031,33160
0.004039,32423
0.004047,30823
0.004055,32455
0.004064,33304
0.004072,31079
0.004080,31431
0.004088,33080
0.004096,32375
0.004105,30903
0.004113,32007
0.004121,33176
0.004129,31767
0.004137,31655
0.004145,32455
0.004154,31847
0.004162,32247
0.004170,31879
0.004178,32023
0.004186,32023
0.004195,32519
0.004203,31879
0.004211,31671
0.004219,32727
0.004227,31991
0.004236,31879
0.004244,32023
0.004252,32343
0.004260,32039
0.004268,31847
0.004277,32343
0.004285,32279
0.004293,32231
0.004301,31367
0.004309,32311
0.004318,32968
0.004326,31271
0.004334,31959
0.004342,32695
0.004350,32087
0.004358,31783
0.004367,31527
0.004375,33064
0.004383,32311
0.004391,31079
0.004399,32231
0.004408,33128
0.004416,31479
0.004424,31479
0.004432,32936
0.004440,32359
0.004449,31479
0.004457,31735
0.004465,32776
0.004473,32375
0.004481,31079
0.004490,32359
0.004498,32551
0.004506,31847
0.004514,31703
0.004522,32343
0.004531,31783
0.004539,32423
0.004547,32087
0.004555,31767
0.004563,32007
0.004572,32343
0.004580,32663
0.004588,31335
0.004596,31879
0.004604,33144
0.004612,31847
0.004621,30887
0.004629,32711
0.004637,33064
0.004645,31367
0.004653,31575
0.004662,32856
0.004670,32183
0.004678,31431
0.004686,32071
0.004694,32840
0.004703,31751
0.004711,31751
0.004719,32487
0.004727,32263
0.004735,31591
0.004744,31927
0.004752,32647
0.004760,32215
0.004768,31639
0.004776,32215
0.004785,32519
0.004793,32407
0.004801,31399
0.004809,31927
0.004817,32872
0.004825,31959
0.004834,31607
0.004842,32471
0.004850,32439
0.004858,31991
0.004866,31527
0.004875,32279
0.004883,33016
0.004891,31671
0.004899,31447
0.004907,32711
0.004916,32711
0.004924,31239
0.004932,31847
0.004940,33320
0.004948,31943
0.004957,30935
0.004965,33112
0.004973,32984
0.004981,31127
0.004989,31735
0.004998,33272
0.005006,31783
0.005014,31127
0.005022,33080
0.005030,32359
0.005038,31207
0.005047,32455
0.005055,32439
0.005063,31671
0.005071,32567
0.005079,32103
0.005088,31495
0.005096,33000
0.005104,32183
0.005112,30903
0.005120,32888
0.005129,32968
0.005137,30743
0.005145,32279
0.005153,33704
0.005161,30631
0.005170,31703
0.005178,33496
0.005186,31975
0.005194,31511
0.005202,32215
0.005211,32471
0.005219,32215
0.005227,31367
0.005235,32375
0.005243,32695
0.005251,31927
0.005260,31271
0.005268,32840
0.005276,32968
0.005284,31255
0.005292,31527
0.005301,33144
0.005309,32375
0.005317,30935
0.005325,32695
0.005333,32968
0.005342,31399
0.005350,31751
0.005358,33112
0.005366,32247
0.005374,31015
0.005383,32776
0.005391,32695
0.005399,31735
0.005407,31911
0.005415,32359
0.005424,32343
0.005432,31687
0.005440,32519
0.005448,31895
0.005456,31415
0.005465,33576
0.005473,31751
0.005481,30375
0.005489,34552
0.005497,32423
0.005505,28502
0.005514,34824
0.005522,34648
0.005530,26870
0.005538,34216
0.005546,35480
0.005555,27254
0.005563,33544
0.005571,35368
0.005579,28150
0.005587,32968
0.005596,35224
0.005604,28198
0.005612,33240
0.005620,35192
0.005628,28054
0.005637,32952
0.005645,35688
0.005653,28582
0.005661,31767
0.005669,35480
0.005678,30087
0.005686,31063
0.005694,34648
0.005702,31207
0.005710,31255
0.005718,33416
0.005727,31479
0.005735,32215
0.005743,33032
0.005751,30695
0.005759,32631
0.005768,33400
0.005776,30535
0.005784,32663
0.005792,33528
0.005800,30615
0.005809,32071
0.005817,33624
0.005825,30919
0.005833,31671
0.005841,33512
0.005850,31959
0.005858,31383
0.005866,32263
0.005874,32519
0.005882,32439
0.005891,31543
0.005899,31975
0.005907,33384
0.005915,31559
0.005923,31415
0.005931,32952
0.005940,32711
0.005948,31207
0.005956,32199
0.005964,33240
0.005972,31927
0.005981,31079
0.005989,32840
0.005997,32695
0.006005,31607
0.006013,31719
0.006022,32936
0.006030,32343
0.006038,31143
0.006046,32647
0.006054,32776
0.006063,31511
0.006071,31799
0.006079,32888
0.006087,32391
0.006095,31911
0.006104,31223
0.006112,32583
0.006120,33224
0.006128,31351
0.006136,31479
0.006144,33176
