Timestamps,Voltages
0.000000,4097
0.000008,1024
0.000016,65535
0.000025,65535
0.000033,1072
0.000041,65535
0.000049,65535
0.000057,1056
0.000066,65535
0.000074,65535
0.000082,1056
0.000090,65535
0.000098,65535
0.000107,1104
0.000115,65535
0.000123,65535
0.000131,1040
0.000139,7553
0.000147,65535
0.000156,65535
0.000164,47739
0.000172,992
0.000180,65535
0.000188,65535
0.000197,1024
0.000205,48379
0.000213,65535
0.000221,1040
0.000229,46363
0.000238,65535
0.000246,992
0.000254,52140
0.000262,65535
0.000270,1024
0.000279,65535
0.000287,65535
0.000295,1040
0.000303,65535
0.000311,65535
0.000320,1040
0.000328,65535
0.000336,65151
0.000344,1072
0.000352,65535
0.000361,44634
0.000369,1024
0.000377,65535
0.000385,16500
0.000393,8530
0.000402,65535
0.000410,1056
0.000418,48571
0.000426,65535
0.000434,1056
0.000442,65535
0.000451,24533
0.000459,16227
0.000467,65535
0.000475,1056
0.000483,51580
0.000492,65535
0.000500,1072
0.000508,65535
0.000516,65535
0.000524,1040
0.000533,65535
0.000541,63391
0.000549,1072
0.000557,65535
0.000565,42042
0.000574,1088
0.000582,65535
0.000590,25798
0.000598,1088
0.000606,65535
0.000615,5201
0.000623,1040
0.000631,65535
0.000639,1024
0.000647,1024
0.000656,65535
0.000664,1024
0.000672,1088
0.000680,6801
0.000688,1056
0.000696,1296
0.000705,1024
0.000713,1024
0.000721,3040
0.000729,1088
0.000737,928
0.000746,10322
0.000754,13027
0.000762,1024
0.000770,20052
0.000778,30631
0.000787,1056
0.000795,28422
0.000803,44458
0.000811,1120
0.000819,33176
0.000828,54429
0.000836,1200
0.000844,33576
0.000852,60286
0.000860,1312
0.000869,30487
0.000877,61086
0.000885,1472
0.000893,27334
0.000901,61310
0.000910,2208
0.000918,24197
0.000926,60798
0.000934,10258
0.000942,20965
0.000951,59630
0.000959,16692
0.000967,18180
0.000975,57614
0.000983,21525
0.000991,16147
0.001000,54973
0.001008,26134
0.001016,14979
0.001024,51436
0.001032,29975
0.001041,14947
0.001049,48059
0.001057,32439
0.001065,15843
0.001073,45659
0.001082,34552
0.001090,15459
0.001098,43242
0.001106,36792
0.001114,16708
0.001123,39625
0.001131,38377
0.001139,19044
0.001147,37017
0.001155,38057
0.001164,21221
0.001172,35400
0.001180,38249
0.001188,22357
0.001196,33592
0.001205,39497
0.001213,23413
0.001221,30999
0.001229,39737
0.001237,26278
0.001245,29159
0.001254,38505
0.001262,27926
0.001270,29495
0.001278,37401
0.001286,28598
0.001295,29191
0.001303,37449
0.001311,29383
0.001319,28454
0.001327,36873
0.001336,30631
0.001344,28038
0.001352,35928
0.001360,31447
0.001368,28486
0.001377,35016
0.001385,32135
0.001393,28887
0.001401,33736
0.001409,32663
0.001418,29351
0.001426,33176
0.001434,32439
0.001442,30199
0.001450,33000
0.001459,32167
0.001467,30119
0.001475,33080
0.001483,32808
0.001491,30119
0.001500,31911
