Timestamps,Voltages
0.000000,1040
0.000008,992
0.000016,65535
0.000025,65535
0.000033,1024
0.000041,65535
0.000049,65535
0.000057,1072
0.000066,65535
0.000074,65535
0.000082,1072
0.000090,64255
0.000098,65535
0.000107,1072
0.000115,50652
0.000123,65535
0.000131,4897
0.000139,1024
0.000147,65535
0.000156,65535
0.000164,65535
0.000172,1040
0.000180,50748
0.000188,65535
0.000197,3232
0.000205,20036
0.000213,65535
0.000221,7249
0.000229,18132
0.000238,65535
0.000246,1968
0.000254,23957
0.000262,65535
0.000270,1040
0.000279,38729
0.000287,65535
0.000295,1040
0.000303,58334
0.000311,65535
0.000320,1024
0.000328,65535
0.000336,65535
0.000344,1072
0.000352,65535
0.000360,65535
0.000369,1040
0.000377,65535
0.000385,47099
0.000393,1024
0.000401,65535
0.000410,10210
0.000418,17284
0.000426,65535
0.000434,1072
0.000442,65535
0.000451,56637
0.000459,1024
0.000467,65535
0.000475,8017
0.000483,16580
0.000492,65535
0.000500,1056
0.000508,49308
0.000516,65535
0.000524,1056
0.000533,65535
0.000541,65535
0.000549,1040
0.000557,65535
0.000565,65535
0.000573,1040
0.000582,65535
0.000590,63487
0.000598,976
0.000606,65535
0.000614,45611
0.000623,1024
0.000631,65535
0.000639,18260
0.000647,1024
0.000655,65535
0.000664,1008
0.000672,1008
0.000680,28086
0.000688,992
0.000696,1024
0.000705,9378
0.000713,1008
0.000721,1152
0.000729,16163
0.000737,992
0.000746,2112
0.000754,30039
0.000762,1024
0.000770,9794
0.000778,40281
0.000786,944
0.000795,22533
0.000803,45211
0.000811,1120
0.000819,33992
0.000827,47771
0.000836,1312
0.000844,40265
0.000852,50460
0.000860,1488
0.000868,40233
0.000877,52492
0.000885,1696
0.000893,36520
0.000901,55421
0.000909,2432
0.000918,30599
0.000926,57309
0.000934,9810
0.000942,24966
0.000950,57902
0.000959,15827
0.000967,20004
0.000975,56925
0.000983,20821
0.000991,16612
0.001000,55805
0.001008,25142
0.001016,14723
0.001024,52940
0.001032,29143
0.001040,14211
0.001049,49676
0.001057,32039
0.001065,15075
0.001073,46363
0.001081,34392
0.001090,15891
0.001098,43274
0.001106,35976
0.001114,17492
0.001122,40617
0.001131,37129
0.001139,18724
0.001147,37993
0.001155,38025
0.001163,20917
0.001172,35320
0.001180,38297
0.001188,23045
0.001196,33144
0.001204,38297
0.001213,25254
0.001221,31399
0.001229,37753
0.001237,26902
0.001245,30471
0.001253,37273
0.001262,28374
0.001270,29751
0.001278,36120
0.001286,29879
0.001294,29559
0.001303,35432
0.001311,30503
0.001319,29511
0.001327,34776
0.001335,31159
0.001344,29447
0.001352,34376
0.001360,32231
0.001368,28807
0.001376,33896
0.001385,33000
0.001393,28662
0.001401,33528
0.001409,33176
0.001417,28679
0.001426,33592
0.001434,33160
0.001442,28887
0.001450,33240
0.001458,33304
0.001466,28999
0.001475,32359
0.001483,34120
0.001491,29367
0.001499,31815
0.001507,34104
0.001516,29639
0.001524,31607
0.001532,33736
0.001540,30359
0.001548,31351
0.001557,33496
0.001565,30615
0.001573,31847
0.001581,32727
0.001589,30935
0.001598,32071
0.001606,32263
0.001614,31415
0.001622,32055
0.001630,31815
0.001639,31399
0.001647,31975
0.001655,32151
0.001663,31415
0.001671,32183
0.001679,31911
0.001688,31335
0.001696,32231
0.001704,31655
0.001712,31959
0.001720,32055
0.001729,31447
0.001737,32023
0.001745,32087
0.001753,31431
0.001761,31831
0.001770,32311
0.001778,31495
0.001786,31623
0.001794,32503
0.001802,31687
0.001811,31575
0.001819,32087
0.001827,31447
0.001835,32071
0.001843,32263
0.001852,31383
0.001860,31831
0.001868,32167
0.001876,31639
0.001884,31847
0.001893,31847
0.001901,31895
0.001909,32295
0.001917,31303
0.001925,31895
0.001933,32535
0.001942,31367
0.001950,31447
0.001958,32824
0.001966,31351
0.001974,31591
0.001983,32423
0.001991,31655
0.001999,31639
0.002007,32888
0.002015,31159
0.002024,31607
0.002032,32615
0.002040,31479
0.002048,31543
0.002056,32727
0.002065,31575
0.002073,31447
0.002081,32199
0.002089,31863
0.002097,31639
0.002106,32263
0.002114,31943
0.002122,31623
0.002130,31959
0.002138,32071
0.002146,31719
0.002155,31943
0.002163,31687
0.002171,31991
0.002179,32279
0.002187,31399
0.002196,32199
0.002204,32231
0.002212,31271
0.002220,32007
0.002228,32567
0.002237,31239
0.002245,31911
0.002253,32503
0.002261,31303
0.002269,32087
0.002278,32103
0.002286,31623
0.002294,32263
0.002302,31655
0.002310,31975
0.002319,31815
0.002327,31847
0.002335,32183
0.002343,31655
0.002351,32135
0.002359,31735
0.002368,32135
0.002376,31447
0.002384,32183
0.002392,32231
0.002400,31671
0.002409,31751
0.002417,32567
0.002425,31543
0.002433,31751
0.002441,32503
0.002450,31591
0.002458,31895
0.002466,31959
0.002474,31911
0.002482,32167
0.002491,32135
0.002499,31335
0.002507,32519
0.002515,31751
0.002523,31639
0.002532,32135
0.002540,32311
0.002548,31671
0.002556,31895
0.002564,32119
0.002572,31943
0.002581,31751
0.002589,31975
0.002597,31751
0.002605,32439
0.002613,32087
0.002622,31255
0.002630,32455
0.002638,32103
0.002646,31527
0.002654,32087
0.002663,31847
0.002671,32071
0.002679,31831
0.002687,31895
0.002695,32039
0.002704,32247
0.002712,31575
0.002720,31655
0.002728,32423
0.002736,32167
0.002745,31607
0.002753,31735
0.002761,32615
0.002769,31703
0.002777,32039
0.002786,32071
0.002794,31879
0.002802,32263
0.002810,31687
0.002818,32183
0.002826,31991
0.002835,31687
0.002843,31655
0.002851,32792
0.002859,32135
0.002867,31543
0.002876,31319
0.002884,32391
0.002892,32631
0.002900,31799
0.002908,31159
0.002917,32455
0.002925,32359
0.002933,31671
0.002941,31879
0.002949,31655
0.002958,32503
0.002966,32359
0.002974,31175
0.002982,32135
0.002990,32647
0.002999,31687
0.003007,31079
0.003015,33112
0.003023,32615
0.003031,31031
0.003039,31911
0.003048,32535
0.003056,32023
0.003064,31927
0.003072,32183
0.003080,31623
0.003089,31479
0.003097,33544
0.003105,31847
0.003113,31255
0.003121,32247
0.003130,32263
0.003138,32231
0.003146,31495
0.003154,32135
0.003162,32535
0.003171,31687
0.003179,31703
0.003187,31735
0.003195,32695
0.003203,32567
0.003212,31191
0.003220,31911
0.003228,32487
0.003236,31815
0.003244,31991
0.003252,31303
0.003261,32535
0.003269,33480
0.003277,30151
0.003285,31671
0.003293,34088
0.003302,31335
0.003310,29847
0.003318,33704
0.003326,33800
0.003334,29799
0.003343,31159
0.003351,34360
0.003359,31799
0.003367,30039
0.003375,33224
0.003384,32727
0.003392,30871
0.003400,32663
0.003408,32471
0.003416,30967
0.003425,32856
0.003433,31607
0.003441,31255
0.003449,34328
0.003457,30759
0.003465,29975
0.003474,34424
0.003482,33000
0.003490,30327
0.003498,31575
0.003506,32936
0.003515,32631
0.003523,31431
0.003531,32439
0.003539,32439
