Timestamps,Voltages
0.000000,1024
0.000008,1024
0.000016,65535
0.000025,65535
0.000033,1040
0.000041,65535
0.000049,65535
0.000057,1040
0.000066,65535
0.000074,65535
0.000082,1040
0.000090,62543
0.000098,65535
0.000106,1056
0.000115,48683
0.000123,65535
0.000131,6801
0.000139,1024
0.000147,65535
0.000156,65535
0.000164,65535
0.000172,1024
0.000180,49115
0.000188,65535
0.000197,5057
0.000205,18180
0.000213,65535
0.000221,9090
0.000229,16259
0.000238,65535
0.000246,3584
0.000254,22085
0.000262,65535
0.000270,1024
0.000279,36728
0.000287,65535
0.000295,1024
0.000303,56605
0.000311,65535
0.000319,1008
0.000328,65535
0.000336,65535
0.000344,1056
0.000352,65535
0.000360,65535
0.000369,1024
0.000377,65535
0.000385,49276
0.000393,1024
0.000401,65535
0.000410,12194
0.000418,15107
0.000426,65535
0.000434,992
0.000442,65535
0.000451,59902
0.000459,960
0.000467,65535
0.000475,10290
0.000483,14339
0.000492,65535
0.000500,1088
0.000508,47147
0.000516,65535
0.000524,1040
0.000532,65535
0.000541,65535
0.000549,1024
0.000557,65535
0.000565,65535
0.000573,1024
0.000582,65535
0.000590,64335
0.000598,1040
0.000606,65535
0.000614,47787
0.000623,1056
0.000631,65535
0.000639,20436
0.000647,1088
0.000655,65535
0.000664,1056
0.000672,1056
0.000680,28630
0.000688,1056
0.000696,1040
0.000705,11138
0.000713,1040
0.000721,1152
0.000729,18132
0.000737,1024
0.000745,1888
0.000754,32535
0.000762,1008
0.000770,8322
0.000778,42554
0.000786,1040
0.000795,20004
0.000803,47771
0.000811,1104
0.000819,31975
0.000827,49964
0.000836,1248
0.000844,38441
0.000852,52476
0.000860,1440
0.000868,38377
0.000877,54461
0.000885,1600
0.000893,34872
0.000901,56637
0.000909,2256
0.000918,29831
0.000926,57902
0.000934,9746
0.000942,24325
0.000950,57886
0.000958,15667
0.000967,20661
0.000975,56845
0.000983,20084
0.000991,17684
0.000999,55085
0.001008,24838
0.001016,15539
0.001024,52300
0.001032,29063
0.001040,14947
0.001049,49099
0.001057,31895
0.001065,15587
0.001073,45867
0.001081,34344
0.001090,16548
0.001098,42698
0.001106,35992
0.001114,17732
0.001122,40393
0.001130,37177
0.001139,18980
0.001147,37641
0.001155,38457
0.001163,20709
0.001171,34696
0.001180,39321
0.001188,22725
0.001196,32615
0.001204,39097
0.001212,24902
0.001221,30935
0.001229,38201
0.001237,27494
0.001245,29831
0.001253,37385
0.001262,28518
0.001270,29287
0.001278,37097
0.001286,29479
0.001294,28759
0.001303,36216
0.001311,30887
0.001319,28486
0.001327,35112
0.001335,31927
0.001343,28759
0.001352,34328
0.001360,32327
0.001368,28679
0.001376,34088
0.001384,32952
0.001393,28054
0.001401,34120
0.001409,33448
0.001417,28086
0.001425,33608
0.001434,33416
0.001442,28903
0.001450,32808
0.001458,33464
0.001466,29447
0.001475,32375
0.001483,33560
0.001491,29607
0.001499,32199
0.001507,33656
0.001516,29655
0.001524,31895
0.001532,33816
0.001540,30167
0.001548,31415
0.001556,33656
0.001565,30599
0.001573,31655
0.001581,33000
0.001589,30631
0.001597,32247
0.001606,32343
0.001614,30695
0.001622,32263
0.001630,32359
0.001638,31047
0.001647,32247
0.001655,32279
0.001663,31271
0.001671,31911
0.001679,32055
0.001688,31687
0.001696,31975
0.001704,31527
0.001712,32231
0.001720,32087
0.001729,31335
0.001737,32039
0.001745,32103
0.001753,31735
0.001761,31623
0.001769,32119
0.001778,32119
0.001786,31399
0.001794,32215
0.001802,31783
0.001810,31799
0.001819,32247
0.001827,31223
0.001835,32007
0.001843,32359
0.001851,31431
0.001860,31991
0.001868,31927
0.001876,31623
0.001884,32151
0.001892,31911
0.001901,31639
0.001909,32199
0.001917,31543
0.001925,31671
