Timestamps,Voltages
0.000000,960
0.000008,1072
0.000016,65535
0.000025,65535
0.000033,1008
0.000041,65535
0.000049,65535
0.000057,1024
0.000066,65535
0.000074,65535
0.000082,1008
0.000090,65535
0.000098,65535
0.000106,1040
0.000115,65535
0.000123,65535
0.000131,1040
0.000139,17988
0.000147,65535
0.000156,65535
0.000164,36056
0.000172,1088
0.000180,65535
0.000188,65535
0.000197,1104
0.000205,58734
0.000213,65535
0.000221,1120
0.000229,56941
0.000238,65535
0.000246,1056
0.000254,62623
0.000262,65535
0.000270,1040
0.000278,65535
0.000287,65535
0.000295,1008
0.000303,65535
0.000311,65535
0.000319,1024
0.000328,65535
0.000336,59070
0.000344,1024
0.000352,65535
0.000360,35112
0.000369,960
0.000377,65535
0.000385,7793
0.000393,16836
0.000401,65535
0.000410,992
0.000418,56029
0.000426,65535
0.000434,1024
0.000442,65535
0.000450,17460
0.000459,21637
0.000467,65535
0.000475,1040
0.000483,55853
0.000491,65535
0.000500,1040
0.000508,65535
0.000516,65535
0.000524,1040
0.000532,65535
0.000541,60734
0.000549,1040
0.000557,65535
0.000565,39513
0.000573,1040
0.000582,65535
0.000590,24918
0.000598,1024
0.000606,65535
0.000614,7601
0.000622,1056
0.000631,65535
0.000639,1024
0.000647,1088
0.000655,65535
0.000663,1040
0.000672,1056
0.000680,2368
0.000688,1056
0.000696,1184
0.000704,1040
0.000713,1056
0.000721,2640
0.000729,1072
0.000737,1088
0.000745,14243
0.000754,8194
0.000762,1088
0.000770,29287
0.000778,20901
0.000786,1120
0.000794,41722
0.000803,27702
0.000811,1264
0.000819,51084
0.000827,31975
0.000835,1472
0.000844,55213
0.000852,35512
0.000860,1728
0.000868,54029
0.000876,39753
0.000885,1904
0.000893,49596
0.000901,44698
0.000909,2112
0.000917,44538
0.000926,48923
0.000934,2304
0.000942,39049
0.000950,52380
0.000958,6449
0.000966,33400
0.000975,53693
0.000983,11186
0.000991,28246
0.000999,54157
0.001007,15811
0.001016,24325
0.001024,52780
0.001032,19780
0.001040,23781
0.001048,49692
0.001057,22517
0.001065,23061
0.001073,48651
0.001081,25766
0.001089,20148
0.001098,46795
0.001106,30439
0.001114,19492
0.001122,42586
0.001130,33880
0.001139,20452
0.001147,39529
0.001155,34600
0.001163,22629
0.001171,37817
0.001179,34056
0.001188,24517
0.001196,36120
0.001204,34984
0.001212,25126
0.001220,33288
0.001229,36937
0.001237,26806
0.001245,31591
0.001253,36536
0.001261,27526
0.001270,30727
0.001278,37369
0.001286,27702
0.001294,29127
0.001302,38361
0.001311,29511
0.001319,27414
0.001327,37177
0.001335,30695
0.001343,28743
0.001351,35128
0.001360,31319
0.001368,29543
0.001376,34440
0.001384,31271
0.001392,29687
0.001401,34408
0.001409,31431
0.001417,29207
0.001425,34472
0.001433,32135
0.001442,28983
0.001450,33800
0.001458,32711
0.001466,29351
0.001474,33272
0.001483,32535
0.001491,30247
0.001499,32311
0.001507,32103
0.001515,30999
0.001523,33064
0.001532,31559
0.001540,30391
0.001548,33176
0.001556,32151
0.001564,30535
0.001573,32535
0.001581,32295
0.001589,30999
0.001597,32023
0.001605,32359
0.001614,31367
0.001622,31767
0.001630,32487
0.001638,31079
0.001646,31751
0.001655,33176
0.001663,31079
0.001671,30743
0.001679,33224
0.001687,32519
0.001695,30631
0.001704,31815
0.001712,32055
0.001720,31783
0.001728,31911
0.001736,31927
0.001745,32343
0.001753,30983
0.001761,31831
0.001769,32824
0.001777,31239
0.001786,31559
0.001794,32663
0.001802,31399
0.001810,31655
0.001818,32599
0.001827,31479
0.001835,30583
0.001843,33560
0.001851,32872
0.001859,29095
0.001867,32263
0.001876,34296
0.001884,31159
0.001892,30055
0.001900,32776
0.001908,32952
0.001917,31383
0.001925,31175
0.001933,32583
0.001941,32023
0.001949,30951
0.001958,32840
0.001966,32167
0.001974,29959
0.001982,33192
0.001990,33592
0.001999,29767
0.002007,31783
0.002015,33144
0.002023,31559
0.002031,31623
0.002039,31223
0.002048,32727
0.002056,32183
0.002064,30519
0.002072,32311
0.002080,33288
0.002089,30439
0.002097,31975
0.002105,32936
0.002113,31031
0.002121,32183
0.002130,32263
0.002138,31335
0.002146,32263
0.002154,32007
0.002162,31703
0.002171,31591
0.002179,32327
0.002187,32391
0.002195,31591
0.002203,31591
0.002211,31879
0.002220,32327
0.002228,31543
0.002236,31815
0.002244,32231
0.002252,32055
0.002261,31415
0.002269,32407
0.002277,31719
0.002285,31783
0.002293,32103
0.002302,32103
0.002310,31975
0.002318,31463
0.002326,31591
0.002334,33416
0.002343,31463
0.002351,30823
0.002359,32711
0.002367,32343
0.002375,31527
0.002383,31943
0.002392,31591
0.002400,31767
0.002408,32567
0.002416,32343
0.002424,31415
0.002433,31671
0.002441,32407
0.002449,32183
0.002457,31879
0.002465,31879
0.002474,31831
0.002482,31975
0.002490,32087
0.002498,31911
0.002506,31895
0.002515,31703
0.002523,32247
0.002531,31959
0.002539,31863
