Timestamps,Voltages
0.000000,960
0.000008,1024
0.000016,65535
0.000025,65535
0.000033,1024
0.000041,65535
0.000049,65535
0.000057,1056
0.000066,65535
0.000074,65535
0.000082,1072
0.000090,65535
0.000098,65535
0.000106,1072
0.000115,65535
0.000123,65535
0.000131,1056
0.000139,1120
0.000147,65535
0.000156,65535
0.000164,59630
0.000172,1040
0.000180,65503
0.000188,65535
0.000197,1056
0.000205,36376
0.000213,65535
0.000221,1040
0.000229,34504
0.000238,65535
0.000246,1040
0.000254,40345
0.000262,65535
0.000270,1040
0.000278,54957
0.000287,65535
0.000295,1040
0.000303,65535
0.000311,65535
0.000319,1040
0.000328,65535
0.000336,65535
0.000344,1040
0.000352,65535
0.000360,59038
0.000369,1008
0.000377,65535
0.000385,30935
0.000393,1024
0.000401,65535
0.000410,1024
0.000418,33560
0.000426,65535
0.000434,1056
0.000442,65535
0.000450,40249
0.000459,1152
0.000467,65535
0.000475,1040
0.000483,32936
0.000491,65535
0.000500,1056
0.000508,65375
0.000516,65535
0.000524,1040
0.000532,65535
0.000541,65535
0.000549,1040
0.000557,65535
0.000565,62879
0.000573,928
0.000582,65535
0.000590,48027
0.000598,1040
0.000606,65535
0.000614,30935
0.000622,1040
0.000631,65535
0.000639,4529
0.000647,1024
0.000655,65535
0.000663,1008
0.000672,1024
0.000680,24085
0.000688,1008
0.000696,1040
0.000704,2672
0.000713,1008
0.000721,1312
0.000729,7921
0.000737,1024
0.000745,3792
0.000754,23221
0.000762,1024
0.000770,15395
0.000778,35512
0.000786,1088
0.000794,29607
0.000803,41338
0.000811,1152
0.000819,40665
0.000827,44986
0.000835,1328
0.000844,45419
0.000852,47323
0.000860,1520
0.000868,44618
0.000876,49212
0.000885,1744
0.000893,41434
0.000901,52204
0.000909,1872
0.000917,36488
0.000926,54861
0.000934,5441
0.000942,30535
0.000950,55901
0.000958,11794
0.000966,25830
0.000975,55629
0.000983,16516
0.000991,21989
0.000999,54413
0.001007,21541
0.001016,19172
0.001024,51932
0.001032,25846
0.001040,17924
0.001048,49772
0.001057,28695
0.001065,17780
0.001073,46683
0.001081,32135
0.001089,17460
0.001098,43434
0.001106,34760
0.001114,18580
0.001122,40521
0.001130,35880
0.001139,20164
0.001147,37881
0.001155,37001
0.001163,21253
0.001171,36104
0.001179,37769
0.001188,22677
0.001196,34024
0.001204,38041
0.001212,24325
0.001220,32087
0.001229,37929
0.001237,26182
0.001245,31239
0.001253,37209
0.001261,27782
0.001270,30279
0.001278,36360
0.001286,29319
0.001294,29783
0.001302,35656
0.001311,30215
0.001319,29255
0.001327,35416
0.001335,31239
0.001343,28711
0.001351,34872
0.001360,32039
0.001368,28711
0.001376,34376
0.001384,32327
0.001392,28823
0.001401,33800
0.001409,32695
0.001417,28903
0.001425,33672
0.001433,33112
0.001442,28614
0.001450,33512
0.001458,33624
0.001466,28807
0.001474,33288
0.001483,32952
0.001491,29367
0.001499,33112
0.001507,33016
0.001515,29607
0.001523,32776
0.001532,32968
0.001540,30007
0.001548,32391
0.001556,32824
0.001564,30503
0.001573,31991
0.001581,32711
0.001589,31031
0.001597,31879
0.001605,32247
0.001614,31367
0.001622,31975
0.001630,32119
0.001638,31767
0.001646,31847
0.001655,31543
0.001663,31767
0.001671,32439
0.001679,31767
0.001687,30999
0.001695,32167
0.001704,31975
0.001712,31687
0.001720,31895
0.001728,31895
0.001736,32071
0.001745,31655
0.001753,31703
0.001761,32247
0.001769,31879
0.001777,31383
0.001786,32247
0.001794,31975
0.001802,31591
0.001810,31687
0.001818,32279
0.001827,31639
0.001835,31895
0.001843,31863
0.001851,31607
0.001859,32295
0.001867,31703
0.001876,31591
0.001884,32343
0.001892,31655
0.001900,31655
0.001908,32407
0.001917,31559
0.001925,31639
0.001933,32599
0.001941,31399
0.001949,31559
0.001958,32391
0.001966,31495
0.001974,31623
0.001982,32535
0.001990,31591
0.001999,31303
0.002007,32663
0.002015,31719
0.002023,31255
0.002031,32551
0.002039,31767
0.002048,31367
0.002056,32743
0.002064,31447
0.002072,31575
0.002080,32743
0.002089,31607
0.002097,31447
0.002105,32439
0.002113,31879
0.002121,31527
0.002130,32167
0.002138,31847
0.002146,31799
0.002154,32247
0.002162,31479
0.002171,31943
0.002179,32359
0.002187,31703
0.002195,31847
0.002203,32071
0.002211,31687
0.002220,32151
0.002228,31927
0.002236,31687
0.002244,32167
0.002252,31943
0.002261,31415
0.002269,32023
0.002277,32167
0.002285,31815
0.002293,31831
0.002302,32199
0.002310,31863
0.002318,31735
0.002326,32055
0.002334,31991
0.002343,32087
0.002351,31735
0.002359,31799
0.002367,32311
0.002375,31703
0.002383,31783
0.002392,32567
0.002400,31495
0.002408,31703
0.002416,32615
0.002424,31031
0.002433,32647
0.002441,32199
0.002449,31303
0.002457,32359
0.002465,32055
0.002474,31303
0.002482,32231
0.002490,32599
0.002498,31127
0.002506,32039
0.002515,32776
0.002523,31367
0.002531,32071
0.002539,32391
0.002547,31575
0.002555,32071
0.002564,32071
0.002572,31671
0.002580,32423
0.002588,31767
0.002596,31415
0.002605,32808
0.002613,31847
0.002621,31399
0.002629,32295
0.002637,32183
0.002646,31783
0.002654,31943
0.002662,32119
0.002670,32007
0.002678,31943
0.002687,31927
0.002695,32103
0.002703,31895
0.002711,32007
0.002719,31831
0.002727,32071
0.002736,31927
0.002744,31959
0.002752,32119
0.002760,31847
0.002768,31863
0.002777,32215
0.002785,31703
0.002793,32055
0.002801,32247
0.002809,31719
0.002818,31847
0.002826,32391
0.002834,31607
0.002842,31895
0.002850,32311
0.002859,31655
0.002867,32439
0.002875,31319
0.002883,31847
0.002891,33192
0.002899,31383
0.002908,31143
0.002916,32888
0.002924,32808
0.002932,30759
0.002940,31399
0.002949,33704
0.002957,31831
0.002965,31127
0.002973,31927
0.002981,32936
0.002990,31687
0.002998,31127
0.003006,33432
0.003014,31991
0.003022,30695
0.003031,32647
0.003039,32872
0.003047,31351
0.003055,31703
0.003063,32535
0.003071,32183
0.003080,31895
0.003088,31783
0.003096,32247
0.003104,32279
0.003112,30983
0.003121,31911
0.003129,33576
0.003137,32231
0.003145,29863
0.003153,32663
0.003162,33672
0.003170,31175
0.003178,30951
0.003186,32615
0.003194,33064
0.003203,30919
0.003211,31719
0.003219,33224
0.003227,31399
0.003235,31735
0.003244,32087
0.003252,32647
0.003260,32071
0.003268,31159
0.003276,32263
0.003284,33160
0.003293,31191
0.003301,31527
0.003309,32952
0.003317,31959
0.003325,31511
0.003334,31607
0.003342,32679
0.003350,32824
0.003358,30647
0.003366,31623
0.003375,33368
0.003383,32183
0.003391,31095
0.003399,31559
0.003407,33256
0.003416,32007
0.003424,30887
0.003432,33016
0.003440,32776
0.003448,30599
0.003456,31719
0.003465,33832
0.003473,31639
0.003481,31143
0.003489,33032
0.003497,31655
0.003506,31847
0.003514,32824
0.003522,31223
0.003530,32519
0.003538,32936
0.003547,30535
0.003555,32087
0.003563,33336
0.003571,31175
0.003579,32055
0.003588,32727
0.003596,30535
0.003604,32872
0.003612,33592
0.003620,30023
0.003628,31927
0.003637,34072
0.003645,30999
0.003653,30951
0.003661,33976
0.003669,31479
0.003678,30951
0.003686,33368
0.003694,32023
0.003702,31575
0.003710,31751
0.003719,31895
0.003727,33768
0.003735,30775
0.003743,30839
0.003751,34616
0.003760,31719
0.003768,30263
0.003776,33112
0.003784,32551
0.003792,31383
0.003800,32039
0.003809,32231
0.003817,32407
0.003825,31751
0.003833,32103
0.003841,31815
0.003850,31911
0.003858,32872
0.003866,31863
0.003874,31495
0.003882,31863
0.003891,33336
0.003899,31927
0.003907,30999
0.003915,32679
0.003923,32647
0.003932,31223
0.003940,32375
0.003948,32615
0.003956,31655
0.003964,31639
0.003972,32792
0.003981,32167
0.003989,31559
0.003997,32103
0.004005,32583
0.004013,32039
0.004022,31559
0.004030,32439
0.004038,32487
0.004046,31591
0.004054,32151
0.004063,32776
0.004071,31735
0.004079,31767
0.004087,31815
0.004095,32776
0.004104,32984
0.004112,30823
0.004120,31879
0.004128,33096
0.004136,32311
0.004144,31191
0.004153,32199
0.004161,33272
0.004169,30951
0.004177,31127
0.004185,34344
0.004194,31671
0.004202,29751
0.004210,34136
0.004218,33240
0.004226,29239
0.004235,32487
0.004243,34136
0.004251,31271
0.004259,30375
0.004267,33624
0.004276,33416
0.004284,30023
0.004292,31751
0.004300,33656
0.004308,31959
0.004316,30775
0.004325,32808
0.004333,32904
0.004341,30919
0.004349,32567
0.004357,33384
0.004366,30871
0.004374,31495
0.004382,33064
0.004390,32711
0.004398,31543
0.004407,31687
0.004415,32327
0.004423,32311
0.004431,32439
0.004439,31927
0.004448,31751
0.004456,32263
0.004464,32263
0.004472,31991
0.004480,32231
0.004488,32023
0.004497,32279
0.004505,32007
0.004513,31751
0.004521,32199
0.004529,32199
0.004538,32247
0.004546,32327
0.004554,31591
0.004562,32343
0.004570,32327
0.004579,31735
0.004587,32151
0.004595,32439
0.004603,32183
0.004611,31815
0.004620,32007
0.004628,32583
0.004636,32071
0.004644,31671
0.004652,32359
0.004660,32199
0.004669,31927
0.004677,31991
0.004685,32247
0.004693,32215
0.004701,32327
0.004710,31447
0.004718,32679
0.004726,32135
0.004734,31735
0.004742,32167
0.004751,32407
0.004759,32119
0.004767,31751
0.004775,32311
0.004783,32519
0.004792,31751
0.004800,31767
0.004808,32487
0.004816,31927
0.004824,32215
0.004832,32247
0.004841,31831
0.004849,32151
0.004857,32103
0.004865,32199
0.004873,32359
0.004882,32039
0.004890,31959
0.004898,32311
0.004906,32343
0.004914,31783
0.004923,32039
0.004931,32183
0.004939,32519
0.004947,31911
0.004955,31943
0.004964,32551
0.004972,32183
0.004980,31927
0.004988,32263
0.004996,32487
0.005004,31911
0.005013,32119
0.005021,32439
0.005029,32007
0.005037,32055
0.005045,32327
0.005054,32439
0.005062,31911
0.005070,31879
0.005078,32872
0.005086,31847
0.005095,32231
0.005103,32439
0.005111,31623
0.005119,32391
0.005127,32439
0.005136,31687
0.005144,32263
0.005152,32167
0.005160,32007
0.005168,32279
0.005177,32279
0.005185,31863
0.005193,32407
0.005201,32343
0.005209,31991
0.005217,31927
0.005226,32391
0.005234,32263
0.005242,32055
0.005250,32007
0.005258,32503
0.005267,31799
0.005275,32103
0.005283,32583
0.005291,31847
0.005299,32215
0.005308,32071
0.005316,32151
0.005324,32295
0.005332,32151
0.005340,32199
0.005349,32199
0.005357,32279
0.005365,31959
0.005373,32327
0.005381,32343
0.005389,31671
0.005398,32247
0.005406,32631
0.005414,32007
0.005422,32231
0.005430,32071
0.005439,32087
0.005447,32535
0.005455,32119
0.005463,31655
0.005471,32679
0.005480,32359
0.005488,31719
0.005496,32311
0.005504,32407
0.005512,31847
0.005521,32583
0.005529,32071
0.005537,31943
0.005545,32391
0.005553,32167
0.005561,32103
0.005570,32263
0.005578,32135
0.005586,32487
0.005594,32023
0.005602,31943
0.005611,32247
0.005619,32423
0.005627,32135
0.005635,31735
0.005643,32439
0.005652,32407
0.005660,32103
0.005668,31959
0.005676,32199
0.005684,32199
0.005693,31991
0.005701,32423
0.005709,31927
0.005717,31927
0.005725,32663
0.005733,32119
0.005742,31959
0.005750,31943
0.005758,32615
0.005766,32135
0.005774,31703
0.005783,32503
0.005791,32423
0.005799,31783
0.005807,32071
0.005815,32375
0.005824,32391
0.005832,32055
0.005840,31911
0.005848,32295
0.005856,32471
0.005865,31735
0.005873,32279
0.005881,32872
0.005889,31863
0.005897,31687
0.005905,32792
0.005914,32359
0.005922,31463
0.005930,32711
0.005938,32359
0.005946,31719
0.005955,32695
0.005963,32135
0.005971,31607
0.005979,32327
0.005987,32615
0.005996,32167
0.006004,31783
0.006012,32279
0.006020,32535
0.006028,31943
0.006037,32055
0.006045,32631
0.006053,32391
0.006061,31527
0.006069,32471
0.006077,32599
0.006086,31639
0.006094,32439
0.006102,32231
0.006110,32103
0.006118,32311
0.006127,32183
0.006135,32119
0.006143,32295
0.006151,32279
0.006159,31895
0.006168,32295
0.006176,32279
0.006184,32151
0.006192,32327
0.006200,31943
0.006209,32183
0.006217,32423
0.006225,32135
0.006233,31991
0.006241,32183
0.006249,32407
0.006258,32199
0.006266,31975
0.006274,32023
0.006282,32535
0.006290,32167
0.006299,31831
0.006307,32647
0.006315,32119
0.006323,31831
0.006331,32039
0.006340,32551
0.006348,32215
0.006356,31975
0.006364,32359
0.006372,31959
0.006381,32343
0.006389,32375
0.006397,32039
0.006405,31959
0.006413,32535
0.006421,32279
0.006430,31879
0.006438,32231
0.006446,32519
0.006454,31927
0.006462,32247
0.006471,32167
0.006479,32183
0.006487,32087
0.006495,32535
0.006503,31991
0.006512,32199
0.006520,32071
0.006528,32423
0.006536,32423
0.006544,32199
0.006553,32231
0.006561,31991
0.006569,32295
0.006577,32263
0.006585,32055
0.006593,32295
0.006602,32279
0.006610,32295
0.006618,32183
0.006626,31975
0.006634,32071
0.006643,32615
0.006651,32215
