,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,21861,792.2335107496667,11727.764952919384,1209.0,1432.0,-625.3527182443755,179.91301825000002,18,15,50.0,170.0,177.2004514666935,16.389540334034784,short,13.0,50.0
1,8e-06,65535,17380.39162486441,22478.74120666478,,,249.79399847746785,,,,,,,,,,
2,1.6e-05,960,-27369.983857053496,27928.09510496044,,,383.7035261243989,,,,,,,,,,
3,2.5e-05,65535,17371.18244551545,32527.10370993712,,,-677.6409129646868,,,,,,,,,,
4,3.3e-05,33464,12725.553852868865,37017.069055925625,,,367.0187357152597,,,,,,,,,,
5,4.1e-05,960,-37934.741182482765,38885.80727027427,,,259.6841365711532,,,,,,,,,,
6,4.9e-05,65535,27878.712526237,40722.82261699739,,,-667.6254985503194,,,,,,,,,,
7,5.7e-05,44026,14165.99158985925,43574.95819403161,,,526.0726652387748,,,,,,,,,,
8,6.6e-05,1024,-45360.65923492997,45901.82604480755,,,65.64132294604048,,,,,,,,,,
9,7.4e-05,65535,29201.908666904732,47384.29253238737,,,-646.6473985909689,,,,,,,,,,
10,8.2e-05,62719,18619.187209183823,47448.00942230189,,,704.7194962333713,,,,,,,,,,
11,9e-05,1088,-45167.995369590986,45318.25289580433,,,-113.36118443536631,,,,,,,,,,
12,9.8e-05,65535,22264.13004576189,42316.77905779875,,,-642.7565751464184,,,,,,,,,,
13,0.000106,65535,20960.5017188107,39395.980427293725,,,824.9613802446827,,,,,,,,,,
14,0.000115,1088,-35639.96146244978,35830.614361913926,,,-195.8428264257795,,,,,,,,,,
15,0.000123,65535,11676.431440624749,31341.02559413297,,,-635.8258742539431,,,,,,,,,,
16,0.000131,65535,16592.640607885034,25913.593141891673,,,806.7716195695939,,,,,,,,,,
17,0.000139,1040,-18894.02823480525,19315.72253066082,,,-155.3186017528915,,,,,,,,,,
18,0.000147,58126,3540.2149353638424,12414.118073813195,,,-584.3808429916817,,,,,,,,,,
19,0.000156,65535,3949.8123827426575,6007.602070881617,,,627.2807536566688,,,,,,,,,,
20,0.000164,65535,-44.367476662202264,1583.353910274413,,,-23.591723993286745,,,,,,,,,,
21,0.000172,1024,2284.0861140875895,7925.407516319754,,,-471.2361038651742,,,,,,,,,,
22,0.00018,1040,-14463.9072778956,14944.739864880201,,,336.6134278895428,,,,,,,,,,
23,0.000188,65535,15366.29317409556,21931.96038934146,,,142.28821525404095,,,,,,,,,,
24,0.000197,65535,8238.14944338002,28435.973213895708,,,-322.341519311784,,,,,,,,,,
25,0.000205,1008,-33280.64445227507,33908.897621305594,,,27.316616535747222,,,,,,,,,,
26,0.000213,65535,24229.0338728993,38757.29852590145,,,291.4331150181399,,,,,,,,,,
27,0.000221,65535,17523.958615742653,43291.415202403194,,,-187.64207089878153,,,,,,,,,,
28,0.000229,1040,-46998.34927646801,47112.913862926966,,,-209.74423050297,,,,,,,,,,
29,0.000238,65535,27109.499387063577,50045.17538057369,,,388.47765209103255,,,,,,,,,,
30,0.000246,65535,24334.094203092714,51905.17062689041,,,-109.0689882983973,,,,,,,,,,
31,0.000254,1040,-52385.86768198005,52404.44552620884,,,-313.5318952673961,,,,,,,,,,
32,0.000262,65535,27135.843660698894,51967.0523067943,,,411.223797220328,,,,,,,,,,
33,0.00027,65535,24023.661827269098,50996.04022326532,,,-104.50981880210675,,,,,,,,,,
34,0.000278,1040,-49235.79693302024,49312.07427137414,,,-262.7043077698492,,,,,,,,,,
35,0.000287,65535,27570.567828292074,47013.213288555446,,,355.92327099270784,,,,,,,,,,
36,0.000295,62975,15231.62556004692,44236.016503207975,,,-170.92244256995735,,,,,,,,,,
37,0.000303,1040,-39577.78245016522,40984.5254437593,,,-81.59064290533114,,,,,,,,,,
38,0.000311,65535,29745.766362782888,37881.61027534694,,,249.11868703627283,,,,,,,,,,
39,0.000319,40169,247.53392722163792,35434.05426566988,,,-287.7854590300684,,,,,,,,,,
40,0.000328,1104,-26308.141959449902,33723.6994022321,,,155.85956275923377,,,,,,,,,,
