Timestamps,Voltages
41,60
82,59
123,63
164,60
205,60
246,60
287,62
328,63
369,60
410,60
451,60
492,60
533,61
574,60
615,57
656,57
697,60
738,60
779,60
820,63
861,61
902,61
943,62
984,61
1025,61
1066,57
1107,60
1148,60
1189,60
1230,64
1271,61
1312,61
1353,61
1394,60
1435,60
1476,58
1517,60
1558,60
1599,61
1640,63
1681,62
1722,61
1763,60
1804,60
1845,61
1886,58
1927,59
1968,60
2009,61
2050,63
2091,64
2132,60
2173,61
2214,60
2255,60
2296,58
2337,60
2378,60
2419,60
2460,63
2501,61
2542,60
2583,60
2624,60
2665,60
2706,57
2747,60
2788,60
2829,60
2870,63
2911,60
2952,60
2993,60
3034,60
3075,60
3116,58
3157,60
3198,60
3239,61
3280,63
3321,62
3362,61
3403,60
3444,61
3485,60
3526,57
3567,61
3608,62
3649,63
3690,60
3731,61
3772,60
3813,58
3854,60
3895,61
3936,67
3977,61
4018,61
4059,61
4100,60
4141,60
4182,57
4223,60
4264,60
4305,61
4346,63
4387,60
4428,61
4469,60
4510,60
4551,57
4592,57
4633,60
4674,60
4715,62
4756,62
4797,61
4838,60
4879,60
4920,60
4961,57
5002,60
5043,60
5084,60
5125,63
5166,62
5207,61
5248,60
5289,60
5330,60
5371,57
5412,60
5453,60
5494,60
5535,63
5576,62
5617,60
5658,61
5699,61
5740,57
5781,58
5822,60
5863,60
5904,63
5945,61
5986,61
6027,61
6068,61
6109,61
6150,57
6191,60
6232,60
6273,61
6314,62
6355,60
6396,61
6437,61
6478,63
6519,57
6560,59
6601,61
6642,60
6683,63
6724,61
6765,61
6806,60
6847,62
6888,59
6929,57
6970,60
7011,60
7052,62
7093,63
7134,60
7175,60
7216,60
7257,60
7298,57
7339,59
7380,60
7421,60
7462,62
7503,60
7544,60
7585,60
7626,61
7667,57
7708,57
7749,63
7790,60
7831,63
7872,65
7913,61
7954,60
7995,61
8036,60
8077,57
8118,61
8159,60
8200,60
8241,63
8282,60
8323,60
8364,61
8405,60
8446,57
8487,61
8528,60
8569,61
8610,64
8651,61
8692,60
8733,61
8774,60
8815,58
8856,58
8897,60
8938,60
8979,63
9020,64
9061,60
9102,60
9143,60
9184,60
9225,57
9266,60
9307,60
9348,60
9389,63
9430,60
9471,62
9512,60
9553,60
9594,57
9635,59
9676,60
9717,60
9758,63
9799,60
9840,60
9881,60
9922,60
9963,57
10004,60
10045,60
10086,61
10127,63
10168,60
10209,60
10250,60
10291,60
10332,57
10373,60
10414,60
10455,60
10496,65
10537,60
10578,61
10619,61
10660,60
10701,58
10742,60
10783,60
10824,61
10865,63
10906,61
10947,61
10988,61
11029,61
11070,57
11111,60
11152,60
11193,61
11234,63
11275,60
11316,61
11357,60
11398,60
11439,57
11480,60
11521,60
11562,61
11603,63
11644,60
11685,60
11726,60
11767,60
11808,57
11849,58
11890,60
11931,60
11972,62
12013,60
12054,60
12095,60
12136,60
12177,59
12218,61
12259,60
12300,63
12341,60
12382,60
12423,61
12464,60
12505,58
12546,57
12587,60
12628,61
12669,64
12710,63
12751,62
12792,60
12833,60
12874,61
12915,57
12956,61
12997,60
13038,60
13079,64
13120,62
13161,60
13202,60
13243,60
13284,57
13325,60
13366,60
13407,60
13448,63
13489,62
13530,60
13571,59
13612,60
13653,58
13694,57
13735,60
13776,60
13817,60
13858,63
13899,60
13940,60
13981,60
14022,61
14063,57
14104,60
14145,60
14186,60
14227,63
14268,62
14309,60
14350,61
14391,61
14432,57
14473,61
14514,61
14555,60
14596,58
14637,57
14678,61
14719,60
14760,60
14801,62
14842,63
14883,60
14924,60
14965,60
15006,58
15047,60
15088,59
15129,60
15170,60
15211,62
15252,60
15293,60
15334,60
15375,58
15416,60
15457,60
15498,59
15539,60
15580,61
15621,62
15662,60
15703,58
15744,57
15785,61
15826,60
15867,60
15908,60
15949,61
15990,62
16031,61
16072,59
16113,58
16154,61
16195,60
16236,60
16277,61
16318,61
16359,61
16400,63
16441,61
16482,58
16523,60
16564,60
16605,60
16646,61
16687,61
16728,62
16769,62
16810,61
16851,60
16892,59
16933,60
16974,60
17015,61
17056,60
17097,61
17138,62
17179,62
17220,60
17261,59
17302,58
17343,60
17384,63
17425,60
17466,60
17507,61
17548,61
17589,61
17630,60
17671,59
17712,59
17753,60
17794,60
17835,60
17876,62
17917,62
17958,61
17999,60
18040,59
18081,59
18122,59
18163,60
18204,60
18245,61
18286,62
18327,61
18368,61
18409,60
18450,59
18491,59
18532,60
18573,60
18614,61
18655,61
18696,62
18737,61
18778,60
18819,60
18860,60
18901,60
18942,60
18983,61
19024,61
19065,62
19106,61
19147,62
19188,60
19229,61
19270,60
19311,60
19352,60
19393,60
19434,60
19475,61
19516,60
19557,60
19598,61
19639,60
19680,59
19721,60
19762,60
19803,60
19844,60
19885,60
19926,60
19967,60
20008,59
20049,60
20090,60
20131,60
20172,60
20213,60
20254,60
20295,60
20336,60
20377,60
20418,60
20459,60
20500,60
20541,60
20582,60
20623,60
20664,60
20705,60
20746,60
20787,60
20828,60
20869,59
20910,60
20951,61
20992,61
21033,61
21074,64
21115,60
21156,60
21197,60
21238,60
21279,60
21320,60
21361,61
21402,61
21443,61
21484,61
21525,60
21566,61
21607,60
21648,60
21689,61
21730,60
21771,60
21812,61
21853,61
21894,60
21935,61
21976,61
22017,59
22058,60
22099,60
22140,60
22181,60
22222,60
22263,60
22304,60
22345,60
22386,60
22427,60
22468,59
22509,59
22550,60
22591,60
22632,60
22673,60
22714,60
22755,60
22796,60
22837,60
22878,59
22919,60
22960,60
23001,60
23042,60
23083,60
23124,60
23165,61
23206,60
23247,60
23288,60
23329,60
23370,60
23411,60
23452,60
23493,60
23534,60
23575,64
23616,61
23657,60
23698,60
23739,60
23780,60
23821,60
23862,60
23903,61
23944,60
23985,61
24026,61
24067,61
24108,61
24149,60
24190,60
24231,60
24272,60
24313,60
24354,61
24395,61
24436,61
24477,62
24518,60
24559,60
24600,60
24641,60
24682,60
24723,59
24764,61
24805,61
24846,61
24887,60
24928,60
24969,60
25010,60
25051,60
25092,60
25133,60
25174,61
25215,61
25256,61
25297,60
25338,60
25379,60
25420,60
25461,60
25502,61
25543,61
25584,60
25625,61
25666,60
25707,60
25748,63
25789,60
25830,60
25871,61
25912,60
25953,60
25994,61
26035,60
26076,60
26117,60
26158,60
26199,61
26240,61
26281,61
26322,60
26363,62
26404,61
26445,60
26486,61
26527,60
26568,60
26609,60
26650,60
26691,60
26732,60
26773,60
26814,60
26855,60
26896,60
26937,59
26978,60
27019,60
27060,59
27101,60
27142,60
27183,60
27224,60
27265,60
27306,60
27347,60
27388,60
27429,60
27470,60
27511,59
27552,60
27593,61
27634,61
27675,60
27716,61
27757,61
27798,61
27839,61
27880,60
27921,60
27962,61
28003,61
28044,61
28085,61
28126,61
28167,61
28208,61
28249,60
28290,60
28331,61
28372,61
28413,61
28454,61
28495,61
28536,62
28577,60
28618,60
28659,60
28700,61
28741,60
28782,60
28823,61
28864,60
28905,61
28946,61
28987,60
29028,60
29069,60
29110,60
29151,60
29192,60
29233,60
29274,60
29315,61
29356,60
29397,60
29438,61
29479,60
29520,59
29561,60
29602,60
29643,60
29684,60
29725,60
29766,60
29807,61
29848,60
29889,60
29930,59
29971,60
30012,60
30053,61
30094,61
30135,60
30176,61
30217,60
30258,60
30299,60
30340,61
30381,60
30422,61
30463,61
30504,61
30545,61
30586,61
30627,60
30668,60
30709,60
30750,60
30791,60
30832,61
30873,61
30914,61
30955,61
30996,61
31037,61
31078,60
31119,60
31160,60
31201,60
31242,60
31283,60
31324,60
31365,60
31406,60
31447,60
31488,59
31529,60
31570,59
31611,59
31652,60
31693,60
31734,60
31775,61
31816,61
31857,60
31898,60
31939,59
31980,59
32021,60
32062,61
32103,60
32144,61
32185,61
32226,61
32267,60
32308,60
32349,59
32390,59
32431,60
32472,61
32513,61
32554,62
32595,63
32636,61
32677,61
32718,60
32759,60
32800,60
32841,60
32882,61
32923,61
32964,61
33005,61
33046,61
33087,61
33128,61
33169,60
33210,60
33251,61
33292,60
33333,61
33374,61
33415,61
33456,61
33497,60
33538,59
33579,59
33620,60
33661,60
33702,60
33743,61
33784,61
33825,60
33866,61
33907,59
33948,59
33989,59
34030,60
34071,60
34112,61
34153,61
34194,61
34235,60
34276,60
34317,59
34358,60
34399,60
34440,60
34481,61
34522,61
34563,61
34604,61
34645,61
34686,60
34727,61
34768,61
34809,60
34850,61
34891,61
34932,60
34973,61
35014,61
35055,61
35096,61
35137,61
35178,60
35219,61
35260,61
35301,61
35342,61
35383,61
35424,61
35465,61
35506,61
35547,60
35588,60
35629,60
35670,61
35711,61
35752,60
35793,60
35834,60
35875,62
35916,59
35957,59
35998,59
36039,60
36080,60
36121,60
36162,60
36203,61
36244,60
36285,59
36326,60
36367,60
36408,59
36449,60
36490,60
36531,60
36572,61
36613,61
36654,60
36695,60
36736,60
36777,62
36818,60
36859,60
36900,60
