,max amp,std,kurtosis,skewness,power,rise time,fall time,peak entropy,distance,grid_x,grid_y,angle,real_x,real_y,plateau_sizes 1,plateau_sizes 2,left_edges 1,left_edges 2,right_edges 1,right_edges 2,peak_heights 1,peak_heights 2,left_thresholds 1,left_thresholds 2,right_thresholds 1,right_thresholds 2,prominences 1,prominences 2,left_bases 1,left_bases 2,right_bases 1,right_bases 2,widths 1,widths 2,width_heights 1,width_heights 2,left_ips 1,left_ips 2,right_ips 1,right_ips 2,label
copeta_15cm_sensor_50cm_6_9 16_filtered.csv,0.1460481160320015,0.02919675498835616,0.2876104013445393,0.5326321162595463,0.07885857674171967,0.11363636363636362,0.06779661016949151,0.0,0.9198717948717948,0.3157894736842105,0.8823529411764706,0.4146291422611268,0.3157894736842105,0.8823529411764706,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.1460481160320015,0.0,0.408614857660879,0.0,0.05952161341763932,0.0,0.15043686841582748,0.0,0.8117647058823529,0.0,0.5714285714285713,0.0,0.28800227823034014,0.0,0.005912754583125588,0.0,0.6543897046511937,0.0,0.6287595354312199,0.0,0.0
copeta_15cm_sensor_50cm_6_9 15_filtered.csv,0.08334100212236065,0.017342398781038652,0.3792406947277909,0.4402550384738586,0.05257508690802113,0.09090909090909091,0.06779661016949151,0.0,0.8589743589743594,0.3157894736842105,0.8235294117647058,0.4082839930025015,0.3157894736842105,0.8235294117647058,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.08334100212236065,0.0,0.1353886687920008,0.0,0.03465723763312493,0.0,0.08587348306023951,0.0,0.4823529411764706,0.0,0.6517857142857143,0.0,0.3138550340878427,0.0,0.008757044606020382,0.0,0.6994250937228754,0.0,0.6983671225378663,0.0,0.0
copeta_15cm_sensor_50cm_6_9 14_filtered.csv,0.053945197973672074,0.01423455473890623,0.4155748956323314,0.40705521284205315,0.045467343722213345,0.13636363636363638,0.15254237288135591,0.0,0.8141025641025642,0.3157894736842105,0.7647058823529411,0.4011898548552051,0.3157894736842105,0.7647058823529411,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.053945197973672074,0.0,0.02170582753286256,0.0,0.33957536548462663,0.0,0.05457287432335093,0.0,0.2,0.0,0.9553571428571427,0.0,0.8662269180114441,0.0,0.016833795491285698,0.0,0.1712958154353666,0.0,0.9613291182740853,0.0,0.0
copeta_15cm_sensor_50cm_6_9 13_filtered.csv,0.09191544735109194,0.02216849748187072,0.31930357543124727,0.49911738872880274,0.0680446412590569,0.1590909090909091,0.06779661016949151,0.0,0.7524038461538461,0.3157894736842105,0.7058823529411764,0.39320908572476565,0.3157894736842105,0.7058823529411764,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.09191544735109194,0.0,0.1318145008576957,0.0,0.004383799132596327,0.0,0.09527356357793193,0.0,0.16470588235294117,0.0,0.9017857142857143,0.0,0.8510212850798085,0.0,0.004641194892602226,0.0,0.138155590790554,0.0,0.9149240602029876,0.0,0.0
copeta_15cm_sensor_50cm_6_9 13_1_filtered.csv,0.0631717104485023,0.010426251218889711,0.4822999564069463,0.34715701788817954,0.0331022986039358,0.09090909090909091,0.0847457627118644,0.0,0.75,0.3157894736842105,0.7058823529411764,0.39320908572476565,0.3157894736842105,0.7058823529411764,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.0631717104485023,0.0,0.025660880588897112,0.0,0.1281180318248138,0.0,0.06371068257078769,0.0,0.18823529411764706,0.0,0.9017857142857143,0.0,0.48060372898981424,0.0,0.01877360982697083,0.0,0.7069822831876099,0.0,0.9149240602029878,0.0,0.0
copeta_15cm_sensor_50cm_6_9 12_filtered.csv,0.04286308540721667,0.0056421461889192386,0.6044822470309141,0.2521310376266285,0.020283664794981802,0.09090909090909091,0.06779661016949151,0.0,0.6923076923076923,0.3157894736842105,0.6470588235294117,0.3841691306887545,0.3157894736842105,0.6470588235294117,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.04286308540721667,0.0,0.197065265988086,0.0,0.00932614889174379,0.0,0.042811569189072994,0.0,0.8823529411764706,0.0,0.8214285714285713,0.0,0.41656316781456487,0.0,0.019625083629400922,0.0,0.7205894790357399,0.0,0.8453164730963416,0.0,0.0
copeta_15cm_sensor_50cm_6_9 11_filtered.csv,0.0369409231299673,0.006947126318372784,0.5581981942966526,0.2869597581258627,0.024347957154955767,0.09090909090909091,0.15254237288135591,0.0,0.6554487179487181,0.3157894736842105,0.5882352941176471,0.37385112434159873,0.3157894736842105,0.588235294117647,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.0369409231299673,0.0,0.06763057853146118,0.0,0.010722131273742058,0.0,0.038061785996266397,0.0,0.7294117647058823,0.0,0.7053571428571427,0.0,0.42374701801726095,0.0,0.011109814995034079,0.0,0.5871615086191834,0.0,0.7447721806089636,0.0,0.0
copeta_15cm_sensor_50cm_6_8 16_filtered.csv,0.15638973131670708,0.03297562405265861,0.2674094476788799,0.5555055093080972,0.08789182824156902,0.0681818181818182,0.0847457627118644,0.0,0.9262820512820514,0.2631578947368421,0.8823529411764706,0.3879250246788898,0.2631578947368421,0.8823529411764706,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.15638973131670708,0.0,0.2152324999708111,0.0,0.5782505195802577,0.0,0.1615981490422708,0.0,0.6470588235294118,0.0,0.7410714285714285,0.0,0.49319660372755086,0.0,0.0020966171291474972,0.0,0.5178300276681461,0.0,0.7754275068746244,0.0,0.0
copeta_15cm_sensor_50cm_6_8 15_filtered.csv,0.061555254891337244,0.021013510515362953,0.33639378435354284,0.4836260165461653,0.06527051997456104,0.09090909090909091,0.11864406779661016,0.0,0.8685897435897437,0.2631578947368421,0.8235294117647058,0.38020943645197847,0.2631578947368421,0.8235294117647058,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.061555254891337244,0.0,0.2982435805717248,0.0,0.05357893648592629,0.0,0.06110417200385262,0.0,0.788235294117647,0.0,0.3839285714285713,0.0,0.1673524329528293,0.0,0.02498797600465451,0.0,0.6419470823372964,0.0,0.4663418321823787,0.0,0.0
copeta_15cm_sensor_50cm_6_8 14_filtered.csv,0.05465194981003291,0.011500548905532005,0.45630574645907457,0.3703807473762104,0.037884928992349166,0.11363636363636362,0.0847457627118644,0.0,0.8084935897435899,0.2631578947368421,0.7647058823529411,0.37161074051374765,0.2631578947368421,0.7647058823529411,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.05465194981003291,0.0,0.15317439356952178,0.0,0.021053361150563075,0.0,0.05579949935828276,0.0,0.1411764705882353,0.0,0.6785714285714285,0.0,0.7029413665357198,0.0,0.013549698554260874,0.0,0.13017522253630942,0.0,0.7215696515734149,0.0,0.0
