,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100,sample_101,sample_102,sample_103,sample_104,sample_105,sample_106,sample_107,sample_108,sample_109,sample_110,sample_111,sample_112,sample_113,sample_114,sample_115,sample_116,sample_117,sample_118,sample_119,sample_120,sample_121,sample_122,sample_123,sample_124,sample_125,sample_126,sample_127,sample_128,sample_129,sample_130,sample_131,sample_132,sample_133,sample_134,sample_135,sample_136,sample_137,sample_138,sample_139,sample_140,sample_141,sample_142,sample_143,sample_144,sample_145,sample_146,sample_147,sample_148,sample_149,sample_150,sample_151,sample_152,sample_153,sample_154,sample_155,sample_156,sample_157,sample_158,sample_159,sample_160,sample_161,sample_162,sample_163,sample_164,sample_165,sample_166,sample_167,sample_168,sample_169,sample_170,sample_171,sample_172,sample_173,sample_174,sample_175,sample_176,sample_177,sample_178,sample_179,sample_180,sample_181,sample_182,sample_183,sample_184,sample_185,sample_186,sample_187,sample_188,sample_189,sample_190,sample_191,sample_192,sample_193,sample_194,sample_195,sample_196,sample_197,sample_198,sample_199,sample_200,sample_201
copeta_15cm_sensor_50cm_6_9 16_filtered.csv,0.034216999,0.033057515,0.030189713,0.029166899,0.03856186,0.030434474,0.024477241,0.041567568,0.031761498,0.022089319,0.041572189,0.032904156,0.022906916,0.039341425,0.032794156,0.02644804,0.036377703,0.031120982,0.031171928,0.03411997,0.028451105,0.035261491,0.033304026,0.025876913,0.037454642,0.033771847,0.024392394,0.037535383,0.034785488,0.024323445,0.036249936,0.035642927,0.025166951,0.034687156,0.036168272,0.02602002,0.033525679,0.036662332,0.026347747,0.03272489,0.037330357,0.026462143,0.031899485,0.037747857,0.027252131,0.030973021,0.036969371,0.029374267,0.030427998,0.034283113,0.032613865,0.030895444,0.029975006,0.035937109,0.032489194,0.025439681,0.038136785,0.034504882,0.022508554,0.038560003,0.035767744,0.022408438,0.037436588,0.035439978,0.024971621,0.035601212,0.033817771,0.02859884,0.033718466,0.032616295,0.031129315,0.031412562,0.034427366,0.031275832,0.026877329,0.041450935,0.029837139,0.017366904,0.054113122,0.02989997,0.00042164,0.070361236,0.035809062,-0.024783407,0.086059462,0.051351151,-0.056610922,0.096347505,0.077934206,-0.091030844,0.09740988,0.113532075,-0.122574818,0.087919393,0.152837546,-0.145783075,0.069577299,0.188557803,-0.156615379,0.046596167,0.213391162,-0.153418486,0.024382693,0.222053112,-0.13725132,0.007923888,0.212756121,-0.111570432,0.000395357,0.187759706,-0.081382576,0.002327272,0.152835566,-0.051986195,0.011514724,0.115672786,-0.027570359,0.023802401,0.083597676,-0.010188135,0.034590874,0.061426152,0.000482849,0.04045841,0.050250668,0.006618926,0.040271829,0.047489277,0.011156113,0.035525576,0.048230593,0.016308807,0.029715997,0.04765263,0.022356055,0.02660109,0.043489039,0.027725748,0.0279949,0.036899531,0.030576877,0.032651226,0.030988281,0.030583447,0.037300293,0.028165169,0.029305888,0.039084572,0.02847956,0.028926816,0.037441517,0.029982967,0.030601813,0.034137357,0.030430709,0.03376653,0.031733635,0.02884977,0.036764599,0.031786925,0.025926864,0.038157166,0.034025768,0.023183841,0.03768299,0.036889397,0.021764754,0.036224536,0.038811597,0.021778781,0.034960411,0.0392357,0.022534037,0.034435708,0.038756861,0.02330495,0.034177181,0.038478316,0.024035424,0.033023388,0.039082497,0.025527572,0.029956886,0.040187631,0.028949648,0.025001991,0.040415507,0.034847427,0.01964343,0.038271545,0.042231612,0.016304241,0.033426148,0.048544595,0.016898444,0.027455067,0.050964392,0.021339576,0.02312036,0.048367537,0.027393324
copeta_15cm_sensor_50cm_6_9 15_filtered.csv,0.106964762,0.093306678,0.088918963,0.105301398,0.091898337,0.093752893,0.100676223,0.091464334,0.0997654,0.094427449,0.09189572,0.105522831,0.088172981,0.092929894,0.109806565,0.08337928,0.094096872,0.111914712,0.081110066,0.094864976,0.111649302,0.081827467,0.094937376,0.109212568,0.085228601,0.094435424,0.105174579,0.090255543,0.093805941,0.100466074,0.095364862,0.093531738,0.096279532,0.098990007,0.093836881,0.093811596,0.100051672,0.094562853,0.093854872,0.098341348,0.095317036,0.096366455,0.094591487,0.095843979,0.100277304,0.090130307,0.096365617,0.103803254,0.086262905,0.09755681,0.10522826,0.083752956,0.100066358,0.103745695,0.082713478,0.103885435,0.099850084,0.082908992,0.108034548,0.095025584,0.084184022,0.110895328,0.090911476,0.086603367,0.111109417,0.088529112,0.090074899,0.108468828,0.088172145,0.093730288,0.104055716,0.090023484,0.095740587,0.099364658,0.094875468,0.094042182,0.094958052,0.104175812,0.087711543,0.089628989,0.119180838,0.07812692,0.080704861,0.13971598,0.069111842,0.065391722,0.163324993,0.065820162,0.04249877,0.185376595,0.07274843,0.01371361,0.200245409,0.091654102,-0.016210775,0.203235347,0.120214648,-0.040598441,0.192609713,0.152081249,-0.053110432,0.170890006,0.178655135,-0.050369412,0.144530874,0.192262345,-0.033673377,0.121586316,0.189442775,-0.008615807,0.108189428,0.172549125,0.017468706,0.105759462,0.148554651,0.038836862,0.110704225,0.125653515,0.053457135,0.11683954,0.109616982,0.062805644,0.11898768,0.101888264,0.069800285,0.115542568,0.100204645,0.076473782,0.108554973,0.100919113,0.082981097,0.101660349,0.101239402,0.088273861,0.097632915,0.10016039,0.091363005,0.097145284,0.098232628,0.092033149,0.098914202,0.096853006,0.090907557,0.100611335,0.097346419,0.089251487,0.100112644,0.09999735,0.088545893,0.096752836,0.103570828,0.08973257,0.091976265,0.105850795,0.092434625,0.088778358,0.105071813,0.094828038,0.089928545,0.101325506,0.094649582,0.095890017,0.096774185,0.0909989,0.103924649,0.094205183,0.085659902,0.109409319,0.094828956,0.082549339,0.10881187,0.097163662,0.085187755,0.102192991,0.098166099,0.093947269,0.09319489,0.095783901,0.105364931,0.086472277,0.090735583,0.114255015,0.084621046,0.085949209,0.117064964,0.086990701,0.084125655,0.113879375,0.091095936,0.085583182,0.107597142,0.095058402,0.088331633,0.101275108,0.098704225,0.09018416,0.096175819,0.102534641,0.09071214,0.092054325,0.106110514
copeta_15cm_sensor_50cm_6_9 14_filtered.csv,0.082096457,0.088797023,0.075369061,0.070590563,0.091033423,0.085588087,0.062938125,0.085576484,0.094759295,0.064080361,0.077142377,0.096150412,0.072074645,0.073008059,0.089092817,0.079728779,0.076670365,0.079609415,0.080833671,0.084856903,0.075167563,0.075366762,0.09060925,0.078309614,0.069077875,0.089482101,0.084822854,0.068145661,0.083201427,0.087785919,0.073899519,0.077748785,0.083610364,0.082100529,0.077964396,0.074819874,0.086903546,0.08358566,0.067577471,0.085648324,0.089933792,0.066550855,0.080409947,0.092192078,0.071599854,0.075493034,0.089278018,0.078708783,0.073614176,0.084085492,0.083733262,0.074260094,0.080366419,0.085397106,0.075266059,0.079402205,0.085220945,0.075580636,0.079389647,0.085159525,0.076352186,0.077647952,0.085641676,0.07947161,0.073174462,0.085772504,0.085363566,0.0671662,0.08494581,0.092389763,0.061451022,0.083819863,0.098367901,0.056694389,0.083638971,0.102609675,0.052041633,0.084779223,0.106555423,0.046167836,0.086168807,0.112593884,0.038365102,0.086174098,0.122412787,0.028681421,0.083812416,0.13628326,0.017671877,0.078974282,0.153105644,0.006690891,0.071965859,0.170332769,-0.001753947,0.063528512,0.18404166,-0.004785404,0.055272659,0.190187975,-0.000879498,0.049312929,0.186814489,0.009181957,0.046779558,0.175369621,0.023217332,0.046612305,0.159680032,0.039469436,0.046225338,0.143262729,0.057392068,0.043886669,0.12728971,0.076536803,0.040773986,0.110977644,0.094763904,0.040607732,0.093897778,0.107956709,0.046828004,0.077831413,0.112088487,0.059626365,0.066269832,0.106086387,0.075363975,0.062016913,0.093005516,0.08875868,0.065095391,0.078509301,0.095947674,0.072656353,0.067901164,0.096201511,0.080700751,0.06382804,0.091542285,0.08611423,0.06583832,0.085110366,0.087731026,0.071477294,0.07955834,0.086197888,0.077864576,0.076190093,0.083159072,0.082903746,0.074895366,0.080351103,0.085798565,0.074631737,0.078941132,0.086913154,0.074163247,0.079237476,0.087183807,0.072756048,0.080791744,0.087397903,0.07054891,0.082790834,0.087688321,0.068453937,0.084528421,0.087477663,0.067653155,0.085722095,0.085894116,0.068950437,0.086510202,0.082433214,0.072335652,0.087149203,0.077460554,0.076992356,0.087662814,0.072228048,0.08167299,0.087732024,0.06840977,0.085162935,0.086883005,0.067451846,0.086633455,0.084781397,0.070029468,0.08586404,0.081445032,0.075740806,0.083316583,0.077336976,0.083138372,0.079973614,0.073291862,0.090171126,0.077002249
copeta_15cm_sensor_50cm_6_9 13_filtered.csv,0.032597873,0.034182901,0.025756675,0.03358701,0.034375056,0.025400005,0.033332792,0.034436607,0.026383777,0.03228352,0.033773181,0.028528547,0.031229976,0.032069988,0.03116602,0.030938675,0.029595736,0.033282135,0.031694999,0.027366029,0.033901913,0.032962882,0.026816278,0.032666365,0.033533781,0.028941012,0.030213007,0.032272456,0.033404292,0.027979114,0.029023489,0.038323295,0.027494392,0.02496273,0.040978597,0.029679532,0.022074728,0.039004692,0.034553306,0.022178852,0.031420067,0.041222787,0.026159982,0.019254222,0.047888026,0.033561435,0.005774852,0.052118057,0.042291177,-0.004060523,0.05196663,0.048651371,-0.005528549,0.047636602,0.04852024,0.002974306,0.042147905,0.039858161,0.01807043,0.039715548,0.024996172,0.03258048,0.042612217,0.01047944,0.039510138,0.049046249,0.003921392,0.036113611,0.053892927,0.009907203,0.025215289,0.051653134,0.027744615,0.013248581,0.039399142,0.052269928,0.006726581,0.017879117,0.076744624,0.009457914,-0.009442738,0.095764839,0.021746583,-0.038209326,0.106684119,0.041157346,-0.064589375,0.109592112,0.063824753,-0.08609667,0.106568659,0.085960499,-0.102019857,0.100315823,0.105356501,-0.112924528,0.092300696,0.121742281,-0.118900368,0.081842039,0.135136607,-0.118079034,0.067568963,0.143655095,-0.107527727,0.050202362,0.143463708,-0.086255395,0.033745,0.131533847,-0.057559761,0.023520566,0.108881574,-0.028300415,0.022526812,0.081291375,-0.005383491,0.029163975,0.056635206,0.007881062,0.038204287,0.040732545,0.01291255,0.044138074,0.034734811,0.014017619,0.044272346,0.035579464,0.015333815,0.039509935,0.038658318,0.01880431,0.032795384,0.04051853,0.024131096,0.026876198,0.039970937,0.029984027,0.023053436,0.037563449,0.0351283,0.021330041,0.034477888,0.038796203,0.021183197,0.031774728,0.040593221,0.02209887,0.030108788,0.04044021,0.023710806,0.029655163,0.038578967,0.025796635,0.030205255,0.035449447,0.028193226,0.031467135,0.031540469,0.030585641,0.033312304,0.027443537,0.032372785,0.035649831,0.024008411,0.032905678,0.038042365,0.022231845,0.032011795,0.03957349,0.022772222,0.030299099,0.039267621,0.025464377,0.028870415,0.036780691,0.029267572,0.028635753,0.032824817,0.032688771,0.0297197,0.029039528,0.034422959,0.031297447,0.027345795,0.033964503,0.03193134,0.02897265,0.031966155,0.030365155,0.033542621,0.030005219,0.026523418,0.038906911,0.029576424,0.022005415,0.042271857,0.030908535,0.019291467,0.042050188,0.032797735
copeta_15cm_sensor_50cm_6_9 13_1_filtered.csv,0.095381334,0.091932,0.09479948,0.095960772,0.088272072,0.097817412,0.095694906,0.086685638,0.099389448,0.094766502,0.087379948,0.099056967,0.093761613,0.08995481,0.096729761,0.093221957,0.093731889,0.092893301,0.093176815,0.097932324,0.088735719,0.093100875,0.101641041,0.085869534,0.092400907,0.103832788,0.085583016,0.09101453,0.103717171,0.088055404,0.089558999,0.101248302,0.092161949,0.088893483,0.097324144,0.096081752,0.089507469,0.093400541,0.098278211,0.091234372,0.090766375,0.098198769,0.093412641,0.089977322,0.096354535,0.09528045,0.090755291,0.093862296,0.096325971,0.092336841,0.091790767,0.096404101,0.094003767,0.090709092,0.095609506,0.095436607,0.090649916,0.094085961,0.09667776,0.091376471,0.091989215,0.09779732,0.092641074,0.089652493,0.098581927,0.094205514,0.087776475,0.09852161,0.095673995,0.087409983,0.097079222,0.096371099,0.08970123,0.09399498,0.095359069,0.095623635,0.089492849,0.091464792,0.105769619,0.084497848,0.083291647,0.120034052,0.080879275,0.069505666,0.137082101,0.081361459,0.049651213,0.153959494,0.088677223,0.025196887,0.166474505,0.10408677,-6.59E-06,0.170585744,0.126085718,-0.020517816,0.164235938,0.150258211,-0.031214728,0.148593656,0.170616162,-0.029406728,0.127903097,0.181871524,-0.016030046,0.10790859,0.181531562,0.0047104,0.093596766,0.170801404,0.027070518,0.087339702,0.153901564,0.046007226,0.088289232,0.136197368,0.058868059,0.09320871,0.122083009,0.065834763,0.098205603,0.11358132,0.069112065,0.100458103,0.110158231,0.071442122,0.099159056,0.109622296,0.074743424,0.09537692,0.109503383,0.079490277,0.091091401,0.108167636,0.084982825,0.088045978,0.105189311,0.090137231,0.087050362,0.101027097,0.094191144,0.087956323,0.096451484,0.096938924,0.090075821,0.092150842,0.098525753,0.092654821,0.088649839,0.099096654,0.095140303,0.086394037,0.098613987,0.097211829,0.08575695,0.096958383,0.098722764,0.086869966,0.094178943,0.099675957,0.089405321,0.090674226,0.100230108,0.092522826,0.087169835,0.100667144,0.095093114,0.084494724,0.101277446,0.096135936,0.083270311,0.102191031,0.095271367,0.083669344,0.103236541,0.092949146,0.085375576,0.103915693,0.090295322,0.087783308,0.103558079,0.088584081,0.090330326,0.101654281,0.08855671,0.09275507,0.098258463,0.089943273,0.095087833,0.094258475,0.091509772,0.09734292,0.091275161,0.091727763,0.099126726,0.091043436,0.089787117,0.099550395,0.094413475,0.086332657,0.097717739
copeta_15cm_sensor_50cm_6_9 12_filtered.csv,0.066595798,0.059013536,0.065947225,0.069808732,0.0569638,0.065291785,0.071813042,0.055710166,0.065201679,0.072398814,0.055343068,0.065544856,0.071749912,0.055854812,0.065996127,0.070332705,0.057077353,0.066172453,0.068795238,0.0587265,0.065692197,0.067776218,0.060561843,0.064269698,0.06763426,0.062490381,0.061891254,0.068285221,0.064491135,0.058931937,0.069297594,0.066458942,0.056057784,0.070166911,0.068153582,0.053945606,0.070556088,0.069309445,0.053005754,0.070368596,0.069797458,0.05326654,0.06968399,0.06969924,0.054437937,0.068671643,0.069247967,0.05605365,0.067560925,0.068710629,0.057586588,0.0666357,0.068316208,0.058534983,0.066168494,0.068245271,0.058545099,0.066284498,0.068614492,0.057576584,0.066844441,0.069418042,0.056021958,0.067435933,0.070450866,0.054698016,0.067513129,0.071225872,0.054674,0.06671232,0.07090855,0.056895754,0.065281421,0.068402017,0.061644571,0.064362016,0.06271128,0.068084908,0.065820657,0.053480182,0.074248686,0.07160222,0.041373887,0.077566948,0.082929391,0.02807733,0.075682832,0.099704475,0.015997938,0.067200434,0.120205842,0.007838401,0.052268871,0.141095188,0.005976271,0.032966646,0.157961979,0.011576615,0.013193789,0.166595613,0.023772502,-0.002284294,0.164644428,0.039562615,-0.009529692,0.152781994,0.054806024,-0.007099638,0.134557697,0.065963,0.003301121,0.114846863,0.071604043,0.017678813,0.097748277,0.072747567,0.031659309,0.085163093,0.07186698,0.042305591,0.07675981,0.071305992,0.048874455,0.071053952,0.072113671,0.052340745,0.066714763,0.073874793,0.054255545,0.063280273,0.07541166,0.055747268,0.061018123,0.075736855,0.057179335,0.0602863,0.074619312,0.058418152,0.061003088,0.072535879,0.059272124,0.062593826,0.070252902,0.059708518,0.064312983,0.068431104,0.059810187,0.065590787,0.067434605,0.059681067,0.066184861,0.067288845,0.059434977,0.066157032,0.067716019,0.059217707,0.065772383,0.06825881,0.05917279,0.065367935,0.068493808,0.059356419,0.065208778,0.068244706,0.059686157,0.065373153,0.06766239,0.059989074,0.065720295,0.067111259,0.060135514,0.065958797,0.066924564,0.060174726,0.065788331,0.067175468,0.060361633,0.065055611,0.067620661,0.061018949,0.063829987,0.067881695,0.062322257,0.062319194,0.067742071,0.064190162,0.060679536,0.067317409,0.066357929,0.058897335,0.066971045,0.068538118,0.056844878,0.06705999,0.070546924,0.054454616,0.067675854,0.072343854,0.051897597,0.06851404,0.073971535
copeta_15cm_sensor_50cm_6_9 11_filtered.csv,0.09682015,0.09459071,0.088100098,0.096426627,0.098038372,0.085707825,0.095019673,0.101306174,0.08464971,0.092798826,0.103690647,0.085219129,0.090210952,0.104649537,0.087320288,0.087826168,0.103964678,0.090480037,0.08616418,0.101830489,0.09398422,0.085524011,0.09878969,0.097117985,0.085909207,0.095504103,0.099399326,0.087113961,0.092482546,0.100649656,0.088901258,0.089981879,0.100879237,0.091070594,0.088146208,0.100179657,0.093329044,0.087164483,0.098788054,0.095164422,0.087195515,0.097211116,0.095989511,0.088111178,0.096132639,0.095540544,0.089388798,0.096025465,0.09416989,0.090383233,0.09676096,0.092689639,0.090803146,0.097609228,0.091827591,0.090968744,0.097703847,0.091715991,0.091600467,0.096650914,0.091809555,0.0932659,0.094852445,0.091295918,0.095858227,0.093343554,0.08971652,0.098414673,0.093281117,0.087442928,0.099332447,0.095349513,0.085815714,0.096901543,0.099275666,0.086862933,0.0900474,0.103650978,0.092572258,0.079011259,0.106291251,0.103948614,0.065523864,0.105099954,0.120384111,0.052260134,0.098981263,0.139738818,0.041873152,0.088286409,0.159049195,0.036153537,0.0746195,0.175433962,0.03568128,0.060212974,0.186775316,0.039974279,0.047249957,0.19199961,0.047869808,0.037422937,0.191046533,0.057854861,0.031780766,0.184718268,0.068262278,0.030724032,0.174501213,0.07745756,0.034006607,0.162306892,0.084149907,0.040742308,0.15006034,0.08777354,0.049537604,0.139203705,0.088694775,0.05883084,0.130341197,0.088029861,0.067346541,0.123234917,0.087101157,0.074453461,0.117173934,0.086795745,0.080228348,0.111543071,0.087181999,0.085144349,0.106290177,0.087652152,0.08952425,0.101974005,0.087558178,0.093136056,0.099283014,0.086908029,0.095304803,0.098328809,0.086535162,0.095525118,0.098308419,0.087521601,0.094066917,0.097907317,0.090309531,0.092010831,0.096181045,0.094231008,0.090646423,0.093226862,0.097824247,0.090706983,0.090137352,0.099679743,0.092009743,0.088286009,0.099213527,0.093721607,0.088452821,0.096890502,0.095003928,0.090359213,0.093846979,0.095555181,0.09286146,0.091236372,0.095704629,0.094629433,0.089710945,0.096048304,0.094879648,0.089290171,0.096924498,0.093735347,0.089583696,0.098125376,0.092053517,0.09011492,0.099035813,0.090912554,0.090518254,0.099037181,0.091100488,0.090599273,0.097847643,0.092812068,0.090377079,0.09562014,0.095572305,0.090126361,0.092864726,0.098373886,0.090286386,0.090304821,0.100063755,0.091188079,0.088654325
copeta_15cm_sensor_50cm_6_8 16_filtered.csv,0.065401755,0.109708336,0.064047498,0.055185245,0.105391172,0.076470822,0.053219654,0.093394215,0.085545858,0.060228029,0.079560037,0.087655584,0.072094699,0.069837119,0.083533645,0.082641218,0.067028728,0.077228247,0.087336734,0.069800624,0.073208855,0.085600361,0.074222171,0.073606159,0.080509665,0.076587867,0.07723391,0.076368429,0.075685558,0.080829256,0.07580111,0.073157914,0.081554101,0.078254424,0.071891511,0.078994702,0.080797326,0.073704058,0.075289168,0.08051069,0.078014283,0.073389006,0.076700398,0.082357175,0.074798543,0.071418573,0.084217052,0.078420412,0.068066401,0.082804712,0.081246352,0.069099147,0.07960929,0.080410937,0.074292537,0.077385084,0.075334132,0.080683309,0.078156853,0.0685338,0.084384685,0.081547113,0.064294926,0.083239285,0.084810526,0.065747919,0.078404118,0.084930515,0.072312398,0.073459802,0.081451692,0.079553761,0.071438758,0.077880441,0.081915985,0.07181004,0.080315105,0.076734273,0.069657267,0.093856274,0.066888107,0.057901291,0.118958888,0.060196481,0.03141265,0.150043611,0.065668257,-0.009343562,0.177350966,0.08857773,-0.057250174,0.191215361,0.127044235,-0.100858771,0.186573883,0.172122511,-0.129033504,0.165236884,0.211492288,-0.135431049,0.134705649,0.234680004,-0.120501021,0.10446098,0.237012114,-0.090385311,0.081959992,0.22060371,-0.053811975,0.0702962,0.192468868,-0.01876494,0.068217307,0.161156871,0.009679339,0.071868805,0.13361259,0.029930016,0.077027876,0.113344344,0.043191114,0.080848581,0.100231844,0.052010117,0.082599847,0.091812097,0.058680252,0.083213335,0.085366856,0.064249245,0.083935829,0.079665492,0.068637658,0.084956746,0.075322998,0.071632308,0.08503634,0.073623265,0.073818521,0.0825252,0.074805325,0.076532339,0.077041658,0.077276422,0.080799305,0.070367452,0.078460281,0.086263941,0.065630656,0.076554286,0.091220073,0.065299563,0.071713671,0.093811631,0.069542637,0.065804017,0.093380562,0.076166248,0.061097194,0.090832218,0.082096782,0.0590355,0.087700292,0.085223631,0.060026515,0.084735682,0.085128284,0.064165167,0.081472953,0.082298186,0.071646732,0.077360699,0.077070688,0.081961025,0.073215079,0.069783078,0.092694024,0.071158348,0.061936043,0.09973649,0.072803196,0.056661653,0.099460215,0.077431437,0.057353782,0.091322613,0.082022571,0.065259444,0.078723431,0.083268241,0.078008136,0.067274781,0.07998427,0.090443819,0.061605025,0.074041538,0.097419569,0.062840941,0.069063581,0.096752937,0.068469063
copeta_15cm_sensor_50cm_6_8 15_filtered.csv,0.066140041,0.058508073,0.059954479,0.080299744,0.06343506,0.04209229,0.088373265,0.074127553,0.02850112,0.08724158,0.085366015,0.02517646,0.078637235,0.090658293,0.033531213,0.06817112,0.086133003,0.049546475,0.061912168,0.072853046,0.066195533,0.062943149,0.055998307,0.077294756,0.070181929,0.041834507,0.080155435,0.079710894,0.034762505,0.0758994,0.087101715,0.035933806,0.068159974,0.08929302,0.043366211,0.061298903,0.085611335,0.052994748,0.058659499,0.077899071,0.060426175,0.061251446,0.069505747,0.062934621,0.067613759,0.063395835,0.060535599,0.07508601,0.060659575,0.055351883,0.081420258,0.060578323,0.049998424,0.085393246,0.061861557,0.046453655,0.086359447,0.063636933,0.045946017,0.083839365,0.065433342,0.049130502,0.077885972,0.066716788,0.055787248,0.069761369,0.066908981,0.064249762,0.061931878,0.066021467,0.071405936,0.057059114,0.065219255,0.073692842,0.056610484,0.066674917,0.068646055,0.059980024,0.07270055,0.056143126,0.064609457,0.084647916,0.038670006,0.067023235,0.10217782,0.020461844,0.064243828,0.123266552,0.005961061,0.054916169,0.144856164,-0.001637379,0.039747058,0.163706563,-0.00119052,0.021276286,0.17711343,0.006330551,0.003112944,0.183453931,0.018420212,-0.011234772,0.182473263,0.032120772,-0.019501631,0.17507631,0.045143293,-0.021116561,0.162722027,0.05633333,-0.016789332,0.146956645,0.0652932,-0.007799007,0.129399035,0.071750881,0.004408179,0.111870362,0.075348079,0.018290244,0.096220297,0.075899663,0.032282205,0.083860931,0.073709713,0.045002863,0.075371229,0.069646235,0.055476965,0.070394891,0.064958974,0.063306339,0.067813088,0.060873509,0.068793603,0.06619861,0.058023217,0.072835994,0.064571511,0.056069624,0.076326547,0.063100461,0.054025983,0.079282184,0.063057597,0.051278366,0.080480494,0.065769065,0.048534821,0.07815874,0.071187121,0.047847135,0.0714892,0.077130075,0.051458912,0.061886291,0.079957288,0.060029548,0.05307453,0.076627706,0.071418594,0.04942332,0.067006573,0.0811804,0.053273108,0.054714094,0.084876924,0.063034941,0.045518996,0.08084326,0.073669448,0.044030596,0.07141138,0.079554701,0.050868765,0.061556237,0.077912832,0.062315633,0.055819102,0.070418445,0.072697388,0.055668155,0.061909,0.077776253,0.059056144,0.05723809,0.076874979,0.062211942,0.05847408,0.072616549,0.06221549,0.064080908,0.068830306,0.058707813,0.07024691,0.068097592,0.053888057,0.073345586,0.070355726,0.050943212,0.072058926
copeta_15cm_sensor_50cm_6_8 14_filtered.csv,0.061049178,0.06637906,0.07357102,0.063540352,0.063923663,0.072477709,0.066602313,0.063366626,0.069876724,0.068205923,0.065356262,0.067242695,0.067476485,0.068549275,0.065828758,0.065710922,0.070830049,0.065157375,0.065444481,0.071476951,0.063168082,0.067968905,0.072065272,0.058426898,0.071620729,0.074769109,0.052413762,0.072930134,0.079475924,0.049227048,0.069953613,0.082798598,0.052378716,0.064634779,0.080462131,0.061396318,0.061708793,0.071203335,0.071420202,0.064868819,0.05868839,0.07640344,0.073462359,0.049575163,0.073404472,0.082542128,0.049105097,0.064616199,0.086259879,0.057568392,0.055696225,0.081961257,0.070200247,0.051811616,0.071933076,0.080435351,0.054377379,0.061641645,0.08403917,0.06073526,0.055959896,0.081187615,0.066629654,0.056279076,0.075390118,0.069217183,0.06039582,0.070686625,0.068329565,0.064609203,0.069500746,0.065639465,0.065938703,0.072281833,0.063129166,0.062978105,0.078301692,0.062268524,0.055484714,0.086421749,0.064139998,0.043679377,0.095283582,0.06984365,0.028021521,0.103152941,0.080468093,0.009552018,0.107934785,0.096438065,-0.009641872,0.107670874,0.116646157,-0.026418471,0.101401567,0.13805694,-0.037329075,0.089914795,0.156285684,-0.039895344,0.07582753,0.167084953,-0.033733573,0.062751393,0.168044999,-0.020807414,0.053855182,0.159576257,-0.004581595,0.050572602,0.14462189,0.011464906,0.052156788,0.127282008,0.025151506,0.056303334,0.111082179,0.036067339,0.060510405,0.097754853,0.045009595,0.063425306,0.087133387,0.052833277,0.065354109,0.078095113,0.059571858,0.067625637,0.069819344,0.064446424,0.071295538,0.062513374,0.066663828,0.076092654,0.057240761,0.066338877,0.080281251,0.055105586,0.06485314,0.081503724,0.056365737,0.064385074,0.078137885,0.05998451,0.066813402,0.070478506,0.063923847,0.072491109,0.06102452,0.066197914,0.079630212,0.053420312,0.066128121,0.08499249,0.050482673,0.064788562,0.085733707,0.052650908,0.064153461,0.081172697,0.057975698,0.065599875,0.073199639,0.063538878,0.068948462,0.065089407,0.067172568,0.072713498,0.059644106,0.068310389,0.075239431,0.057945328,0.067636405,0.075763358,0.059370476,0.066137472,0.074641394,0.062518041,0.064441007,0.072759106,0.066149922,0.062824958,0.070768989,0.069530242,0.061611507,0.068770185,0.07219514,0.06141753,0.066559671,0.07359084,0.062975232,0.064164837,0.07299027,0.066588524,0.062225347,0.069864761,0.071567976,0.061843568,0.064546618,0.076157435,0.063825026
