Timestamps,Voltages
0 ,1982
12297829382473031 ,1984
24595658764946062 ,1983
36893488147419093 ,1974
49191317529892124 ,1969
61489146912365155 ,1971
73786976294838186 ,1985
86084805677311217 ,1994
98382635059784248 ,1996
110680464442257279 ,1982
122978293824730310 ,1969
135276123207203341 ,1964
147573952589676372 ,1974
159871781972149403 ,1986
172169611354622434 ,1991
184467440737095465 ,1977
196765270119568496 ,1964
209063099502041527 ,1961
221360928884514558 ,1971
233658758266987589 ,1968
245956587649460620 ,1967
258254417031933651 ,1973
270552246414406682 ,1981
282850075796879713 ,1994
295147905179352744 ,2001
307445734561825775 ,2003
319743563944298806 ,2011
332041393326771837 ,2008
344339222709244868 ,1982
356637052091717899 ,1964
368934881474190930 ,1957
381232710856663961 ,1954
393530540239136992 ,1960
405828369621610023 ,1974
418126199004083054 ,1987
430424028386556085 ,1994
442721857769029116 ,2002
455019687151502147 ,2005
467317516533975178 ,1994
479615345916448209 ,1975
491913175298921240 ,1956
504211004681394271 ,1971
516508834063867302 ,1982
528806663446340333 ,1989
541104492828813364 ,1989
553402322211286395 ,1977
565700151593759426 ,1971
577997980976232457 ,1979
590295810358705488 ,1986
602593639741178519 ,1993
614891469123651550 ,1991
627189298506124581 ,1992
639487127888597612 ,1985
651784957271070643 ,1972
664082786653543674 ,1965
676380616036016705 ,1959
688678445418489736 ,1961
700976274800962767 ,1970
713274104183435798 ,1982
725571933565908829 ,1989
737869762948381860 ,1998
750167592330854891 ,2003
762465421713327922 ,1993
774763251095800953 ,1989
787061080478273984 ,1988
799358909860747015 ,1983
811656739243220046 ,1969
823954568625693077 ,1963
836252398008166108 ,1961
848550227390639139 ,1967
860848056773112170 ,1976
873145886155585201 ,1987
885443715538058232 ,1989
897741544920531263 ,1990
910039374303004294 ,1987
922337203685477325 ,1975
934635033067950356 ,1972
946932862450423387 ,1982
959230691832896418 ,1985
971528521215369449 ,1993
983826350597842480 ,1999
996124179980315511 ,2009
1008422009362788542 ,1995
1020719838745261573 ,1984
1033017668127734604 ,1968
1045315497510207635 ,1968
1057613326892680666 ,1966
1069911156275153697 ,1965
1082208985657626728 ,1972
1094506815040099759 ,1974
1106804644422572790 ,1984
1119102473805045821 ,1991
1131400303187518852 ,1990
1143698132569991883 ,1985
1155995961952464914 ,1986
1168293791334937945 ,1989
1180591620717410976 ,1977
1192889450099884007 ,1976
1205187279482357038 ,1986
1217485108864830069 ,1990
1229782938247303100 ,1984
1242080767629776131 ,1981
1254378597012249162 ,1977
1266676426394722193 ,1977
1278974255777195224 ,1973
1291272085159668255 ,1976
1303569914542141286 ,1985
1315867743924614317 ,1997
1328165573307087348 ,2009
1340463402689560379 ,1996
1352761232072033410 ,1984
1365059061454506441 ,1972
1377356890836979472 ,1959
1389654720219452503 ,1950
1401952549601925534 ,1956
1414250378984398565 ,1967
1426548208366871596 ,1987
1438846037749344627 ,2023
1451143867131817658 ,2036
1463441696514290689 ,2027
1475739525896763720 ,1999
1488037355279236751 ,1964
1500335184661709782 ,1934
1512633014044182813 ,1928
1524930843426655844 ,1939
1537228672809128875 ,1965
1549526502191601906 ,1992
1561824331574074937 ,2015
1574122160956547968 ,2022
1586419990339020999 ,2022
1598717819721494030 ,2003
1611015649103967061 ,1992
1623313478486440092 ,1967
1635611307868913123 ,1949
1647909137251386154 ,1945
1660206966633859185 ,1960
1672504796016332216 ,1979
1684802625398805247 ,1993
1697100454781278278 ,2001
1709398284163751309 ,1997
1721696113546224340 ,2011
1733993942928697371 ,1998
1746291772311170402 ,1982
1758589601693643433 ,1971
1770887431076116464 ,1964
1783185260458589495 ,1967
1795483089841062526 ,1971
1807780919223535557 ,1986
1820078748606008588 ,1996
1832376577988481619 ,2000
1844674407370954650 ,1995
1856972236753427681 ,1985
1869270066135900712 ,1974
1881567895518373743 ,1969
1893865724900846774 ,1966
1906163554283319805 ,1966
1918461383665792836 ,1976
1930759213048265867 ,1982
1943057042430738898 ,1993
1955354871813211929 ,1999
1967652701195684960 ,2007
1979950530578157991 ,1999
1992248359960631022 ,1991
2004546189343104053 ,1986
2016844018725577084 ,1975
2029141848108050115 ,1963
2041439677490523146 ,1961
2053737506872996177 ,1958
2066035336255469208 ,1965
2078333165637942239 ,1988
2090630995020415270 ,2008
2102928824402888301 ,2009
2115226653785361332 ,2007
2127524483167834363 ,1988
2139822312550307394 ,1978
2152120141932780425 ,1973
2164417971315253456 ,1982
2176715800697726487 ,1980
2189013630080199518 ,1977
2201311459462672549 ,1971
2213609288845145580 ,1972
2225907118227618611 ,1977
2238204947610091642 ,1992
2250502776992564673 ,1994
2262800606375037704 ,1995
2275098435757510735 ,1994
2287396265139983766 ,1992
2299694094522456797 ,1982
2311991923904929828 ,1975
2324289753287402859 ,1973
2336587582669875890 ,1965
2348885412052348921 ,1962
2361183241434821952 ,1967
2373481070817294983 ,1993
2385778900199768014 ,2018
2398076729582241045 ,2024
2410374558964714076 ,2014
2422672388347187107 ,1995
