Timestamps,Voltages
0,1968
2,1976
4,1986
6,793
8,68
10,67
12,67
14,67
16,1496
18,4095
20,4095
22,4095
24,4095
26,4095
28,4095
30,4095
32,1886
34,67
36,67
38,69
40,88
42,3207
44,4095
46,4095
48,4095
50,4095
52,4095
54,1067
56,67
58,67
60,2830
62,4095
64,4095
66,2470
68,69
70,68
72,68
74,1472
76,4095
78,4095
80,4095
82,4095
84,4095
86,2439
88,68
90,66
92,68
94,1514
96,4095
98,4095
100,4095
102,4095
104,4095
106,2389
108,65
110,69
112,66
114,1541
116,4095
118,4095
120,4095
122,4095
124,4095
126,2311
128,69
130,67
132,64
134,1616
136,4095
138,4095
140,4095
142,4095
144,4095
146,2217
148,67
150,65
152,68
154,1580
156,4095
158,4095
160,4095
162,4095
164,4095
166,2201
168,66
170,64
172,2863
174,4095
176,4095
178,4095
180,2249
182,66
184,68
186,970
188,4095
190,4095
192,4095
194,4095
196,4077
198,975
200,66
202,68
204,161
206,3332
208,4095
210,4095
212,4095
214,4095
216,3227
218,88
220,67
222,67
224,1014
226,4085
228,4095
230,4095
232,4095
234,4095
236,2435
238,67
240,67
242,64
244,1652
246,4095
248,4095
250,4095
252,4095
254,4095
256,1691
258,66
260,65
262,64
264,2670
266,4095
268,4095
270,4095
272,4095
274,3449
276,218
278,65
280,68
282,1208
284,4095
286,4095
288,4095
290,4095
292,4095
294,1449
296,66
298,66
300,74
302,3160
304,4095
306,4095
308,4095
310,4095
312,2755
314,66
316,67
318,64
320,1714
322,4095
324,4095
326,4095
328,4095
330,4095
332,1007
334,67
336,65
338,208
340,3312
342,4095
344,4095
346,4095
348,4095
350,2447
352,67
354,66
356,60
358,1873
360,4095
362,4095
364,4095
366,4095
368,3807
370,613
372,66
374,67
376,566
378,3759
380,4095
382,4095
384,4095
386,4095
388,1814
390,66
392,64
394,64
396,2512
398,4095
400,4095
402,4095
404,4095
406,2985
408,68
410,63
412,66
414,1308
416,4095
418,4095
420,4095
422,4095
424,4050
426,858
428,66
430,67
432,209
434,3396
436,4095
438,4095
440,4095
442,4095
444,1852
446,65
448,67
450,64
452,2384
454,4095
456,4095
458,4095
460,4095
462,2719
464,66
466,67
468,68
470,1584
472,4095
474,4095
476,4095
478,4095
480,3367
482,139
484,66
486,68
488,1040
490,4095
492,4095
494,4095
496,4095
498,3695
500,421
502,67
504,68
506,912
508,4018
510,4095
512,4095
514,4095
516,3574
518,303
520,65
522,67
524,1186
526,4095
528,4095
530,4095
532,4095
534,2677
536,66
538,66
540,64
542,2483
544,4095
546,4095
548,4095
550,4095
552,3127
554,71
556,65
558,66
560,1722
562,4095
564,4095
566,4095
568,4095
570,4063
572,854
574,66
576,69
578,690
580,3862
582,4095
584,4095
586,4095
588,4095
590,1727
592,66
594,67
596,64
598,2894
600,4095
602,4095
604,4095
606,4095
608,2655
610,66
612,67
614,64
616,1812
618,4095
620,4095
622,4095
624,4095
626,3583
628,379
630,67
632,66
634,586
636,3819
638,4095
640,4095
642,4095
644,4095
646,1401
648,68
650,66
652,64
654,2409
656,4095
658,4095
660,4095
662,4095
664,2650
666,67
668,66
670,67
672,870
674,4056
676,4095
678,4095
680,4095
682,3939
684,613
686,67
688,68
690,64
692,2420
694,4095
696,4095
698,4095
700,4095
702,1786
704,67
706,69
708,67
710,68
712,1984
714,4095
716,4095
718,4095
720,3677
722,451
724,67
726,66
728,68
730,300
732,3247
734,4095
736,4095
738,4089
740,1086
742,69
744,67
746,65
748,70
750,1380
752,4095
754,4095
756,4095
758,1179
760,68
762,67
764,62
766,69
768,244
770,2454
772,4095
774,3199
776,127
778,68
780,66
782,66
784,69
786,92
788,1364
790,3575
792,3691
