Timestamps,Voltages
0 ,1993
12297829382473031 ,1995
24595658764946062 ,1995
36893488147419093 ,1226
49191317529892124 ,67
61489146912365155 ,68
73786976294838186 ,68
86084805677311217 ,67
98382635059784248 ,1126
110680464442257279 ,4095
122978293824730310 ,4095
135276123207203341 ,4095
147573952589676372 ,4095
159871781972149403 ,4095
172169611354622434 ,4095
184467440737095465 ,4095
196765270119568496 ,67
209063099502041527 ,67
221360928884514558 ,1364
233658758266987589 ,4095
245956587649460620 ,4095
258254417031933651 ,4095
270552246414406682 ,4095
282850075796879713 ,4095
295147905179352744 ,2999
307445734561825775 ,71
319743563944298806 ,70
332041393326771837 ,66
344339222709244868 ,1116
356637052091717899 ,4095
368934881474190930 ,4095
381232710856663961 ,4095
393530540239136992 ,4095
405828369621610023 ,4095
418126199004083054 ,2933
430424028386556085 ,70
442721857769029116 ,66
455019687151502147 ,69
467317516533975178 ,1004
479615345916448209 ,4079
491913175298921240 ,4095
504211004681394271 ,4095
516508834063867302 ,4095
528806663446340333 ,4095
541104492828813364 ,2955
553402322211286395 ,68
565700151593759426 ,69
577997980976232457 ,69
590295810358705488 ,1068
602593639741178519 ,4095
614891469123651550 ,4095
627189298506124581 ,4095
639487127888597612 ,4095
651784957271070643 ,4095
664082786653543674 ,2810
676380616036016705 ,70
688678445418489736 ,66
700976274800962767 ,66
713274104183435798 ,1100
725571933565908829 ,4095
737869762948381860 ,4095
750167592330854891 ,4095
762465421713327922 ,4095
774763251095800953 ,4095
787061080478273984 ,2786
799358909860747015 ,68
811656739243220046 ,68
823954568625693077 ,67
836252398008166108 ,1124
848550227390639139 ,4095
860848056773112170 ,4095
873145886155585201 ,4095
885443715538058232 ,4095
897741544920531263 ,4095
910039374303004294 ,2717
922337203685477325 ,67
934635033067950356 ,68
946932862450423387 ,66
959230691832896418 ,1146
971528521215369449 ,4095
983826350597842480 ,4095
996124179980315511 ,4095
1008422009362788542 ,4095
1020719838745261573 ,4095
1033017668127734604 ,4095
1045315497510207635 ,2871
1057613326892680666 ,68
1069911156275153697 ,66
1082208985657626728 ,65
1094506815040099759 ,66
1106804644422572790 ,65
1119102473805045821 ,68
1131400303187518852 ,426
1143698132569991883 ,3618
1155995961952464914 ,4095
1168293791334937945 ,4095
1180591620717410976 ,4095
1192889450099884007 ,4095
1205187279482357038 ,4095
1217485108864830069 ,4055
1229782938247303100 ,898
1242080767629776131 ,68
1254378597012249162 ,67
1266676426394722193 ,66
1278974255777195224 ,1840
1291272085159668255 ,4095
1303569914542141286 ,4095
1315867743924614317 ,4095
1328165573307087348 ,4095
1340463402689560379 ,4095
1352761232072033410 ,2027
1365059061454506441 ,66
1377356890836979472 ,66
1389654720219452503 ,64
1401952549601925534 ,2391
1414250378984398565 ,4095
1426548208366871596 ,4095
1438846037749344627 ,4095
1451143867131817658 ,4095
1463441696514290689 ,4063
1475739525896763720 ,980
1488037355279236751 ,67
1500335184661709782 ,65
1512633014044182813 ,216
1524930843426655844 ,3383
1537228672809128875 ,4095
1549526502191601906 ,4095
1561824331574074937 ,4095
1574122160956547968 ,4095
1586419990339020999 ,2866
1598717819721494030 ,66
1611015649103967061 ,67
1623313478486440092 ,65
1635611307868913123 ,1748
1647909137251386154 ,4095
1660206966633859185 ,4095
1672504796016332216 ,4095
1684802625398805247 ,4095
1697100454781278278 ,4068
1709398284163751309 ,1003
1721696113546224340 ,66
1733993942928697371 ,67
1746291772311170402 ,484
1758589601693643433 ,3618
1770887431076116464 ,4095
1783185260458589495 ,4095
1795483089841062526 ,4095
1807780919223535557 ,4095
1820078748606008588 ,2267
1832376577988481619 ,66
1844674407370954650 ,65
1856972236753427681 ,68
1869270066135900712 ,2220
1881567895518373743 ,4095
1893865724900846774 ,4095
1906163554283319805 ,4095
1918461383665792836 ,4095
1930759213048265867 ,3769
1943057042430738898 ,519
1955354871813211929 ,66
1967652701195684960 ,68
1979950530578157991 ,696
1992248359960631022 ,3876
2004546189343104053 ,4095
2016844018725577084 ,4095
2029141848108050115 ,4095
2041439677490523146 ,4095
2053737506872996177 ,1993
2066035336255469208 ,66
2078333165637942239 ,65
2090630995020415270 ,64
2102928824402888301 ,2398
2115226653785361332 ,4095
2127524483167834363 ,4095
2139822312550307394 ,4095
2152120141932780425 ,4095
2164417971315253456 ,3311
2176715800697726487 ,164
2189013630080199518 ,66
2201311459462672549 ,60
2213609288845145580 ,1096
2225907118227618611 ,4095
2238204947610091642 ,4095
2250502776992564673 ,4095
2262800606375037704 ,4095
2275098435757510735 ,4095
2287396265139983766 ,1350
2299694094522456797 ,65
2311991923904929828 ,63
2324289753287402859 ,60
2336587582669875890 ,3005
2348885412052348921 ,4095
2361183241434821952 ,4095
2373481070817294983 ,4095
2385778900199768014 ,4095
2398076729582241045 ,2541
2410374558964714076 ,69
2422672388347187107 ,66
2434970217729660138 ,58
2447268047112133169 ,1734
2459565876494606200 ,4095
2471863705877079231 ,4095
2484161535259552262 ,4095
2496459364642025293 ,2613
2508757194024498324 ,67
2521055023406971355 ,67
2533352852789444386 ,64
2545650682171917417 ,1756
2557948511554390448 ,4095
2570246340936863479 ,4095
2582544170319336510 ,4095
2594841999701809541 ,4095
2607139829084282572 ,3589
2619437658466755603 ,353
2631735487849228634 ,71
2644033317231701665 ,64
2656331146614174696 ,754
2668628975996647727 ,3935
2680926805379120758 ,4095
2693224634761593789 ,4095
2705522464144066820 ,4095
2717820293526539851 ,4095
2730118122909012882 ,1226
2742415952291485913 ,67
2754713781673958944 ,67
2767011611056431975 ,75
2779309440438905006 ,3096
2791607269821378037 ,4095
2803905099203851068 ,4095
2816202928586324099 ,4095
2828500757968797130 ,4095
2840798587351270161 ,1863
2853096416733743192 ,66
2865394246116216223 ,67
2877692075498689254 ,64
2889989904881162285 ,2517
2902287734263635316 ,4095
2914585563646108347 ,4095
2926883393028581378 ,4095
2939181222411054409 ,4095
