Timestamps,Voltages
45263,0
0,50503
0,35470
0,20437
0,5404
0,55907
0,40874
0,25841
0,10808
0,61311
0,46278
0,31245
0,16212
0,1179
0,51682
0,36649
0,21616
0,6583
0,57086
0,42053
0,27020
0,11987
0,62490
0,47457
0,32424
0,17391
0,2358
0,52861
0,37828
0,22795
0,7762
0,58265
0,43232
0,28199
0,13166
0,63669
0,48636
0,33603
0,18570
0,3537
0,54040
0,39007
0,23974
0,8941
0,59444
0,44411
0,29378
0,14345
0,64848
0,49815
0,34782
0,19749
0,4716
0,55219
0,40186
0,25153
0,10120
0,60623
0,45590
0,30557
0,15524
0,491
0,50994
0,35961
0,20928
0,5895
0,56398
0,41365
0,26332
0,11299
0,61802
0,46769
0,31736
0,16703
0,1670
0,52173
0,37140
0,22107
0,7074
0,57577
0,42544
0,27511
0,12478
0,62981
0,47948
0,32915
0,17882
0,2849
0,53352
0,38319
0,23286
0,8253
0,58756
0,43723
0,28690
0,13657
0,64160
0,49127
0,34094
0,19061
0,4028
0,54531
0,39498
0,24465
0,9432
0,59935
0,44902
0,29869
0,14836
0,65339
0,50306
0,35273
0,20240
0,5207
0,55710
0,40677
0,25644
0,10611
0,61114
0,46081
0,31048
0,16015
0,982
0,51485
0,36452
0,21419
0,6386
0,56889
0,41856
0,26823
0,11790
0,62293
0,47260
0,32227
0,17194
0,2161
0,52664
0,37631
0,22598
0,7565
0,58068
0,43035
0,28002
0,12969
0,63472
0,48439
0,33406
0,18373
0,3340
0,53843
0,38810
0,23777
0,8744
0,59247
0,44214
0,29181
0,14148
0,64651
0,49618
0,34585
0,19552
0,4519
0,55022
0,39989
0,24956
0,9923
0,60426
0,45393
0,30360
0,15327
0,294
0,50797
0,35764
0,20731
0,5698
0,56201
0,41168
0,26135
0,11102
0,61605
0,46572
0,31539
0,16506
0,1473
0,51976
0,36943
0,21910
0,6877
0,57380
0,42347
0,27314
0,12281
0,62784
0,47751
0,32718
0,17685
0,2652
0,53155
0,38122
0,23089
0,8056
0,58559
0,43526
0,28493
0,13460
0,63963
0,48930
0,33897
0,18864
0,3831
0,54334
0,39301
0,24268
0,9235
0,59738
0,44705
0,29672
0,14639
0,65142
0,50109
0,35076
0,20043
0,5010
0,55513
0,40480
0,25447
0,10414
0,60917
0,45884
0,30851
0,15818
0,785
0,51288
0,36255
0,21222
0,6189
0,56692
0,41659
0,26626
