Timestamps,Voltages
41,1996
82,1997
123,66
164,65
205,67
246,65
287,64
328,2668
369,4095
410,4095
451,4095
492,4095
533,4095
574,4095
615,3957
656,690
697,67
738,66
779,66
820,1180
861,4095
902,4095
943,4095
984,4095
1025,4095
1066,3175
1107,79
1148,66
1189,68
1230,977
1271,4095
1312,4095
1353,4095
1394,4095
1435,4095
1476,3071
1517,70
1558,67
1599,67
1640,892
1681,3989
1722,4095
1763,4095
1804,4095
1845,4095
1886,3050
1927,75
1968,67
2009,66
2050,934
2091,4078
2132,4095
2173,4095
2214,4095
2255,4095
2296,2997
2337,68
2378,65
2419,68
2460,963
2501,4090
2542,4095
2583,4095
2624,4095
2665,4095
2706,2906
2747,67
2788,67
2829,67
2870,1032
2911,4088
2952,4095
2993,4095
3034,4095
3075,4095
3116,2815
3157,68
3198,67
3239,63
3280,992
3321,4095
3362,4095
3403,4095
3444,4095
3485,4095
3526,4095
3567,3067
3608,69
3649,68
3690,68
3731,65
3772,68
3813,68
3854,368
3895,3525
3936,4095
3977,4095
4018,4095
4059,4095
4100,4095
4141,4075
4182,979
4223,66
4264,68
4305,66
4346,1826
4387,4095
4428,4095
4469,4095
4510,4095
4551,4095
4592,2007
4633,67
4674,67
4715,52
4756,2363
4797,4095
4838,4095
4879,4095
4920,4095
4961,4063
5002,1013
5043,68
5084,66
5125,202
5166,3369
5207,4095
5248,4095
5289,4095
5330,4095
5371,2863
5412,68
5453,67
5494,66
5535,1760
5576,4095
5617,4095
5658,4095
5699,4095
5740,4081
5781,993
5822,66
5863,67
5904,488
5945,3664
5986,4095
6027,4095
6068,4095
6109,4095
6150,66
6191,71
6232,70
6273,3116
6314,4095
6355,4095
6396,4095
6437,4095
6478,2821
6519,68
6560,67
6601,68
6642,1634
6683,4095
6724,4095
6765,4095
6806,4095
6847,4090
6888,1046
6929,67
6970,69
7011,224
7052,3314
7093,4095
7134,4095
7175,4095
7216,4095
7257,2354
7298,67
7339,68
7380,64
7421,1988
7462,4095
7503,4095
7544,4095
7585,4095
7626,3597
7667,455
7708,69
7749,69
7790,768
7831,3939
7872,4095
7913,4095
7954,4095
7995,4095
8036,1572
8077,68
8118,68
8159,64
8200,2797
8241,4095
8282,4095
8323,4095
8364,4095
8405,2630
8446,68
8487,69
8528,66
8569,1720
8610,4095
8651,4095
8692,4095
8733,4095
8774,3597
8815,363
8856,68
8897,69
8938,768
8979,3950
9020,4095
9061,4095
9102,4095
9143,4095
9184,1177
9225,68
9266,68
9307,84
9348,3187
9389,4095
9430,4095
9471,4095
9512,4095
9553,1817
9594,69
9635,68
9676,64
9717,2594
9758,4095
9799,4095
9840,4095
9881,4095
9922,2225
9963,70
10004,68
10045,60
10086,2331
10127,4095
10168,4095
10209,4095
10250,4095
10291,2291
10332,68
10373,68
10414,64
10455,2440
10496,4095
10537,4095
10578,4095
10619,4095
10660,1337
10701,67
10742,69
10783,536
10824,3771
10865,4095
10906,4095
10947,4095
10988,4095
11029,1623
11070,67
11111,65
11152,118
11193,3309
11234,4095
11275,4095
11316,4095
11357,4095
11398,2596
11439,66
11480,67
11521,64
11562,2304
11603,4095
11644,4095
11685,4095
11726,4095
11767,3375
11808,135
11849,67
11890,66
11931,1448
11972,4095
12013,4095
12054,4095
12095,4095
12136,4063
12177,904
12218,67
12259,66
12300,482
12341,3629
12382,4095
12423,4095
12464,4095
12505,4095
12546,1754
12587,68
12628,66
12669,64
12710,2441
12751,4095
12792,4095
12833,4095
12874,4095
12915,2726
12956,67
12997,66
13038,66
13079,1098
13120,4095
13161,4095
13202,4095
13243,4095
13284,3959
13325,740
13366,66
13407,65
13448,64
13489,2816
13530,4095
13571,4095
13612,4095
13653,4095
13694,1950
13735,66
13776,65
13817,66
13858,1204
13899,4095
13940,4095
13981,4095
14022,4095
14063,3119
14104,69
14145,65
14186,66
14227,68
14268,2661
14309,4095
14350,4095
14391,4095
14432,4079
14473,3056
14514,4095
14555,4095
14596,4095
14637,2820
14678,65
14719,65
14760,66
14801,66
14842,1074
14883,4095
14924,4095
14965,4095
15006,3734
15047,431
15088,70
15129,67
15170,66
15211,81
15252,2009
15293,4095
15334,4095
15375,4095
15416,1135
15457,65
15498,65
15539,66
15580,63
15621,322
15662,2614
15703,4095
15744,2973
15785,68
15826,64
15867,64
15908,66
15949,70
15990,83
16031,1120
16072,3091
16113,3339
16154,956
16195,64
16236,65
16277,66
16318,66
16359,72
16400,396
16441,2138
16482,3540
16523,2770
16564,348
16605,64
16646,66
16687,66
16728,68
16769,138
16810,1286
16851,3058
16892,3793
16933,2698
16974,432
17015,69
17056,67
17097,69
17138,94
17179,508
17220,2020
17261,3464
17302,3848
17343,2899
17384,1124
17425,77
17466,75
17507,88
17548,151
17589,870
17630,2220
17671,3372
17712,3825
17753,3355
17794,2258
17835,927
17876,99
17917,110
17958,185
17999,744
18040,1760
18081,2873
18122,3681
18163,3883
18204,3428
18245,2445
18286,1294
18327,265
18368,116
18409,224
18450,886
18491,2068
18532,3304
18573,4095
18614,4095
18655,3706
18696,2234
18737,602
18778,89
18819,104
18860,326
18901,1465
18942,3133
18983,4095
19024,4095
19065,4095
19106,3479
19147,1033
19188,73
19229,80
19270,158
19311,1296
19352,3349
19393,4095
19434,4095
19475,4095
19516,4095
19557,1247
19598,68
19639,73
19680,125
19721,1445
19762,3848
19803,4095
19844,4095
19885,4095
19926,3759
19967,536
20008,68
20049,68
20090,125
20131,1768
20172,4095
20213,4095
20254,4095
20295,4095
20336,3203
20377,93
20418,65
20459,66
20500,140
20541,2226
20582,4095
20623,4095
20664,4095
20705,4095
20746,2795
20787,66
20828,67
20869,66
20910,208
20951,2705
20992,4095
21033,4095
21074,4095
21115,4095
21156,2285
21197,68
21238,67
21279,68
21320,384
21361,3109
21402,4095
21443,4095
21484,4095
21525,4095
21566,1777
21607,67
21648,68
21689,69
21730,614
21771,3577
21812,4095
21853,4095
21894,4095
21935,4095
21976,1338
22017,70
22058,67
22099,68
22140,960
22181,4009
22222,4095
22263,4095
22304,4095
22345,4023
22386,763
22427,68
22468,68
22509,68
22550,1337
22591,4095
22632,4095
22673,4095
22714,4095
22755,3319
22796,102
22837,67
22878,67
22919,84
22960,1728
23001,4095
23042,4095
23083,4095
23124,4095
23165,2321
23206,67
23247,67
23288,67
23329,124
23370,2332
23411,4095
23452,4095
23493,4095
23534,4077
23575,1042
23616,67
23657,67
23698,70
23739,506
23780,3139
23821,4095
23862,4095
23903,4095
23944,2631
23985,68
24026,66
24067,68
24108,96
24149,1330
24190,3890
24231,4095
24272,4095
24313,4025
24354,798
24395,66
24436,70
24477,78
24518,308
24559,2282
24600,4095
24641,4095
24682,4095
24723,1314
24764,58
24805,70
24846,76
24887,109
24928,1168
24969,3361
25010,4095
25051,4095
25092,2388
25133,82
25174,84
25215,85
25256,104
25297,518
25338,2368
25379,4095
25420,4095
25461,3531
25502,914
25543,71
25584,70
25625,75
25666,210
25707,1646
25748,3580
25789,4095
25830,4095
25871,2397
25912,80
25953,72
25994,74
26035,125
26076,998
26117,2798
26158,4095
26199,4095
26240,3627
26281,1426
26322,74
26363,74
26404,100
26445,466
26486,1979
26527,3650
26568,4095
26609,4095
26650,2719
26691,549
26732,76
26773,93
26814,178
26855,1182
26896,2793
26937,4094
26978,4095
27019,3623
27060,1795
27101,85
27142,88
27183,120
27224,568
27265,1894
27306,3395
27347,4095
27388,4095
27429,2858
27470,1159
27511,91
27552,100
27593,221
27634,1088
27675,2486
27716,3712
27757,4095
27798,3615
27839,2327
27880,890
27921,99
27962,131
28003,484
28044,1552
28085,2837
28126,3751
28167,3929
28208,3258
28249,2093
28290,861
28331,127
28372,202
28413,780
28454,1832
28495,2900
28536,3601
28577,3621
28618,3012
28659,2010
28700,1026
28741,449
28782,476
28823,1086
28864,1973
28905,2839
28946,3317
28987,3256
29028,2707
29069,1919
29110,1222
29151,836
29192,916
29233,1390
29274,2063
29315,2660
29356,2957
29397,2862
29438,2436
29479,1877
29520,1374
29561,1140
29602,1238
29643,1622
29684,2129
29725,2549
29766,2732
29807,2599
29848,2244
29889,1789
29930,1422
29971,1300
30012,1454
30053,1814
30094,2211
30135,2508
30176,2582
30217,2415
30258,2084
30299,1716
30340,1472
30381,1429
30422,1607
30463,1931
30504,2278
30545,2494
30586,2501
30627,2298
30668,1960
30709,1647
30750,1466
30791,1501
30832,1719
30873,2040
30914,2338
30955,2485
30996,2442
31037,2201
31078,1878
31119,1587
31160,1453
31201,1518
31242,1773
31283,2117
31324,2408
31365,2537
31406,2445
31447,2175
31488,1821
31529,1527
31570,1407
31611,1510
31652,1791
31693,2122
31734,2416
31775,2550
31816,2468
31857,2198
31898,1843
31939,1546
31980,1404
32021,1475
32062,1734
32103,2089
32144,2407
32185,2564
32226,2509
32267,2251
32308,1896
32349,1566
32390,1395
32431,1449
32472,1700
32513,2053
32554,2358
32595,2526
32636,2494
32677,2287
32718,1955
32759,1632
32800,1439
32841,1441
32882,1649
32923,1977
32964,2318
33005,2534
33046,2536
33087,2328
33128,1978
33169,1635
33210,1416
33251,1432
33292,1640
33333,1978
33374,2314
33415,2524
33456,2543
33497,2345
33538,2009
33579,1657
33620,1425
33661,1403
33702,1605
33743,1938
33784,2273
33825,2511
33866,2548
33907,2375
33948,2065
33989,1720
34030,1475
34071,1420
34112,1578
34153,1866
34194,2204
34235,2467
34276,2537
34317,2398
34358,2099
34399,1763
34440,1506
34481,1429
34522,1568
34563,1860
34604,2196
34645,2441
34686,2514
34727,2379
34768,2097
34809,1765
34850,1523
34891,1471
34932,1622
34973,1900
35014,2188
35055,2395
35096,2436
35137,2309
35178,2057
35219,1780
35260,1597
35301,1574
35342,1712
35383,1939
35424,2174
35465,2319
35506,2330
35547,2202
35588,1991
35629,1791
35670,1676
35711,1695
35752,1822
35793,2003
35834,2164
35875,2235
35916,2195
35957,2076
35998,1930
36039,1816
36080,1780
36121,1840
36162,1954
36203,2072
36244,2131
36285,2116
36326,2028
36367,1926
36408,1854
36449,1842
36490,1910
36531,2025
36572,2118
36613,2139
36654,2089
36695,1978
36736,1861
36777,1794
36818,1797
36859,1889
36900,2036
36941,2176
36982,2241
37023,2195
37064,2036
37105,1842
37146,1700
37187,1667
37228,1768
37269,1979
37310,2203
37351,2340
37392,2345
37433,2188
37474,1929
37515,1675
37556,1545
37597,1585
37638,1806
37679,2100
37720,2350
37761,2468
37802,2386
37843,2129
37884,1801
37925,1531
37966,1442
38007,1573
38048,1883
38089,2237
38130,2502
38171,2553
38212,2376
38253,2033
38294,1664
38335,1411
38376,1362
38417,1563
38458,1937
38499,2355
38540,2645
38581,2675
38622,2427
38663,1994
38704,1551
38745,1253
38786,1246
38827,1514
38868,1987
38909,2464
38950,2747
38991,2736
39032,2424
39073,1949
39114,1470
39155,1192
39196,1229
39237,1565
39278,2056
39319,2503
39360,2756
39401,2709
39442,2367
39483,1871
39524,1426
39565,1208
39606,1292
39647,1659
39688,2132
39729,2541
39770,2730
39811,2631
39852,2257
39893,1787
39934,1410
39975,1259
40016,1393
40057,1744
40098,2190
40139,2556
40180,2697
40221,2539
40262,2164
40303,1727
40344,1379
40385,1280
40426,1464
40467,1852
40508,2291
40549,2586
40590,2638
40631,2421
40672,2053
40713,1664
40754,1410
40795,1384
40836,1590
40877,1946
40918,2299
40959,2518
41000,2518
41041,2320
41082,1994
41123,1678
41164,1492
41205,1503
41246,1703
41287,1992
41328,2281
41369,2444
41410,2409
41451,2192
41492,1887
41533,1641
41574,1545
41615,1641
41656,1868
41697,2144
41738,2339
41779,2376
41820,2244
41861,1999
41902,1757
41943,1634
41984,1666
42025,1822
42066,2037
42107,2225
42148,2303
42189,2243
42230,2060
42271,1853
42312,1707
42353,1680
42394,1780
42435,1971
42476,2165
42517,2274
42558,2262
42599,2123
42640,1931
42681,1762
42722,1690
42763,1742
42804,1894
42845,2087
42886,2228
42927,2261
42968,2170
43009,2005
43050,1824
43091,1711
43132,1712
43173,1839
43214,2033
43255,2209
43296,2282
43337,2220
43378,2048
43419,1842
43460,1712
43501,1695
43542,1796
43583,1980
43624,2164
43665,2270
43706,2255
43747,2126
43788,1925
43829,1742
43870,1650
43911,1698
43952,1874
43993,2111
44034,2301
44075,2355
44116,2254
44157,2027
44198,1781
44239,1611
44280,1582
44321,1733
44362,1996
44403,2256
44444,2405
44485,2381
44526,2192
44567,1905
44608,1650
44649,1520
44690,1585
44731,1808
44772,2112
44813,2360
44854,2465
44895,2372
44936,2124
44977,1813
45018,1558
45059,1461
45100,1584
45141,1870
45182,2204
45223,2446
45264,2513
45305,2369
45346,2083
45387,1744
45428,1486
45469,1437
45510,1598
45551,1914
45592,2252
45633,2482
45674,2515
45715,2341
45756,2024
45797,1692
45838,1482
45879,1463
45920,1650
45961,1954
46002,2272
46043,2465
46084,2474
46125,2294
46166,1986
46207,1688
46248,1507
46289,1515
46330,1706
46371,2000
46412,2284
46453,2432
46494,2402
46535,2216
46576,1950
46617,1697
46658,1554
46699,1579
46740,1770
46781,2042
46822,2276
46863,2388
46904,2331
46945,2151
46986,1907
47027,1691
47068,1607
47109,1673
47150,1857
47191,2080
47232,2250
47273,2301
47314,2238
47355,2082
47396,1877
47437,1735
47478,1698
47519,1779
47560,1940
47601,2113
47642,2214
47683,2210
47724,2111
47765,1964
47806,1835
47847,1779
47888,1808
47929,1919
47970,2041
48011,2146
48052,2169
48093,2112
48134,2001
48175,1882
48216,1796
48257,1791
48298,1872
48339,2010
48380,2143
48421,2199
48462,2168
48503,2059
48544,1913
48585,1788
48626,1741
48667,1792
48708,1920
48749,2081
48790,2199
48831,2246
48872,2181
48913,2035
48954,1872
48995,1745
49036,1703
49077,1774
49118,1931
49159,2106
49200,2239
49241,2265
49282,2196
49323,2040
49364,1858
49405,1727
49446,1688
49487,1775
49528,1938
49569,2118
49610,2247
49651,2264
49692,2176
49733,2013
49774,1849
49815,1738
49856,1716
49897,1792
49938,1939
49979,2099
50020,2205
50061,2238
50102,2168
50143,2027
50184,1874
50225,1769
50266,1756
50307,1818
50348,1936
50389,2071
50430,2175
50471,2205
50512,2161
50553,2042
50594,1897
50635,1797
50676,1767
50717,1816
50758,1922
50799,2053
50840,2153
50881,2183
50922,2137
50963,2043
51004,1934
51045,1837
51086,1794
51127,1819
51168,1908
51209,2025
51250,2125
51291,2165
51332,2134
51373,2053
51414,1950
51455,1862
51496,1810
51537,1832
51578,1916
51619,2023
51660,2108
51701,2135
51742,2107
51783,2028
51824,1936
51865,1865
51906,1839
51947,1872
51988,1941
52029,2027
52070,2095
52111,2121
52152,2095
52193,2034
52234,1960
52275,1880
52316,1840
52357,1855
52398,1921
52439,2012
52480,2097
52521,2132
52562,2110
52603,2038
52644,1949
52685,1870
52726,1827
52767,1844
52808,1915
52849,2012
52890,2105
52931,2154
52972,2145
53013,2064
53054,1945
53095,1850
53136,1802
53177,1826
53218,1908
53259,2024
53300,2132
53341,2179
53382,2143
53423,2043
53464,1918
53505,1839
53546,1797
53587,1827
53628,1917
53669,2029
53710,2126
53751,2171
53792,2141
53833,2048
53874,1925
53915,1820
53956,1772
53997,1819
54038,1942
54079,2080
54120,2175
54161,2197
54202,2128
54243,1998
54284,1865
54325,1779
54366,1777
54407,1866
54448,1998
54489,2129
54530,2187
54571,2169
54612,2072
54653,1932
54694,1810
54735,1763
54776,1808
54817,1926
54858,2084
54899,2191
54940,2205
54981,2124
55022,1987
55063,1842
55104,1758
55145,1770
55186,1873
55227,2039
55268,2178
55309,2226
55350,2175
55391,2035
55432,1865
55473,1734
55514,1707
55555,1802
55596,1969
55637,2145
55678,2262
55719,2271
55760,2146
55801,1956
55842,1773
55883,1665
55924,1684
55965,1821
56006,2032
56047,2229
56088,2345
56129,2312
56170,2143
56211,1894
56252,1671
56293,1565
56334,1632
56375,1837
56416,2106
56457,2333
56498,2411
56539,2324
56580,2107
56621,1839
56662,1622
56703,1544
56744,1640
56785,1864
56826,2148
56867,2363
56908,2421
56949,2306
56990,2061
57031,1790
57072,1589
57113,1544
57154,1662
57195,1920
57236,2208
57277,2402
57318,2433
57359,2282
57400,2014
57441,1733
57482,1556
57523,1547
57564,1709
57605,1971
57646,2231
57687,2392
57728,2390
57769,2236
57810,1982
57851,1739
57892,1599
57933,1602
57974,1750
58015,1974
58056,2194
58097,2333
58138,2327
58179,2189
58220,1980
58261,1786
58302,1675
58343,1687
58384,1801
58425,1992
58466,2167
58507,2268
58548,2262
58589,2138
58630,1961
58671,1801
58712,1714
58753,1729
58794,1838
58835,1997
58876,2146
58917,2216
58958,2193
58999,2095
59040,1965
59081,1852
59122,1796
59163,1816
59204,1888
59245,1986
59286,2072
59327,2116
59368,2123
59409,2072
59450,2000
59491,1927
59532,1883
59573,1875
59614,1904
59655,1956
59696,2014
59737,2042
59778,2058
59819,2033
59860,1993
59901,1968
59942,1953
59983,1950
60024,1950
60065,1958
60106,1970
60147,1983
60188,1988
60229,1989
60270,1997
60311,2011
60352,2015
60393,2006
60434,1988
60475,1954
60516,1925
60557,1916
60598,1941
60639,1983
60680,2036
60721,2068
60762,2068
60803,2027
60844,1967
60885,1914
60926,1880
60967,1878
61008,1921
61049,1987
61090,2056
61131,2102
61172,2110
61213,2069
61254,1988
61295,1902
61336,1839
61377,1826
61418,1879
61459,1972
