Timestamps,Voltages
41,60
82,60
123,60
164,60
205,59
246,60
287,60
328,61
369,60
410,61
451,60
492,60
533,60
574,60
615,60
656,61
697,62
738,60
779,59
820,60
861,60
902,60
943,60
984,58
1025,58
1066,60
1107,60
1148,62
1189,62
1230,60
1271,60
1312,60
1353,61
1394,60
1435,58
1476,60
1517,61
1558,60
1599,63
1640,61
1681,61
1722,60
1763,60
1804,60
1845,58
1886,61
1927,61
1968,60
2009,63
2050,61
2091,61
2132,60
2173,60
2214,60
2255,57
2296,60
2337,61
2378,60
2419,64
2460,62
2501,59
2542,60
2583,60
2624,60
2665,57
2706,60
2747,60
2788,60
2829,65
2870,59
2911,60
2952,60
2993,60
3034,59
3075,57
3116,60
3157,60
3198,61
3239,63
3280,60
3321,60
3362,61
3403,60
3444,61
3485,58
3526,59
3567,61
3608,61
3649,63
3690,62
3731,61
3772,62
3813,60
3854,60
3895,60
3936,58
3977,60
4018,60
4059,60
4100,60
4141,60
4182,61
4223,63
4264,62
4305,61
4346,61
4387,60
4428,61
4469,61
4510,58
4551,58
4592,59
4633,60
4674,61
4715,62
4756,60
4797,60
4838,60
4879,60
4920,60
4961,58
5002,60
5043,60
5084,60
5125,62
5166,60
5207,60
5248,60
5289,60
5330,58
5371,57
5412,60
5453,60
5494,63
5535,62
5576,60
5617,60
5658,60
5699,60
5740,57
5781,61
5822,60
5863,59
5904,63
5945,61
5986,60
6027,60
6068,60
6109,58
6150,58
6191,61
6232,60
6273,63
6314,61
6355,60
6396,60
6437,61
6478,60
6519,58
6560,64
6601,60
6642,61
6683,63
6724,60
6765,60
6806,60
6847,60
6888,58
6929,61
6970,60
7011,60
7052,62
7093,61
7134,60
7175,60
7216,59
7257,60
7298,58
7339,60
7380,60
7421,61
7462,62
7503,60
7544,60
7585,60
7626,60
7667,58
7708,60
7749,60
7790,60
7831,63
7872,61
7913,61
7954,60
7995,61
8036,58
8077,57
8118,61
8159,61
8200,63
8241,64
8282,60
8323,61
8364,60
8405,60
8446,58
8487,59
8528,60
8569,66
8610,60
8651,60
8692,60
8733,59
8774,57
8815,60
8856,60
8897,60
8938,63
8979,60
9020,61
9061,61
9102,61
9143,58
9184,58
9225,60
9266,60
9307,63
9348,63
9389,60
9430,60
9471,61
9512,60
9553,58
9594,61
9635,61
9676,60
9717,62
9758,61
9799,60
9840,60
9881,60
9922,58
9963,60
10004,61
10045,60
10086,62
10127,60
10168,60
10209,60
10250,60
10291,57
10332,60
10373,60
10414,60
10455,62
10496,60
10537,60
10578,60
10619,60
10660,58
10701,60
10742,60
10783,60
10824,62
10865,60
10906,61
10947,60
10988,60
11029,58
11070,60
11111,60
11152,63
11193,61
11234,60
11275,60
11316,60
11357,61
11398,58
11439,61
11480,60
11521,62
11562,63
11603,61
11644,61
11685,62
11726,60
11767,58
11808,60
11849,61
11890,60
11931,63
11972,59
12013,61
12054,60
12095,60
12136,58
12177,58
12218,60
12259,60
12300,62
12341,60
12382,60
12423,60
12464,60
12505,59
12546,57
12587,60
12628,60
12669,62
12710,62
12751,60
12792,60
12833,59
12874,60
12915,57
12956,60
12997,60
13038,60
13079,63
13120,62
13161,61
13202,59
13243,60
13284,58
13325,60
13366,61
13407,60
13448,62
13489,61
13530,60
13571,60
13612,60
13653,60
13694,58
13735,60
13776,60
13817,60
13858,62
13899,60
13940,60
13981,60
14022,61
14063,58
14104,60
14145,60
14186,60
14227,62
14268,61
14309,61
14350,60
14391,61
14432,58
14473,60
14514,60
14555,60
14596,60
14637,62
14678,60
14719,60
14760,61
14801,60
14842,57
14883,60
14924,60
14965,60
15006,60
15047,60
15088,62
15129,61
15170,59
15211,60
15252,57
15293,60
15334,60
15375,61
15416,60
15457,60
15498,61
15539,60
15580,58
15621,60
15662,60
15703,60
15744,61
15785,61
15826,61
15867,61
15908,60
15949,59
15990,60
16031,61
16072,60
16113,60
16154,62
16195,61
16236,62
16277,61
16318,59
16359,59
16400,60
16441,61
16482,61
16523,61
16564,62
16605,62
16646,60
16687,61
16728,58
16769,59
16810,60
16851,60
16892,60
16933,61
16974,62
17015,60
17056,60
17097,60
17138,58
17179,60
17220,60
17261,60
17302,61
17343,62
17384,61
17425,60
17466,59
17507,58
17548,57
17589,60
17630,60
17671,60
17712,61
17753,62
17794,60
17835,60
17876,60
17917,59
17958,60
17999,60
18040,60
18081,61
18122,61
18163,62
18204,61
18245,61
18286,60
18327,59
18368,60
18409,60
18450,60
18491,61
18532,62
18573,61
18614,61
18655,61
18696,59
18737,60
18778,61
18819,60
18860,61
18901,63
18942,62
18983,61
19024,61
19065,59
19106,59
19147,60
19188,59
19229,61
19270,61
19311,61
19352,61
19393,61
19434,59
19475,59
19516,60
19557,60
19598,60
19639,61
19680,60
19721,60
19762,61
19803,59
19844,60
19885,60
19926,62
19967,60
20008,61
20049,60
20090,59
20131,61
20172,59
20213,59
20254,61
20295,61
20336,61
20377,62
20418,61
20459,60
20500,61
20541,59
20582,59
20623,61
20664,62
20705,61
20746,62
20787,61
20828,60
20869,60
20910,61
20951,58
20992,60
21033,61
21074,60
21115,61
21156,61
21197,61
21238,60
21279,60
21320,60
21361,58
21402,62
21443,60
21484,60
21525,61
21566,62
21607,60
21648,60
21689,60
21730,60
21771,60
21812,60
21853,61
21894,60
21935,61
21976,62
22017,60
22058,60
22099,60
22140,59
22181,58
22222,60
22263,60
22304,60
22345,62
22386,62
22427,60
22468,61
22509,60
22550,58
22591,60
22632,61
22673,61
22714,61
22755,61
22796,61
22837,61
22878,60
22919,59
22960,59
23001,60
23042,61
23083,60
23124,61
23165,62
23206,61
23247,60
23288,60
23329,59
23370,58
23411,60
23452,61
23493,60
23534,61
23575,61
23616,60
23657,60
23698,59
23739,58
23780,60
23821,60
23862,60
23903,61
23944,61
23985,63
24026,60
24067,59
24108,59
24149,58
24190,60
24231,60
24272,60
24313,61
24354,61
24395,61
24436,60
24477,59
24518,59
24559,59
24600,61
24641,60
24682,61
24723,62
24764,61
24805,60
24846,60
24887,59
24928,60
24969,60
25010,61
25051,61
25092,61
25133,61
25174,61
25215,60
25256,60
25297,60
25338,59
25379,60
25420,61
25461,61
25502,62
25543,61
25584,61
25625,60
25666,61
25707,59
25748,59
25789,60
25830,61
25871,61
25912,61
25953,61
25994,60
26035,60
26076,59
26117,59
26158,59
26199,60
26240,60
26281,61
26322,60
26363,61
26404,60
26445,60
26486,59
26527,59
26568,60
26609,60
26650,60
26691,61
26732,61
26773,61
26814,60
26855,60
26896,60
26937,60
26978,60
27019,61
27060,60
27101,61
27142,61
27183,61
27224,60
27265,60
27306,60
27347,60
27388,61
27429,60
27470,60
27511,64
27552,61
27593,61
27634,61
27675,59
27716,60
27757,60
27798,60
27839,60
27880,61
27921,61
27962,60
28003,61
28044,60
28085,60
28126,60
28167,60
28208,60
28249,60
28290,60
28331,60
28372,60
28413,62
28454,59
28495,59
28536,60
28577,59
28618,60
28659,61
28700,60
28741,61
28782,60
28823,60
28864,60
28905,60
28946,62
28987,60
29028,60
29069,61
29110,61
29151,61
29192,61
29233,61
29274,59
29315,62
29356,60
29397,60
29438,60
29479,61
29520,61
29561,61
29602,61
29643,60
29684,61
29725,60
29766,60
29807,61
29848,61
29889,61
29930,60
29971,61
30012,60
30053,62
30094,60
30135,60
30176,60
30217,60
30258,61
30299,61
30340,60
30381,60
30422,63
30463,59
30504,59
30545,60
30586,60
30627,60
30668,61
30709,60
30750,60
30791,61
30832,60
30873,59
30914,60
30955,59
30996,60
31037,60
31078,61
31119,60
31160,61
31201,60
31242,60
31283,60
31324,62
31365,59
31406,60
31447,60
31488,60
31529,61
31570,60
31611,61
31652,60
31693,62
31734,60
31775,61
31816,60
31857,61
31898,61
31939,60
31980,60
32021,60
32062,62
32103,60
32144,60
32185,60
32226,59
32267,60
32308,60
32349,60
32390,60
32431,62
32472,60
32513,60
32554,60
32595,60
32636,60
32677,60
32718,60
32759,60
32800,60
32841,59
32882,60
32923,60
32964,62
33005,60
33046,60
33087,60
33128,60
33169,59
33210,60
33251,60
33292,61
33333,61
33374,60
33415,61
33456,60
33497,60
33538,60
33579,61
33620,60
33661,60
33702,61
33743,61
33784,60
33825,61
33866,61
33907,60
33948,60
33989,61
34030,60
34071,61
34112,61
34153,60
34194,60
34235,61
34276,60
34317,60
34358,60
34399,60
34440,61
34481,61
34522,60
34563,60
34604,60
34645,60
34686,60
34727,60
34768,60
34809,60
34850,62
34891,60
34932,60
34973,60
35014,60
35055,59
35096,60
35137,60
35178,60
35219,60
35260,61
35301,60
35342,60
35383,60
35424,60
35465,60
35506,60
35547,60
35588,61
35629,61
35670,60
35711,61
35752,61
35793,60
35834,61
35875,60
35916,61
35957,61
35998,60
36039,61
36080,61
36121,61
36162,61
36203,60
36244,60
36285,61
36326,60
36367,60
36408,60
36449,60
36490,60
36531,60
36572,60
36613,60
36654,61
36695,60
36736,59
36777,60
36818,60
36859,60
36900,60
36941,59
36982,60
37023,59
37064,60
37105,60
37146,60
37187,63
37228,60
37269,60
37310,60
37351,62
37392,60
37433,60
37474,59
37515,60
37556,63
37597,60
37638,60
37679,60
37720,60
37761,60
37802,61
37843,60
37884,60
37925,63
37966,60
38007,61
38048,61
38089,60
38130,60
38171,60
38212,60
38253,61
38294,63
38335,60
38376,60
38417,60
38458,60
38499,60
38540,60
38581,60
38622,60
38663,60
38704,63
38745,60
38786,60
38827,60
38868,59
38909,60
38950,59
38991,60
39032,60
39073,60
39114,60
39155,60
39196,60
39237,60
39278,60
39319,60
39360,61
39401,60
39442,60
39483,60
39524,61
39565,61
39606,60
39647,61
39688,60
39729,60
39770,61
39811,60
39852,60
39893,63
39934,61
39975,61
40016,60
40057,60
40098,60
40139,61
40180,61
40221,61
40262,61
40303,61
40344,62
40385,60
40426,60
40467,60
40508,60
40549,60
40590,60
40631,60
40672,60
40713,60
40754,60
40795,60
40836,60
40877,60
40918,60
40959,60
41000,60
41041,61
41082,60
41123,60
41164,60
41205,60
41246,59
41287,60
41328,60
41369,60
41410,60
41451,60
41492,60
41533,60
41574,59
41615,60
41656,59
41697,60
41738,61
41779,60
41820,60
41861,61
41902,60
41943,61
41984,60
42025,60
42066,61
42107,61
42148,61
42189,61
42230,61
42271,60
42312,60
42353,60
42394,60
42435,61
42476,61
42517,61
42558,61
42599,61
42640,61
42681,62
42722,61
42763,60
42804,60
42845,60
42886,60
42927,60
42968,60
43009,60
43050,60
43091,60
43132,59
43173,60
43214,60
43255,60
43296,59
43337,60
43378,60
43419,60
43460,60
43501,60
43542,61
43583,61
43624,60
43665,60
43706,61
43747,60
43788,60
43829,61
43870,60
43911,60
43952,61
43993,60
44034,60
44075,60
44116,61
44157,60
44198,61
44239,60
44280,60
44321,62
44362,60
44403,60
44444,61
44485,61
44526,61
44567,61
44608,60
44649,60
44690,60
44731,60
44772,60
44813,60
44854,63
44895,60
44936,61
44977,60
45018,61
45059,60
45100,60
45141,60
45182,61
45223,62
45264,60
45305,60
45346,60
45387,61
45428,61
45469,60
45510,60
45551,60
45592,61
45633,60
45674,60
45715,60
45756,60
45797,60
45838,60
45879,60
45920,60
45961,61
46002,59
46043,60
46084,60
46125,60
46166,61
46207,60
46248,60
46289,60
46330,60
46371,60
46412,60
46453,60
46494,61
46535,61
46576,61
46617,61
46658,61
46699,60
46740,59
46781,60
46822,60
46863,61
46904,61
46945,61
46986,61
47027,61
47068,61
47109,60
47150,60
47191,60
47232,62
47273,61
47314,60
47355,61
47396,61
47437,60
47478,60
47519,60
47560,60
47601,60
47642,61
47683,60
47724,60
47765,61
47806,60
47847,60
47888,61
47929,60
47970,60
48011,60
48052,60
48093,60
48134,60
48175,60
48216,60
48257,60
48298,60
48339,60
48380,60
48421,60
48462,60
48503,61
48544,61
48585,60
48626,61
48667,60
48708,60
48749,60
48790,60
48831,60
48872,60
48913,60
48954,60
48995,61
49036,61
49077,61
49118,61
49159,61
49200,60
49241,61
49282,61
49323,61
49364,61
49405,61
49446,61
49487,61
49528,60
49569,60
49610,61
49651,60
49692,61
49733,60
49774,61
49815,60
49856,61
49897,61
49938,60
49979,60
50020,60
50061,60
50102,60
50143,60
50184,60
50225,60
50266,60
50307,60
50348,60
50389,60
50430,60
50471,60
50512,60
50553,60
50594,60
50635,60
50676,60
50717,60
50758,60
50799,60
50840,60
50881,60
50922,61
50963,59
51004,60
51045,61
51086,60
51127,60
51168,61
51209,60
51250,60
51291,61
51332,60
51373,60
51414,60
51455,60
51496,60
51537,61
51578,60
51619,60
51660,61
51701,60
51742,60
51783,61
51824,61
51865,60
51906,61
51947,60
51988,60
52029,60
52070,60
52111,60
52152,60
52193,60
52234,60
52275,60
52316,60
52357,60
52398,61
52439,60
52480,60
52521,60
52562,61
52603,59
52644,60
52685,59
52726,60
52767,60
52808,60
52849,60
52890,60
52931,60
52972,60
53013,60
53054,61
53095,61
53136,60
53177,60
53218,60
53259,60
53300,60
53341,60
53382,60
53423,61
53464,61
53505,60
53546,61
53587,61
53628,61
53669,60
53710,60
53751,60
53792,61
53833,61
53874,61
53915,61
53956,60
53997,61
54038,60
54079,61
54120,60
54161,60
54202,62
54243,60
54284,60
54325,60
54366,61
54407,60
54448,59
54489,60
54530,60
54571,62
54612,60
54653,60
54694,61
54735,60
54776,60
54817,60
54858,60
54899,60
54940,60
54981,60
55022,60
55063,60
55104,60
55145,60
55186,60
55227,61
55268,60
55309,60
55350,60
55391,60
55432,60
55473,62
55514,60
55555,60
55596,60
55637,60
55678,60
55719,59
55760,60
55801,60
55842,61
55883,60
55924,61
55965,61
56006,61
56047,60
56088,61
56129,60
56170,60
56211,61
56252,60
56293,60
56334,61
56375,62
56416,61
56457,60
56498,60
56539,60
56580,60
56621,60
56662,60
56703,60
56744,61
56785,62
56826,61
56867,60
56908,59
56949,60
56990,60
57031,59
57072,60
57113,60
57154,60
57195,60
57236,60
57277,60
57318,60
57359,59
57400,59
57441,60
57482,60
57523,60
57564,61
57605,60
57646,60
57687,60
57728,60
57769,60
57810,60
57851,63
57892,59
57933,59
57974,61
58015,60
58056,61
58097,60
58138,60
58179,60
58220,60
58261,60
58302,61
58343,61
58384,61
58425,61
58466,60
58507,61
58548,60
58589,60
58630,60
58671,61
58712,60
58753,63
58794,60
58835,60
58876,60
58917,61
58958,59
58999,60
59040,60
59081,60
59122,60
59163,60
59204,60
59245,59
59286,60
59327,60
59368,60
59409,60
59450,60
59491,60
59532,60
59573,60
59614,59
59655,60
59696,60
59737,60
59778,60
59819,60
59860,60
59901,61
59942,60
59983,60
60024,60
60065,61
60106,60
60147,61
60188,60
60229,60
60270,60
60311,60
60352,60
60393,61
60434,60
60475,60
60516,61
60557,60
60598,60
60639,60
60680,60
60721,60
60762,61
60803,60
60844,60
60885,61
60926,60
60967,60
61008,60
61049,60
61090,60
61131,60
61172,60
61213,60
61254,60
61295,60
61336,60
61377,60
61418,59
61459,59
