Timestamps,Voltages
41,1997
82,2009
123,2006
164,95
205,82
246,83
287,83
328,166
369,3326
410,4095
451,4095
492,4095
533,4095
574,4095
615,3055
656,86
697,84
738,83
779,80
820,2796
861,4095
902,4095
943,4095
984,4095
1025,4095
1066,1304
1107,84
1148,83
1189,78
1230,2790
1271,4095
1312,4095
1353,4095
1394,4095
1435,4095
1476,1311
1517,84
1558,83
1599,80
1640,2763
1681,4095
1722,4095
1763,4095
1804,4095
1845,4095
1886,1123
1927,83
1968,83
2009,80
2050,2832
2091,4095
2132,4095
2173,4095
2214,4095
2255,4091
2296,1056
2337,83
2378,83
2419,80
2460,2899
2501,4095
2542,4095
2583,4095
2624,4095
2665,4071
2706,977
2747,84
2788,83
2829,80
2870,2886
2911,4095
2952,4095
2993,4095
3034,4095
3075,4045
3116,964
3157,83
3198,84
3239,80
3280,2928
3321,4095
3362,4095
3403,4095
3444,4095
3485,4095
3526,4095
3567,1126
3608,67
3649,70
3690,68
3731,68
3772,71
3813,66
3854,2202
3895,4095
3936,4095
3977,4095
4018,4095
4059,4095
4100,4095
4141,2279
4182,69
4223,72
4264,68
4305,506
4346,3611
4387,4095
4428,4095
4469,4095
4510,4095
4551,3363
4592,239
4633,67
4674,70
4715,1018
4756,4095
4797,4095
4838,4095
4879,4095
4920,4095
4961,2347
5002,68
5043,70
5084,64
5125,2048
5166,4095
5207,4095
5248,4095
5289,4095
5330,4075
5371,959
5412,70
5453,68
5494,472
5535,3657
5576,4095
5617,4095
5658,4095
5699,4095
5740,2269
5781,70
5822,67
5863,61
5904,2373
5945,4095
5986,4095
6027,4095
6068,4095
6109,3577
6150,357
6191,67
6232,68
6273,992
6314,4095
6355,4095
6396,4095
6437,4095
6478,1171
6519,67
6560,72
6601,128
6642,3265
6683,4095
6724,4095
6765,4095
6806,4095
6847,2585
6888,66
6929,73
6970,65
7011,1845
7052,4095
7093,4095
7134,4095
7175,4095
7216,3961
7257,696
7298,65
7339,72
7380,536
7421,3719
7462,4095
7503,4095
7544,4095
7585,4095
7626,1893
7667,67
7708,67
7749,64
7790,2515
7831,4095
7872,4095
7913,4095
7954,4095
7995,3019
8036,68
8077,67
8118,65
8159,1361
8200,4095
8241,4095
8282,4095
8323,4095
8364,4037
8405,836
8446,67
8487,66
8528,320
8569,3420
8610,4095
8651,4095
8692,4095
8733,4095
8774,1771
8815,67
8856,64
8897,64
8938,2491
8979,4095
9020,4095
9061,4095
9102,4095
9143,2555
9184,67
9225,66
9266,64
9307,1744
9348,4095
9389,4095
9430,4095
9471,4095
9512,3162
9553,90
9594,65
9635,65
9676,1237
9717,4095
9758,4095
9799,4095
9840,4095
9881,3494
9922,338
9963,66
10004,66
10045,1056
10086,4095
10127,4095
10168,4095
10209,4095
10250,3466
10291,310
10332,65
10373,64
10414,1224
10455,4095
10496,4095
10537,4095
10578,4095
10619,2455
10660,68
10701,66
10742,60
10783,2703
10824,4095
10865,4095
10906,4095
10947,4095
10988,2847
11029,69
11070,65
11111,64
11152,1946
11193,4095
11234,4095
11275,4095
11316,4095
11357,3915
11398,684
11439,67
11480,64
11521,906
11562,4094
11603,4095
11644,4095
11685,4095
11726,4095
11767,1508
11808,67
11849,64
11890,108
11931,3271
11972,4095
12013,4095
12054,4095
12095,4095
12136,2351
12177,67
12218,65
12259,64
12300,2226
12341,4095
12382,4095
12423,4095
12464,4095
12505,3259
12546,84
12587,64
12628,63
12669,972
12710,4095
12751,4095
12792,4095
12833,4095
12874,4091
12915,1037
12956,65
12997,67
13038,64
13079,2776
13120,4095
13161,4095
13202,4095
13243,4095
13284,2281
13325,65
13366,67
13407,66
13448,1202
13489,4095
13530,4095
13571,4095
13612,4095
13653,3517
13694,242
13735,67
13776,67
13817,64
13858,2600
13899,4095
13940,4095
13981,4095
14022,4095
14063,1422
14104,67
14145,67
14186,65
14227,706
14268,3870
14309,4095
14350,4095
14391,4095
14432,2471
14473,66
14514,4095
14555,4095
14596,4095
14637,1452
14678,67
14719,67
14760,67
14801,69
14842,882
14883,3499
14924,4095
14965,2675
15006,67
15047,67
15088,67
15129,67
15170,68
15211,104
15252,841
15293,1423
15334,75
15375,66
15416,66
15457,67
15498,67
15539,75
15580,178
15621,869
15662,873
15703,75
15744,68
15785,67
15826,70
15867,94
15908,824
15949,2680
15990,3847
16031,2959
16072,506
16113,68
16154,67
16195,73
16236,196
