Timestamps,Filtered Voltages,Envelope
0.0,-0.000528,0.000622
8.197333,0.001662,0.002071
16.394667,0.001709,0.005403
24.591999,-0.011884,0.011885
32.789333,0.006133,0.023027
40.986668,0.034055,0.040349
49.183998,-0.049781,0.065167
57.381332,-0.037313,0.098483
65.578667,0.140637,0.140933
73.776001,-0.051411,0.192749
81.973335,-0.207025,0.253784
90.17067,0.267863,0.323537
98.367996,0.089518,0.401094
106.565331,-0.479164,0.485107
114.762665,0.299732,0.573819
122.959999,0.385196,0.665068
131.157333,-0.740626,0.756355
139.35466,0.183132,0.845014
147.552002,0.73923,0.928376
155.749329,-0.889498,1.003915
163.946671,-0.038672,1.069463
172.143997,1.027581,1.123344
180.341339,-0.892502,1.164455
188.538666,-0.278254,1.192376
196.735992,1.175561,1.207393
204.933334,-0.778459,1.210416
213.130661,-0.470714,1.20291
221.328003,1.18397,1.186755
229.52533,-0.596641,1.164027
237.722672,-0.609214,1.136894
245.919998,1.101739,1.107538
254.11734,-0.375338,1.078058
262.314667,-0.725802,1.050435
270.511993,0.975759,1.026456
278.70932,-0.128676,1.007514
286.906677,-0.83663,0.994397
295.104004,0.839628,0.987118
303.301331,0.098711,0.984861
311.498657,-0.921536,0.986174
319.696014,0.738563,0.989376
327.893341,0.229403,0.992898
336.090668,-0.957139,0.995521
344.287994,0.719622,0.996492
352.485321,0.217369,0.995423
360.682678,-0.936206,0.992157
368.880005,0.777134,0.986696
377.077332,0.08256,0.97907
385.274658,-0.849234,0.96927
393.471985,0.851505,0.957229
401.669342,-0.115677,0.942688
409.866669,-0.693826,0.925114
418.063995,0.876174,0.903729
426.261322,-0.302898,0.877556
434.458679,-0.491001,0.845609
442.656006,0.806938,0.807131
450.853333,-0.414025,0.761725
459.050659,-0.276082,0.709491
467.247986,0.638372,0.651087
475.445343,-0.42098,0.587673
483.64267,-0.086179,0.52087
491.839996,0.4079,0.452673
500.037323,-0.339172,0.385299
508.23468,0.048954,0.321119
516.432007,0.177527,0.262566
524.629333,-0.211911,0.212001
532.82666,0.114754,0.171577
541.023987,0.004067,0.142702
549.221313,-0.086294,0.125029
557.41864,0.11559,0.115857
565.616028,-0.084437,0.111085
573.813354,0.00536,0.107149
582.010681,0.072535,0.101992
590.208008,-0.094635,0.094903
598.405334,0.051628,0.086146
606.602661,0.01485,0.076573
614.799988,-0.056859,0.067335
622.997314,0.058341,0.059664
631.194641,-0.031175,0.054458
639.392029,-0.007098,0.051862
647.589355,0.040308,0.051185
655.786682,-0.050758,0.05127
663.984009,0.028467,0.0511
672.181335,0.013456,0.050043
680.378662,-0.043642,0.047841
688.575989,0.040004,0.044565
696.773315,-0.009765,0.040491
704.970642,-0.020596,0.036016
713.16803,0.031331,0.031633
721.365356,-0.022121,0.027811
729.562683,0.004102,0.024938
737.76001,0.012497,0.023223
745.957336,-0.021781,0.022582
754.154663,0.020062,0.022731
762.35199,-0.006719,0.023293
770.549316,-0.012018,0.023915
778.746643,0.023866,0.024357
786.94397,-0.019332,0.02446
795.141357,0.001037,0.024167
803.338684,0.01732,0.023526
811.536011,-0.022456,0.022626
819.733337,0.011982,0.021607
827.930664,0.005388,0.020606
836.127991,-0.017663,0.019702
844.325317,0.017538,0.018941
852.522644,-0.006006,0.018309
860.719971,-0.008851,0.017756
868.917358,0.016959,0.017248
877.114685,-0.012865,0.016722
885.312012,-0.000188,0.016112
893.509338,0.012165,0.015357
901.706665,-0.013898,0.014378
909.903992,0.004968,0.01313
918.101318,0.005964,0.011612
926.298645,-0.00979,0.009847
934.495972,0.005568,0.007927
942.693359,0.000438,0.005996
950.890686,-0.003098,0.004262
959.088013,0.003044,0.003124
967.285339,-0.002935,0.002985
975.482666,0.002574,0.003535
983.679993,-0.000239,0.004137
991.877319,-0.003141,0.004466
1000.074646,0.004458,0.004465
1008.271973,-0.002666,0.004192
1016.46936,-0.000232,0.003819
1024.666626,0.0024,0.003629
1032.864014,-0.003758,0.003847
1041.061279,0.003977,0.004489
1049.258667,-0.00159,0.005375
1057.456055,-0.003348,0.006322
1065.65332,0.00719,0.007231
1073.850708,-0.005442,0.008032
1082.047974,-0.001835,0.008672
1090.245361,0.008464,0.009126
1098.442627,-0.007682,0.009355
1106.640015,-0.000348,0.009341
1114.83728,0.007877,0.009093
1123.034668,-0.007589,0.00862
1131.232056,0.000434,0.007957
1139.429321,0.00591,0.007166
1147.626709,-0.005734,0.006296
1155.823975,0.000648,0.005414
1164.021362,0.00362,0.004595
1172.218628,-0.003623,0.003886
1180.416016,0.000497,0.003333
1188.613281,0.002378,0.002971
1196.810669,-0.0025,0.002809
1205.008057,-0.000117,0.002858
1213.205322,0.002894,0.003123
1221.40271,-0.002635,0.003576
1229.599976,-0.001141,0.004172
1237.797363,0.004765,0.004875
1245.994629,-0.003698,0.005631
1254.192017,-0.00209,0.006401
1262.389282,0.007029,0.007173
1270.58667,-0.005383,0.007934
1278.784058,-0.002344,0.008683
1286.981323,0.009059,0.009436
1295.178711,-0.007584,0.010188
1303.375977,-0.001914,0.010929
1311.573364,0.010838,0.011643
1319.77063,-0.009759,0.012282
1327.968018,-0.001451,0.012794
1336.165283,0.011985,0.013133
1344.362671,-0.010796,0.013244
1352.560059,-0.001113,0.01309
1360.757324,0.011404,0.012666
1368.954712,-0.01002,0.011973
1377.151978,-0.000313,0.011043
1385.349365,0.00854,0.009939
1393.546631,-0.007862,0.00873
1401.744019,0.001206,0.007513
1409.941284,0.00445,0.006398
1418.138672,-0.005429,0.005457
1426.33606,0.002566,0.004717
1434.533325,0.001361,0.00413
1442.730713,-0.003441,0.003578
1450.927979,0.002165,0.002973
1459.125366,0.000772,0.002302
1467.322632,-0.001684,0.00171
1475.52002,-0.000526,0.001682
1483.717285,0.002351,0.002447
1491.914673,-0.000108,0.003601
1500.112061,-0.004368,0.004866
1508.309326,0.004909,0.006111
1516.506714,0.001019,0.007228
1524.703979,-0.007563,0.008102
1532.901367,0.00668,0.008643
1541.098633,0.001413,0.008777
1549.296021,-0.007862,0.008457
1557.493286,0.006226,0.007702
1565.690674,0.000167,0.006586
1573.887939,-0.004156,0.005259
1582.085327,0.004031,0.004042
1590.282715,-0.002958,0.003532
1598.47998,0.001942,0.004192
1606.677368,0.001354,0.005623
1614.874634,-0.006543,0.007287
1623.072021,0.007894,0.008932
1631.269287,-0.001059,0.010435
1639.466675,-0.009193,0.01172
1647.66394,0.011991,0.012756
1655.861328,-0.002641,0.013525
1664.058716,-0.010412,0.014021
1672.255981,0.013611,0.014266
1680.453369,-0.003156,0.014285
1688.650635,-0.010347,0.014098
1696.848022,0.013117,0.013745
1705.045288,-0.002827,0.013253
1713.242676,-0.009417,0.012644
1721.439941,0.011324,0.011952
1729.637329,-0.002075,0.011192
1737.834717,-0.007946,0.010371
1746.031982,0.008885,0.009502
1754.22937,-0.001269,0.008586
1762.426636,-0.006028,0.007622
1770.624023,0.006099,0.006623
1778.821289,-0.000615,0.005593
1787.018677,-0.003686,0.004534
1795.215942,0.003136,0.003464
1803.41333,-0.000164,0.002395
1811.610718,-0.001137,0.001338
1819.807983,0.000247,0.000326
1828.005371,0.000158,0.000661
1836.202637,0.001208,0.001546
1844.400024,-0.002131,0.002318
1852.59729,0.000274,0.002934
1860.794678,0.002784,0.003355
1868.991943,-0.003122,0.003529
1877.189331,2.6e-05,0.003421
1885.386719,0.002661,0.003022
1893.583984,-0.00193,0.002335
1901.781372,-0.000206,0.001393
1909.978638,0.00028,0.000284
1918.176025,0.00095,0.001059
1926.373291,8.8e-05,0.002403
1934.570679,-0.003358,0.003737
1942.767944,0.004104,0.004999
1950.965332,0.00053,0.006142
1959.16272,-0.006441,0.007129
1967.359985,0.006605,0.007947
1975.557373,0.000411,0.008585
1983.754639,-0.007926,0.009023
1991.952026,0.008002,0.009247
2000.149292,-0.000228,0.009239
2008.34668,-0.00753,0.008974
2016.543945,0.00764,0.00845
2024.741333,-0.000894,0.007674
2032.938721,-0.00516,0.00667
2041.135986,0.005264,0.005504
2049.333252,-0.001378,0.004267
2057.530762,-0.001614,0.003074
2065.728027,0.002009,0.002073
2073.925293,-0.001304,0.001383
2082.122559,0.000705,0.000991
2090.320068,-0.000364,0.000725
2098.517334,0.000526,0.000805
2106.7146,-0.00067,0.001731
2114.912109,-0.001147,0.003236
2123.109375,0.00491,0.005148
2131.306641,-0.005779,0.007319
2139.503906,-0.000795,0.009599
2147.701416,0.0105,0.011831
2155.898682,-0.011898,0.013852
2164.095947,0.0002,0.015515
2172.293213,0.014115,0.0167
2180.490723,-0.015561,0.017309
2188.687988,0.001865,0.017289
2196.885254,0.01293,0.016647
2205.082764,-0.01477,0.015442
2213.280029,0.004462,0.013818
2221.477295,0.006462,0.012021
2229.674561,-0.010238,0.0104
2237.87207,0.007852,0.00938
2246.069336,-0.002419,0.009241
2254.266602,-0.004759,0.00984
2262.464111,0.010481,0.010749
2270.661377,-0.009001,0.011554
2278.858643,-0.000586,0.011994
2287.055908,0.010144,0.011955
2295.253418,-0.010434,0.011417
2303.450684,0.001837,0.010439
2311.647949,0.006507,0.009128
2319.845215,-0.007476,0.007598
2328.042725,0.002609,0.00596
2336.23999,0.001861,0.004306
2344.437256,-0.002577,0.00271
2352.634766,0.001358,0.001375
2360.832031,-0.001322,0.001337
2369.029297,0.00243,0.002554
2377.226562,-0.001684,0.003932
2385.424072,-0.002375,0.005267
2393.621338,0.006432,0.006507
2401.818604,-0.005186,0.007603
2410.016113,-0.002014,0.008513
2418.213379,0.008701,0.0092
2426.410645,-0.007467,0.009621
2434.60791,-0.001288,0.009747
2442.80542,0.008776,0.009564
2451.002686,-0.007337,0.009065
2459.199951,-0.000837,0.008259
2467.397217,0.006566,0.007178
2475.594727,-0.004653,0.005857
2483.791992,-0.000769,0.004346
2491.989258,0.002665,0.002729
2500.186768,-0.000281,0.001228
2508.384033,-0.000978,0.001363
2516.581299,-0.001802,0.002884
2524.778564,0.004278,0.004444
2532.976074,-0.001086,0.005847
2541.17334,-0.005497,0.007011
2549.370605,0.007229,0.007891
2557.568115,-0.000648,0.008463
2565.765381,-0.007394,0.008724
2573.962646,0.007468,0.008698
2582.159912,0.000705,0.008425
2590.357422,-0.007485,0.00796
2598.554688,0.005003,0.007385
2606.751953,0.003069,0.006808
2614.949219,-0.006274,0.006341
